@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'hurt',GRP
'guys known pure',GRP
'woman talks stupid becomes #liberals',IND
'fine young dead stupid reason come control solution yall many innocent people killed pouting_face pouting_face stop',GRP
'wrong many wish points received liberals full hate unfortunately idiots',GRP
'hollywood pedophiles',GRP
'used make real statement people teach kids',GRP
'conservatives believe color guilty crimes rights killings conservative questions killing',GRP
'dont talk shit laws',IND
'holder perverted view surprising democrat',OTH
'learn people dont care think politics read keep stupid fake home #maga',IND
'somebody please back coffin',IND
'theyre still number fake news network',OTH
'fuck',IND
'leader brain dead sheep time turn back',GRP
'called conservatives call supposed sexual every sexual political memory republicans really #kavanaugh',GRP
'fucking reason posting shows cant believe everyone community',GRP
'shut fuck bigger dont shit',IND
'votes #democrats &amp lets many murders #conservatives',GRP
'never gets want know gives right wasnt money people paid',IND
'slave',IND
'tell meme biased human thats #qanon #maga',IND
'still spewing good presidents deaths liar',IND
'obama trade trump telling truth stupid leaders trump bless trump #maga #kag answer',IND
'control unconstitutional leftist fake news traitors keep lying people thats enemies people',GRP
'must liberals crazy',GRP
'democrats bastards',OTH
'flake search filled hatred potus behavior',IND
'demented',IND
'read whole thread guys thinks media social media sure mess head rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',IND
'never want deal become',IND
'court',IND
'know youre people make small trump supporters liberals support terrorist antifa',IND
'never forget racist liberals went thomas liberals worst people',GRP
'fuck happened',OTH
'dont know said arent liberals mean conservatives sounds upset matters doesnt matter deny theyre theres straight',GRP
'jail kind church getting away pedo crimes hell holding',OTH
'pope pope false prophet',IND
'clueless disgusting looks every thing know',IND
'haha yeah funny communists liberals destroying want china north perhaps perfect country instead desperately trying died freedom communists',OTH
'thats enemy people #fakenews political hide crimes #liberals',IND
'girl long hair realize years great today people wonder love show',IND
'someone please call control cant stop shooting foot',GRP
'lost disgusting behavior',IND
'terrorists antifa hateful racist thugs criminals black panthers groups place either',GRP
'singing liberal bullshit song facts usual',IND
'tried shit worked first time',IND
'conservatives think looks lmao',IND
'butt thinks know',IND
'ignorant fool become forgot ignorant obama current white house learn ignorant idiot president united states think president leave country hell',IND
'isnt boss wasnt responsible shouldnt arguing stupid',IND
'please tell something help home broken cause shes hospital broken loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face',OTH
'part fraud together',OTH
'vote butt right office part problem america part solution ideas tricks work time #kag #confirmkavanaugh #maga',GRP
'personal responsibility drunk boys boys drunk #republicans #conservatives #kavanaugh',IND
'damn right think different part problem country thank president instead putting ahead americans',OTH
'bitch life eyes',IND
'along even',IND
'people fascist tactics fascists thats antifa want start posting videos antifa',GRP
'democrats disgusting behavior disrespect country constitution united states oath citizens constitution',GRP
'fuck forgot pants know know',IND
'hypocrite private around world',IND
'absolute worse period',IND
'family arent maga dont care theyre apart culture completely zero idea going world tell &amp even dont care',GRP
'losing even arent face okay',IND
'said paying wanted said come',OTH
'stupid average americans makes decisions',IND
'bitch shut back getting facts straight',IND
'liberal',OTH
'trudeau liberals incompetent handle',GRP
'real goal make everyone dumb',IND
'thing right even look thread asshole posted thing defense fuck shit',IND
'shit face_with_tears_of_joy face_with_tears_of_joy',IND
'mind israel stand democrats public promote control shame things even came mind seen much left surprised anything',GRP
'heard cock',IND
'keep saying different shit people said',OTH
'words words',IND
'shows absolutely ideas problems isnt answer right dead',IND
'probably fuck',IND
'ruin shit',IND
'looking #maga #walkaway',IND
'held contempt',IND
'told matter much life keeps',IND
'liar',IND
'totally',IND
'democrat cant even #maga',IND
'monster',IND
'saying guilty happened innocent guilty innocent least tweet apology shut answer tweet',IND
'daughters',IND
'boring individual seems good',IND
'actually long anyone even native americans first facts straight wanna throw make sure know throwing first',OTH
'pile_of_poo help besides hoping high body count blame trump',IND
'stupid tweet rolling_on_the_floor_laughing rolling_on_the_floor_laughing pile_of_poo',IND
'probably sister cares',IND
'eric holder arms jail',IND
'shit',IND
'another #republicans trump swamp lier #maga',GRP
'victim another desperate',IND
'back',IND
'fucking nigga',IND
'threatening american citizens kill women arrest',GRP
'needs shut ugly hole face think fact shes giving kavanaugh family rights citizens head theyre guilty theyre conservatives needs around decent people',IND
'mueller crooked long',OTH
'people racist comments posts blocked follow accounts posting crap think trying make #maga look racist feel free block think youre ignorant',GRP
'antifa upset antifa group &amp people',GRP
'argument #kavanaugh constitutional democrats started civil clinton propaganda obama scared animals antifa &amp ms13',GRP
'antifa',IND
'love aint never gonna stop',IND
'broke better sleep shes lying feet going kicked',IND
'usual doesnt clue kids must make shit takes crap',IND
'asshole',IND
'right puerto rico fraud',IND
'watched play gets first attempt worth holding',IND
'nope going miss sorry',IND
'thats crazy story wrong theres numbers wouldnt soon walk aint shit',OTH
'silly know going white house mental stage',IND
'gonna make fucking time blame',OTH
'well said must true hurricane piece something',IND
'sucks',IND
'mean sense private public service people public opinion democracy',GRP
'credible believe worse either gordon 2018',IND
'sorry',IND
'dregs society isis antifa planned liberals democrats support accusing others biden guilty',GRP
'listening juan williams crazy ignorant facts thank waters ladies',IND
'thats calling black liberals nothing bullies trump',GRP
'fascist antifa',IND
'round control whining hands still tells judge real world idea real world',IND
'troll glad went away trump supporters told thank real going actually fight everyone matter choose vote isnt awesome please need help',IND
'need control',OTH
'prove claim exposed lying piece shit',IND
'much type attention boss wanna people worth live prime time covered life lord followers dont care',IND
'dont disrespect definitely shit back loudly_crying_face',IND
'never heard shit canada police history conservatives',OTH
'imagine ford member antifa judges',IND
'',IND
'worst things useless',IND
'none fucking good',IND
'stop_sign news stop_sign deals another blow democrats kavanaughs',IND
'awesome love hearing destroy liberals trudeau',GRP
'coming back movie worth cause shit shows intelligence',IND
'deranged demented perfect match democratic party',OTH
'favorite actor',IND
'liberals full hate talk anyone thinks funny words actions never match preach human decency politically bankrupt',GRP
'self name demon freedom #antifa',IND
'found name forgot',IND
'happen fall society religious conservatives right ones running government',GRP
'bernie congress long getting closer death dirt many write potus tell',IND
'face_with_tears_of_joy nigga well',IND
'crowd',IND
'thank saving people assholes',IND
'crazy funny used funny crazy become',IND
'keep good work liberals waste time crying pointing country closer maga',IND
'comment shows refused facts fascist antifa personal attack bully research stop look stupid',GRP
'voters better wake hell voters arent worried midterms thats #maga',GRP
'cant accuse someone something &amp expect come forward &amp suppose believe &amp sure liberals think',GRP
'okay shit gotta face_with_tears_of_joy',IND
'fool democrats doesnt make look makes look ignorant level fool',IND
'mouth goes side shit dont',IND
'liberals progressives really dumb',GRP
'bitch*',IND
'aint loudly_crying_face grinning_squinting_face',OTH
'bitch',IND
'ignorant shameful people deep thinking lack vote',IND
'holy shit thats awesome',IND
'response former fans quit support little #maga',IND
'problem cant intelligent debate issue want prove point question comments points counter comments instead left shows lack',IND
'know right busy giving credit scared death dont trust',OTH
'evil dare',IND
'think idiot liberals',GRP
'fact disrespectful rude nothing',IND
'sure hell',IND
'exactly tweet well making liberals folded_hands United_States red_heart latin_cross red_heart United_States folded_hands help folded_hands red_heart latin_cross latin_cross red_heart folded_hands',OTH
'guess',IND
'make useful head',IND
'people died officials robbed didnt jobs',OTH
'coward answer question posted conservative israel post positive facts counter canadian media helping liberal trudeau assault conservatives israel either ignorant liar',IND
'heard lying jealous cronies',GRP
'instead maga thinking_face thinking_face',IND
'dont destroy crime family well face many obama',GRP
'hell',IND
'lucky bitch face_with_tears_of_joy skull',IND
'maybe wouldnt things little sensible control fucking country',OTH
'start must numbers means refugees terrorist sexual criminals must stop cowards return native fight #maga',GRP
'aint part face_with_tears_of_joy check hood still dont word cause little educated brother friends feel though many people going left',IND
'speaking best best utter disrespect enforcement first middle high class disagree train biden dirty hand',IND
'awesome truly believe americans sick death left trying destroy america change country never vote america maga thank president trump country promises',GRP
'calling conservatives thats funny many tweet times higher sucks',IND
'sick work',IND
'gonna need whole thread done really feel haha',IND
'look europe europe muslim please watch video title muslim scared death unless muslim love mind america',GRP
'moment thought deaths fucked sick first',IND
'thought california control',OTH
'considering fact russia might using antifa spread black propaganda remember wall',OTH
'environment society keeps much voted shit hang head shame',IND
'poor violence antifa must nice live',GRP
'probably wrote together',GRP
'shes fuck cause yall quick call',IND
'hate much fucked whole',IND
'going destroy america done many care middle america americans cares hopefully light soon countries sell',GRP
'dont tweets calling bitch truly shocked train year',IND
'missing number',IND
'hasnt flake left dare people hang without evidence word memory fast',IND
'outrage conservatives liberals want know moral kavanaugh stand',GRP
'proving cancer american republic',GRP
'communist state controlled much #antifa love country people support enough said twitter',IND
'fully support antifa give money white cancer society illegal issue white lost done discussion',GRP
'cant sheep follow along fake news everyone think antifa',OTH
'hypocrite support control &amp protecting kids showing kids really support abortion whats difference kill',IND
'liberals never become lazy victims keep trying feel sorry someone',IND
'first movie globalist give enough make believe theyre unless educated',GRP
'times credit phone without second maybe next time even though hate screw',OTH
'thats career media people think youre piece shit wont make',IND
'disgrace',IND
'jealous',IND
'damn mind band took test lawyer last accusing judge crime years proof ruining mans life accusation proof stfu',IND
'guess chicago kids shit every strictest control around',GRP
'police first right saying things public others even says things says public extremely public figure using platform',OTH
'socialism stop civil behind control becomes clear clear process reading',GRP
'really think mentally family address issues maybe oped',IND
'still fucked',IND
'holy shit brainwashed',IND
'jeff antifa terrorist organization',GRP
'yeah back world handle shit',IND
'honestly surprised coming school noticed accuse stupid stuff dont',IND
'neither antifa black lives matter soros funded groups',GRP
'support trump',IND
'fucking hate',IND
'name right make people think right wing antifa fascist really black lives dont matter',GRP
'mass liberal white liberal control control',GRP
'thats majority friends second year point blow moving whole country hasnt hate apparently',IND
'disgrace home president anymore former president longer obamas country country belongs people sheeple #maga',IND
'please dont elect fake conservative bought &amp paid soros money many unethical things personal history',IND
'socialist democratic liberals stupid',GRP
'know another liberals corruption',GRP
'dont considered porn star',IND
'used black people none anything economy world everything saying nonsense leave',GRP
'good evil thing happening america globalist world leaders money believe evil good good evil read good book time',GRP
'antifa youre',IND
'crazy cause believe happen oncoming_fist',IND
'shit finally found',IND
'conservatives follow fascist',IND
'worst time history',IND
'dont give shit fans think theyre money',IND
'made last night kavanaugh child attention embarrassment country',IND
'nasty work',IND
'straight want hold confirmation hearing hear said said ford paper trump case illegal every woman stating honorable vote',GRP
'hillary supporters racist liberals',GRP
'lock sorry',IND
'needs canada spread place society control behind support liberals name safety kids guns',IND
'bunch liberals except sounds dems trying kavanaugh',GRP
'keep coming expected accept allegations face value left swamp need offenders #confirmkavanaugh #maga',IND
'trump voters getting really crazy maga',GRP
'trump maga',IND
'tomorrow night dropped make sure robbed fraud',IND
'yeah second call coach history know anything history know kind story goes',IND
'well theres idiot keep thinking show mirror every walk night search heart &amp soul used mention lots conservatives come mind',IND
'doubt female sore loser',IND
'little post shes bitch',IND
'shit know',IND
'flea',IND
'coward really right days party',IND
'crap false accusations well hurt democrat lies false accusations biased government biased media antifa bullies',IND
'saying labour party hatred hateful party conservatives less hateful claim tories',GRP
'United_States think collins stupid coward conservatives lives please vote kavanaugh care rest',IND
'makes skin looking woman theresa nation must removed',OTH
'took words mouth horrible',IND
'suck',IND
'offer shitty thats stop thinking still good living past',OTH
'good days conservatives around democrats never gave good days conservatives outrage promise next time yeah thats need thats healthy libs love',OTH
'clown_face idiot rolling_on_the_floor_laughing face_with_tears_of_joy grinning_face_with_sweat apple doesnt fall comes lying american people actually embarrassment well daddy',IND
'except whole emails prove wrong paid million year blame immigrants idiots pull gonna away healthcare gotta stupidity #maga',IND
'holder removed years',OTH
'control racist',OTH
'useful idiot longer need busy control busy trying figure election favor happen face_with_tears_of_joy United_States',IND
'families mass shootings nation normal country cant allow said truth mass shootings becoming normal control certainly help',OTH
'using authoritarian tactics media spread lies false reality followers smart people conservatives know theyre planned democracy',OTH
'wouldnt know damn well probably call cute people time couple wrong youre fucking concert dont attention',IND
'buying couple looking think becoming monster',IND
'spent huge nuts stupidity kind bunch scared antifa anyone bully even pathetic',GRP
'liberals never follow promises weve heard coward',GRP
'saying hell going something tweet crap',IND
'troll open facts',IND
'thats antifa lefties nothing violent spent time planning attack honorable zero evidence reason hold kavanaugh another crazy liberal',IND
'million losers',OTH
'saying info another long list need please keep expose hypocrites #maga #qanon #winning #wwg1wga',GRP
'official numbers joke millions americans lost jobs career unemployment years give jobs back',OTH
'fuck dope voter never vote left party dangerous',IND
'trump anything hurricane pretty sure shitting pants right',IND
'eric holder obamas corruption',IND
'liberals ruin life doesnt matter long must stop',OTH
'girl send maga hats',IND
'says bitch hiding behind dont hurt help sometimes cant everything alone fucking clown help something better nothing thats asked even cant dont hurt fuck twitter weak nigga',IND
'stupid perhaps reason chosen trade talks trudeau destroy everything reason canada allow terrorist destroy canada trudeau',IND
'horrible thats career',IND
'lies dont admit date maybe married true story police officer story excuse full shit please post',IND
'youre attacking standing husband youre liberals want ruin peoples lives bash people found guilty wants money',IND
'dont saying type dumb shit',IND
'stop nonsense block stupid',IND
'sick disturbed comment proves',IND
'liberal male straight female',OTH
'woman anti right playing youre disgrace',IND
'#liberals platform none people late decades last shows desperate heard theyre around high schools looking',OTH
'well sure support lying making false accusations intelligence rest liberals acting',IND
'sure proving daily #maga',IND
'although think decent without doubt worst president voting history worst question',IND
'sociopath',IND
'seriously words fucked every time think found word something even despicable &amp disgusting best hope stupid lies told serial killer soul',IND
'supporting monster biggest traitor modern days politics',IND
'think evil nazi tried presidential election kavanaugh another evil nazi democrats politicians destroy democracy america #walkaway make america great',GRP
'alex many nation leaders well',GRP
'control means great control',GRP
'liberals sick false lies',IND
'look moving word truth coming chance question agree belong dead dead water couldnt answer without true',IND
'blacks fine raping women liberals including bill clinton',GRP
'really charged #liberals liars',GRP
'thought help party kavanaugh remain anonymous likely promised party charged continue playing victim lying',IND
'chicago wont enforce laws books murders planned control liberals pass strict even guns black matter liberals trying pass agenda',GRP
'jesus fucken',IND
'lying much paying chinese',IND
'lmao good listen wife bought paid evil propaganda child russian stick tweets long prison',IND
'fucking sucks',IND
'many many fans amazing remembered dont bitch',IND
'bullshit isnt london murder capital europe control working right serious crime problems maybe care business home start tweeting',OTH
'deplorable despicable disgusting',IND
'democrats thugs',OTH
'never watch panthers suck',GRP
'nonsense want theyd forward part leadership',IND
'another getting pretty full tell sure',IND
'someones asking wasnt supposed well business business send school shit',IND
'antifa quite israel supporters youll find right protest well',OTH
'right position become politics result control years',IND
'whats hour liberals every minute refuses people lose credibility love face_with_tears_of_joy face_with_tears_of_joy #tcot',GRP
'clear majority conservatives trump dont stupid',IND
'help woman cant even mouth',IND
'using policies weak #conservatives corrupt',OTH
'sick hope teaching',IND
'killer house #maga',OTH
'hollywood full democrats',OTH
'dead even office likely news long time',IND
'antifa',IND
'idiot chance insulting conservatives supporting great dont think crazy',IND
'liar supporters talking last president went world apology even',IND
'much left antifa threat doubt attack',GRP
'took long beast',IND
'think democrats civil liberals',GRP
'first round shitty decision',IND
'weapons make walk night calling drug',IND
'fuck',IND
'course young dumb really brain wouldnt believe socialism',IND
'loudly_crying_face good game niggas working',GRP
'california creepy fake tries follow woman home #maga #kag',IND
'head taking criticism weak incompetent authoritarian',IND
'know good well tried explain control military base proof laws wont shit look hood',IND
'street long time knows things deep things agree gonna burn mueller already knows wants gonna give',GRP
'think maybe little research buddy',OTH
'couldnt letting bitch bitch dirt',IND
'shitty 100% second carry 100% control except violent',GRP
'started wall shit aint nothing wall getting door',IND
'fuck baby',IND
'seen former democratic fight president much know youve corrupt guilty abuse power times presidential',OTH
'read title already know whats coming support common sense solutions violence violence different violence common sense control chicago london',GRP
'somebody something show sucks anymore good though',OTH
'dont want either know leave going used better useless',OTH
'maybe antifa race &amp others',GRP
'yeah &amp criticism crying instead cool folks mostly',IND
'makes think liberals nothing liberal people spent insulting liberals black activists attacking deal liberal part passed policies',OTH
'fuck theyre trying looks somehow deserved shot',GRP
'come liberals lmao',GRP
'crap twitter forces conservatives',OTH
'aint shit done today',OTH
'well remember cops watched antifa thugs armed &amp attacked trump rally following orders thats &amp cops follow orders &amp cops protect',GRP
'nothing lefty media people made sure hill taken even conservatives remove leader almost even extremely commie',GRP
'hope well thats fucked seriously fuck wrong control issue though right thank live canada feel attacks seriously wont away',IND
'thats good getting hard find know people belong control abortion thats politics christ',GRP
'wonder burn come favor control control group stand',OTH
'turns humans humans form maybe care maga',GRP
'thousands thousands videos alone antifa attacking people trump republican events happening anywhere democrats people cover',IND
'shit created',IND
'maybe stop attacking conservatives might find dont',IND
'awful never much anyway grown acting bully best mark maga United_States',IND
'speak truth farrakhan &amp racist',IND
'murders done illegal gang members black families problem control problem judges violent offenders back street shooting someone',GRP
'asking question phony still playing trying save face obvious stupid people',IND
'brat much happy without seeing',IND
'look porn star',IND
'corrupt charge problem',GRP
'except administration allowed crime city bloody leftist snake',IND
'obama devil &amp trump jesus christ coming',IND
'dear lost president burn hell',IND
'liberals numbers money conservatives alone gets beat inside',GRP
'tweet fraud half americans important issue control question towards control propaganda',IND
'isnt',IND
'works absolutely ones fucking',OTH
'corruption much going times dont want dont want american people know really theyve #maga',GRP
'miss bitch',IND
'liberals sell liberals probably line looking private money dont care look health education next',GRP
'blow blow lmao',IND
'dear fascism #walkaway democrats antifa democrats fascists america hate different hoods party hate',GRP
'isis apparently obama world getting destroying cities antifa',IND
'lier ford soros pays well lawyer wont work know shame',IND
'never never know truth maybe first really stupid grab either doubt know complete truth',IND
'glad career ruined deserves ruined done doesnt mean doesnt mean',IND
'silly unhinged liberals',GRP
'upon right arms women week must easy test control laws apply rights theyd supported',GRP
'group wearing maga hats nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face hate school',GRP
'come lies done thing control open eyes obama years office sucking around last minute vote',IND
'niggas still gonna complain',GRP
'christ',IND
'well stop democrats stop using victims school shootings control agenda',OTH
'community name lost supported womans',IND
'attention lefties control left wing dont shoot create violent demand normal people disarm',GRP
'enemy people',GRP
'death internet bill rights leftist people based political beliefs western state controlling nearly life',GRP
'morons trudeau lying liberals values test ford trying save taxpayers money maybe thats',GRP
'bill happen people speak potus control',IND
'surprising nigga',GRP
'ridiculous comment liberals make government work conservatives along ideas less government always better unless socialist time government lose money',GRP
'comparing date rape disgusting hope family never deal rape disgusting',IND
'liberals fake news chris dope',GRP
'fast furious criminal behind',IND
'sure pope first name satan disgrace',IND
'shitting',IND
'twitter clear leftist agenda seen comments conservatives asking leftist shit feed didnt dont want stop trying push',GRP
'hurt trump',IND
'love woman telling truth every conservatives point people really stupid',GRP
'pushing control',IND
'democratic always race divide americans conservatives done color democrats color',GRP
'society',IND
'head #liberals supporters stupid think racist open borders crime minute look great country #maga',GRP
'liberals never handle truth make heads collision collision collision collision',GRP
'maybe drop angry something funny everyone political jokes dont think',IND
'bitches brain',GRP
'glad think know kick always back knows best thats awful live child experience things shitty people allowed',IND
'agreed probably white people screaming offensive wish brother wasnt forced twitter army remove said offensive things',GRP
'dregs society make sure never president',IND
'activist liar wants oath wont kavanaugh gets nominated',IND
'good morning followed back lets give crazy liberals hell',GRP
'perhaps house leader used think friend true',IND
'thats talking shit defending many intelligent minds held propaganda read documents deep know funds',IND
'thats shitty',IND
'crook',IND
'kind need control really stupid',IND
'screwed hearing dream liberals think happens trump gets removed',OTH
'little',IND
'comedian',IND
'selfish come',IND
'state kids protesting amendment youth took place young demand govt away name control',OTH
'metoo innocent continue lets kavanaugh fraud fight fire fire time male watch stop',GRP
'organization babies scream need control violence children somehow thousands innocent babies every',OTH
'empty whore',IND
'great wife reason animals crazy liberals something complain',IND
'conservatives killed hundreds people result conservative policies figures gordon brown thats shes stealing national health service attacks',GRP
'angry #maga losing vote #maga whine',IND
'shes drunk shes tired took sleeping silly',IND
'proven control lower deaths youve chosen ignore accuse without proof proof used states mentioned going continue ignore asking',IND
'michael moore face',IND
'years pathetic',IND
'holder prison',IND
'even make tell control nothing stop rate',IND
'totally disgraceful name',IND
'maybe fine people president talking antifa isnt left theyre left anti fascist movement lump left antifa lump right nazis vote',IND
'great',IND
'maga white people',GRP
'dont even know subject side class disagree fool',GRP
'hell talking still dont know conservatives',IND
'past control show super cheap',GRP
'damn',GRP
'thats biggest question away amendment left believe control worried expected keep giving haters',GRP
'shes idiot think moment',IND
'trump sounds great another much rest world hates #maga #wwg1wga #draintheswamp',IND
'close &amp funding peoples lives &amp sensible control defend planned time back intelligent education &amp fucking stupid',GRP
'liberals guilty youre conservative',IND
'liberals means never wrong liberals trump',IND
'liar',IND
'help doesnt help doesnt work poverty time high help doesnt thanks nothing',IND
'always everyone credit every posts fucking funny cares shes',IND
'&amp maga scared white making women',GRP
'pope satan',IND
'face_with_rolling_eyes really serious comparing positions nation slave keep proving ignorance &amp inability thought #maga',GRP
'stands says vote lying deserves played choice elected another',IND
'shit kill animal mother',IND
'agree think hated anyone life feel fact supposed leader makes stomach turn lost respect completely back allow',IND
'look reaction second mark clown',IND
'helping republican party unhinged',IND
'paying taxes crime human rights laws opinion issue anti sensible control mentally people want',IND
'video government evidence going jail #maga #qanon',IND
'fuck drug test',IND
'someone never played want tried year back kinda people fuck kinda trash',IND
'show saying alleged rape fault pretending conservatives blaming victim rape disgusting',IND
'antiamerican crap somewhere senate #maga',OTH
'another lying liberal many lying exposed documents liberals steal bring country stop antiamerican idiotic socialist movement vote republican november trump 2020',GRP
'destroyed america womens right child child killers illegals rights americans think wrong bill something besides liberals asses',OTH
'corrupt demented lunatic',IND
'bitch',IND
'liar',IND
'girl adult conversation thin somewhere',IND
'agreed control want people control without guns know knew',OTH
'hope fuck',IND
'fuckbucket',IND
'move block liberals said early vote made story slap face really sexually shows liberals really dont care true victims power first',OTH
'didnt stop taking shit glad changed still around absolutely sucks passed amazing',IND
'',IND
'right mind wouldnt conservatives',IND
'damn felt shit loud',OTH
'hard hearing ar15 ar15 evil control doesnt violence armed citizens less likely become victims mass shootings banning',GRP
'another terrorist brought',IND
'thats hilarious forget problems rolling_on_the_floor_laughing #thursdaythoughts #resist #maga #tcot',OTH
'open borders bring america dems vote life #kag #maga',GRP
'another illegal',IND
'become party “the going bunch',GRP
'real though silly liberals tricks kids',GRP
'youre blind realize',IND
'remember daughter married costs coward disgrace thank world hurt',IND
'love women believe women woman years adult reaction means hypocrisy',GRP
'know many cops trying buddy murderer',IND
'charges good charge foreign come',GRP
'right issue democrats lying american people long seems going crazy head',GRP
'liberals think guns problem',GRP
'miss williams great actor thinks miss williams order said rules apply even miss williams turning women dont bone miss williams order thats wall',IND
'actually liberals waters antifa promote violence',IND
'reading dear alive still talking control people',OTH
'crazy things liberals blame trump #tcot #maga #rednationrising',GRP
'antifa know seriously stupid thing',OTH
'jobs dont want might even office might arguing',IND
'posting illegal border soon started racist racist instead standing believes conservatives shouldnt',GRP
'dont forget terrorist obama around listen',IND
'said wasnt attack',IND
'imagine married crazy good',IND
'liberals 2019 heads poor leader even',IND
'term added list fuck terms term',IND
'right create thin legislation even created fight',IND
'teaching public schools communists terrorists &amp',OTH
'looking hard heads look republican congress',OTH
'really sickening issue liberals vicious',GRP
'call cause bone nigga',IND
'kavanaugh needs stop lying believe womans account credible going able',IND
'nothing attention start talking real issues racial sensible control prison issues important',IND
'russia',GRP
'chosen leader fuck christian claims lies defend chosen',GRP
'clinton cant stand woman anything stands believe even dangerous liberals',IND
'bitch',IND
'yeah bitch back beat sorry asses suck blew lead lmaoooo',IND
'whats state (and republicans refuse conservatives campaign kind need sick losers keeps giving',GRP
'fuck',IND
'trump interest safety country doesnt care control shooting country doesnt care selfish person everything',IND
'liberals think world living',OTH
'believe women even cant even offer specific women liars know liberals hypocrites stay least',GRP
'thats look charge bullshit almost everyone',GRP
'watching kept looking face_with_tears_of_joy good allowed shit play time face_with_tears_of_joy face_with_tears_of_joy',IND
'liberals stupid shit trump order isis think people murder killed isis',GRP
'voted together crazy',IND
'false constitutional rights honest americans nothing violent crime control violence citizen',OTH
'lost needs jesus christ latin_cross',IND
'nigga going next week',OTH
'nominated supreme court judge conservatives nerve',IND
'bastard',IND
'comes pain #magaUnited_States United_States United_States United_States United_States #wwg1wga',OTH
'awful',IND
'unless good accused rapist sitting highest land sure female love hear explain away',IND
'democrats liberals shit',GRP
'#liberals sort show still',GRP
'least brains fall first place conservatives believe everything feed',GRP
'arent conservatives left california perhaps threats calls antifa lucky',GRP
'conservatives vote stupidity',GRP
'security paid protect trash crazy people',GRP
'going jail',IND
'replace chris collins anyone #tcot #maga #rednationrising',IND
'fact called told damn proves',IND
'state chicago many strict control laws',IND
'shes thinks important female society real women',GRP
'first practice give serena looking silly',IND
'message going antifa members killed open carry nuts feel someone trying kill taking defend probably face jail someone stealing',GRP
'making conservatives sick cant make place',GRP
'find offensive know black people feel black born america want build stuff conservatives dont rules build house',IND
'left doesnt care women political gain story different democrat #walkaway #maga',GRP
'conservatives keep getting exposed child thats theyre abortion victims',GRP
'liberals full hate',GRP
'women didnt know anything accusation sounds cover planned disgrace office hold',IND
'wearing woman says police records tired liberals thinking ruin someones life dont trump',IND
'good luck dont follow along fascists #resist movement apple google know happened rhetoric dont need hate #antifa wrong',GRP
'support fight justice hold responsible accountable hypocrisy beyond moral standard outrage hide behind control leftists propaganda shame',OTH
'pile_of_poo',IND
'sorry ignorant tweet something without research ones arrested people care enough happening voices heard',IND
'bias made #maga racists watch',GRP
'gutierrez people died puerto rico gutierrez racist',IND
'bitch stfu',IND
'amendment half sorry away',IND
'sleazy greasy',IND
'please john away incapable',IND
'bitch lmao',IND
'crazy freaking liberals',GRP
'fucking serious talk father born ridiculous youre idiot think left antifa stands right wing',IND
'thing dems think monster turn first #maga #wwg1wga antifa terrorists backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down',IND
'liar always liar people puerto rico lives govt officials sent miss reported death hurricane stop lying',IND
'meant indeed fucked',IND
'shit phone bono never',IND
'grinning_face grinning_face grinning_face United_States United_States United_States #maga pervert supreme society',GRP
'happen played sister serena beat head tennis tell sister',IND
'look liberals destroy mans life',GRP
'shocking consider country wants smart control wild wild',OTH
'shes fucking bitch queen crown crown crown crown',IND
'awful',IND
'actually seems specific appears saying opposing control covering child catholic church',OTH
'consider supreme',IND
'everyone washington including john corrupt running light',OTH
'high school well someone said must true resign #thursdaythoughts #maga #resist investigate',IND
'following orders little troll',IND
'creep believes gods politics',IND
'democrats control mass shootings democrats liars',OTH
'think going burn next',IND
'fuck daddy',IND
'going #maga #walkaway make',OTH
'shit',IND
'yeah need better mental health thats stronger',GRP
'school stupid ideas left idea free college idea wonder conservatives call going schools book smart crazy',IND
'real american watch crap',OTH
'open case john kerry obama &amp bless trump #maga #kag',IND
'#qanon liberals throwing shit everything',GRP
'forgot bullshit drinking',IND
'people guns control',OTH
'right conservatives authoritarian fascism right wing politics taxpayers deal',IND
'think going probably back good luck getting anything done control seriously need country need background checks least',IND
'thats black referring group different white people calling conservative term thinking stuff antifa word quite search',IND
'phony opportunist look millions making gullible people lets millions help well peoples money money',IND
'conservatives keep terrible people',GRP
'thing easily well ugly',IND
'ford part antifa gang',GRP
'trash',IND
'antifa',GRP
'clown',IND
'killer red_heart',IND
'bitch together',IND
'least coward whats platform list time conservatives right thing',IND
'antifa anti fascism damn wouldnt want america maybe nazis',OTH
'disgrace dont remove',IND
'sucks',IND
'gitmo issues along obamas',GRP
'know youre racist sure know piece trash never hear shit speak truth racist lies bitch racist cops killing black brown people thats fact clown',GRP
'start think stupid rather question looking attention',OTH
'perfect example americans lying liberals disgusting',IND
'come literally public figure control call',IND
