@relation Train
@attribute word_tokenize string
@attribute subtask_c {IND,OTH,GRP}
@data
'part fraud pull togeth',OTH
'vote butt right offic # part problem america part solut idea # trick work time # # kag # confirmkavanaugh # # maga',GRP
'# person respons drunk boy boy drunk # republican # conserv # kavanaugh',IND
'damn right think differ part problem countri thank presid put # america # first instead put ahead american',OTH
'bitch life eye',IND
'trash along even',IND
'peopl fascist tactic fascist that antifa want start post video antifa riot',GRP
'concern democrat disgust behavior disrespect countri constitut unit state violat oath citizen constitut',GRP
'fuck forgot pant know know',IND
'hypocrit privat around world',IND
'absolut wors period',IND
'famili arent maga dont care theyr apart distract cultur complet zero idea go world tell & amp even dont care',GRP
'lose even arent shove face okay',IND
'said pay want sever said come',OTH
'stupid scare averag american make decis',IND
'bitch shut back get reveal # get fact straight',IND
'liber',OTH
'trudeau liber incompet handl',GRP
'real goal make everyon dumb',IND
'iron thing close right even agre look thread asshol post thing defens fuck shit',IND
'shit face_with_tears_of_joy face_with_tears_of_joy',IND
'cross mind israel order stand democrat public promot control shame thing even came mind seen much left surpris anyth',GRP
'heard cock',IND
'keep say differ shit peopl comment said',OTH
'word # mueller word # mueller',IND
'# show absolut idea problem face moder isnt answer right parrot dead',IND
'probabl fuck',IND
'ruin shit',IND
'look # maga # walkaway',IND
'( fast furiou ) held contempt',IND
'told matter much life keep',IND
'liar #',IND
'total',IND
'democrat cant even compet # maga',IND
'monster',IND
'say guilti happen innoc guilti innoc least tweet apolog shut answer tweet',IND
'satan daughter',IND
'bore individu seem good',IND
'actual long anyon even nativ american first fact straight wan na throw punch make sure know throw first',OTH
'pile_of_poo help besid hope high bodi count blame trump',IND
'stupid tweet rolling_on_the_floor_laugh rolling_on_the_floor_laugh pile_of_poo',IND
'probabl sister care',IND
'eric holder arm jail slip',IND
'shit',IND
'# # # # anoth # republican trump swamp lier # maga # women # christian',GRP
'victim anoth desper weirdo',IND
'back',IND
'fuck nigga',IND
'threaten american citizen kill women arrest',GRP
'need shut ugli hole face think fact she give kavanaugh famili benefit right citizen head theyr guilti theyr conserv need around decent peopl',IND
'mueller crook long',OTH
'peopl leav racist comment post block follow account post crap think tri make # maga look racist feel free block think your ignor',GRP
'antifa upset “ ” antifa group & amp threaten peopl home',GRP
'argument # kavanaugh constitut democrat start civil clinton propaganda obama scare anim back antifa & amp ms13',GRP
'qanon antifa list',IND
'love aint never gon na stop love',IND
'broke ( ( ( ( better run sleep she lie run feet go kick',IND
'usual doesnt clue kid must make shit take crap consist',IND
'asshol libtard',IND
'right puerto rico fraud',IND
'watch play rare get first attempt defens worth hold',IND
'nope go miss sorri',IND
'that crazi stori wrong apart there number door wouldnt notic soon walk aint shit',OTH
'silli know go white hous mental stage',IND
'gon na make fuck time blame',OTH
'well said must true handl hurrican piec someth',IND
'suck',IND
'mean sens privat compani public servic peopl profit public opinion democraci',GRP
'credibl believ wors either gordon brown 2018 cook',IND
'sorri',IND
'dreg societi isi antifa plan liber democrat support accus other biden guilti',GRP
'listen juan william drive crazi ignor fact thank water ladi',IND
'that call black liber noth bulli trump',GRP
'fascist antifa',IND
'round control whine hand still tell judg real world millionair idea real world #',IND
'troll glad went away trump support told thank real go actual fight everyon matter choos vote isnt awesom pleas need help',IND
'need control',OTH
'prove claim expos lie piec shit',IND
'much figur type attent grab boss wan na peopl worth live minut prime time cover life lord follow dont care',IND
'dont disrespect definit shit back dollar loudly_crying_fac',IND
'never heard thank shit canada polic histori conserv',OTH
'imagin ford member minor antifa judg #',IND
'',IND
'worst thing sport useless',IND
'none fuck good',IND
'stop_sign news stop_sign deal anoth blow democrat kavanaugh # #',IND
'awesom love hear destroy liber trudeau',GRP
'come back movi worth caus shit show intellig',IND
'derang dement perfect match democrat parti',OTH
'favorit actor connect kiss',IND
'liber full hate talk moral anyon think differ funni word action never match pretend preach human decenc emot polit bankrupt',GRP
'divid self name ” demon mark loss freedom # # # # antifa # # # # # # # # prayer # hope',IND
'found name forgot',IND
'# happen predict fall societi religi conserv right one run govern',GRP
'berni congress long get closer death dirt concern mani bill write endors decid potu tell',IND
'face_with_tears_of_joy nigga well',IND
'‘ antifa crowd',IND
'thank save peopl asshol',IND
'crazi funni use funni crazi becom',IND
'keep good work liber wast time cri point countri move closer great maga',IND
'comment show refus fact fascist antifa person attack bulli research stop look stupid',GRP
'voter better wake hell # poll find # voter arent worri midterm that # maga #',GRP
'cant accus someon someth & amp expect come forward & amp testifi suppos believ & amp sure liber think',GRP
'okay shit got ta face_with_tears_of_joy',IND
'fool democrat doesnt make look make look ignor level fool',IND
'mouth goe side shit dont',IND
'liber progress realli dumb',GRP
'bitch* ',IND
'aint loudly_crying_fac grinning_squinting_fac',OTH
'bitch',IND
'ignor shame peopl deep think lack vote',IND
'holi shit that awesom',IND
'willi hurt respons former fan quit support littl # maga',IND
'problem cant intellig debat issu want prove point norm question comment point counter comment instead left silenc show lack',IND
'know right piss busi give credit scare death dont trust',OTH
'evil dare',IND
'think idiot liber',GRP
'fact disrespect rude noth',IND
'sure hell',IND
'exactli tweet well make liber insan folded_hand united_st red_heart latin_cross red_heart united_st folded_hand help folded_hand red_heart latin_cross latin_cross red_heart folded_hand',OTH
'guess',IND
'make use buri head',IND
'peopl die offici rob didnt job',OTH
'coward answer question post conserv israel post posit fact counter canadian media help liber trudeau assault conserv israel either ignor liar',IND
'heard lie jealou croni',GRP
'instead maga thinking_fac thinking_fac # #',IND
'dont destroy crime famili well face mani obama',GRP
'hell',IND
'lucki bitch face_with_tears_of_joy skull',IND
'mayb wouldnt thing littl sensibl control fuck countri',OTH
'# start must number ( zero ) mean refuge terrorist sexual crimin must stop coward return nativ land fight # maga #',GRP
'aint part face_with_tears_of_joy check pussi hood still dont word caus littl educ way describ brother friend feel though mani peopl go left',IND
'speak best best utter disrespect enforc agent first respond middl high class race religion disagre # train punk # biden dirti hand',IND
'awesom truli believ american sick death left tri destroy america chang countri never vote america maga thank presid trump believ countri keep promis',GRP
'call conserv that origin funni mani “ poor ” tweet time higher suck',IND
'sick work',IND
'gon na need whole rant thread done realli feel haha',IND
'look europ chang europ muslim pleas watch video titl muslim scare death unless muslim love islam mind african america',GRP
'moment thought death sound fuck sick first',IND
'thought california control',OTH
'consid fact russia might use antifa spread black propaganda rememb wall',OTH
'environ societi keep roll much # vote shit hang head shame # # poverti #',IND
'poor refuge violenc antifa must nice live',GRP
'probabl wrote togeth piss',GRP
'she troll fuck caus yall quick call minor',IND
'hate much fuck whole',IND
'go destroy america done mani busi care middl america american care hope light soon countri sell',GRP
'dont offens tweet call bitch truli shock train year',IND
'miss number',IND
'hasnt flake left dare peopl hang without evid word memori shut fast',IND
'# select outrag conserv liber want know moral kavanaugh repub stand',GRP
'prove # # feminist cancer american republ',GRP
'communist state control much # antifa love countri peopl support enough said twitter stream',IND
'fulli support antifa give money white nation cancer societi illeg issu white nationalist lost done discuss',GRP
'cant sheep follow along fake news everyon think antifa',OTH
'hypocrit support control & amp protect kid show kid realli support abort what differ kill',IND
'liber never becom lazi victim keep tri feel sorri rais someon',IND
'first movi globalist give enough make believ theyr truth unless educ',GRP
'time credit afford phone without second mayb next time even though hate screw',OTH
'that career media peopl think your piec shit wont make',IND
'disgrac',IND
'jealou',IND
'damn mind band took test hire lawyer last month accus judg crime year proof ruin man life accus proof stfu',IND
'guess chicago kid shit everi strictest control around',GRP
'polic first right unfortun say thing public other even unfortun say thing say public extrem public figur use platform',OTH
'social effect stop measur civil know behind control becom clear clear pictur process read radic',GRP
'realli think mental famili address issu mayb ope',IND
'still fuck respect',IND
'holi shit brainwash',IND
'jeff antifa terrorist organ',GRP
'yeah back world handl shit',IND
'honestli surpris come school notic accus stupid stuff dont',IND
'neither antifa black live matter soro fund group',GRP
'support trump',IND
'fuck hate',IND
'name right make peopl think right wing antifa fascist realli black live dont matter',GRP
'mass shooter liber white liber control control',GRP
'that major friend second year point blow receiv move whole countri hasnt studi hate appar babi',IND
'disgrac home presid anymor break former presid step longer obama countri countri belong peopl sheepl # maga',IND
'pleas dont elect fake conserv bought & amp paid soro money mani uneth thing person histori',IND
'socialist democrat liber stupid',GRP
'know anoth liber corrupt',GRP
'dont consid porn star',IND
'monkey use centuri black peopl none anyth economi world billion everyth say nonsens leav',GRP
'good evil thing happen america globalist world leader money believ evil good good evil read good book time',GRP
'antifa your',IND
'crazi caus believ happen oncoming_fist',IND
'shit final found',IND
'conserv follow fascist',IND
'worst sport time histori',IND
'listen dont give shit fan think theyr count money',IND
'made last night kavanaugh child attent eye rant embarrass countri',IND
'# boycot nasti work',IND
'straight want hold confirm hear hear said said ford sign paper trump case illeg everi woman state honor vote',GRP
'hillari support racist liber',GRP
'lock sorri',IND
'need hunt canada spread place civil societi rifl control associ behind support liber name safeti kid gun',IND
'bunch liber dress mock trump ” except dress sound dem tri lynch kavanaugh # polit #',GRP
'bull $ hit keep come expect accept alleg face valu left swamp need offend # confirmkavanaugh # maga',IND
'trump voter get realli crazi maga',GRP
'trump maga',IND
'tomorrow night drop make sure rob fraud',IND
'yeah second call ( ) coach scumbag histori know anyth histori know kind scumbag stori goe',IND
'well there idiot keep think show mirror everi walk night search fill empti heart & amp soul use mention lot conserv come mind',IND
'doubt femal sore loser',IND
'littl appreci post she bitch thank',IND
'bull shit know',IND
'flea ',IND
'coward realli right disappoint day number parti',IND
'tough crap fals accus well hurt democrat lie fals accus bias govern agenc bias media antifa bulli',IND
'say labour parti hatr hate parti conserv less hate claim tori',GRP
'united_st think collin stupid coward & bulli conserv live pleas vote kavanaugh care rest',IND
'make skin look woman theresa nation must remov',OTH
'took word mouth horribl',IND
'suck',IND
'offer shitti brown that stop think still good live past',OTH
'good day conserv push around bulli democrat never gave good day conserv outrag promis next time yeah that need that healthi lib love',OTH
'# clown_fac idiot rolling_on_the_floor_laugh face_with_tears_of_joy grinning_face_with_sweat appl doesnt fall come lie american peopl # # actual embarrass well daddi',IND
'except whole email prove wrong paid million year blame immigr idiot pull gon na away healthcar got ta stupid entertain # maga',IND
'holder remov jail year',OTH
'control racist',OTH
'use idiot longer need busi bother control busi tri figur elect favor happen face_with_tears_of_joy united_st',IND
'thought prayer famili mass shoot nation normal countri cant allow normal said truth mass shoot becom normal control certainli help',OTH
'# use # authoritarian tactic media spread lie fals realiti follow smart peopl conserv know theyr plan democraci #',OTH
'wouldnt know damn well probabl call cute peopl propos concert time coupl wrong your fuck concert dont attent',IND
'buy coupl look class think becom teenag monster',IND
'spent hour laugh huge nut stupid kind bunch scare antifa pussi anyon bulli even pathet',GRP
'liber never follow promis weve heard coward',GRP
'say hell go someth tweet crap',IND
'troll open fact',IND
'that antifa lefti noth violent teacher spent time plan attack honor zero evid reason hold kavanaugh anoth crazi liber',IND
'million loser',OTH
'say releas info anoth long list hack need pleas keep expos fraud hypocrit # maga # # qanon # win # wwg1wga',GRP
'offici unemploy number joke million american lost job career unemploy benefit year give job back',OTH
'fuck dope independ voter never vote left parti danger',IND
'trump anyth relat hurrican pretti sure shit pant right',IND
'eric holder obama straw corrupt',IND
'liber ruin life doesnt matter long must stop',OTH
'girl send maga hat',IND
'say bitch hide behind dont hurt help sometim cant everyth alon fuck clown help someth better noth that ask even cant dont hurt fuck twitter weak nigga',IND
'incred stupid perhap reason chosen ‘ ‘ trade talk trudeau destroy everyth reason canada allow terrorist destroy canada trudeau',IND
'horribl that career die',IND
'lie dont admit date mayb marri true stori polic offic stori excus full shit pleas post photo',IND
'your jerk attack stand husband your liber want ruin peopl live bash peopl found guilti want money',IND
'dont say type dumb shit',IND
'stop nonsens block stupid',IND
'sick disturb comment prove',IND
'liber male straight femal',OTH
'judg woman anti right play your disgrac',IND
'# liber platform none peopl late decad last centuri show desper heard theyr around high school look',OTH
'well sure support lie make fals accus intellig rest liber act',IND
'sure prove daili # maga',IND
'although think decent without doubt worst presid vote histori worst question',IND
'sociopath',IND
'serious word fuck everi time think found word someth even despic & amp disgust best hope stupid lie told serial killer soul',IND
'support monster biggest traitor modern day polit',IND
'think bother evil nazi tri presidenti elect kavanaugh anoth evil nazi democrat politician destroy democraci america # walkaway make america great',GRP
'alex mani nation leader well',GRP
'control mean great control',GRP
'liber sick fals lie',IND
'look move word truth come chanc question agre belong dead dead water couldnt answer without condemn true',IND
'lynch ( republican ) black fine rape women liber includ bill clinton',GRP
'realli charg # liber liar',GRP
'thought profil help parti kavanaugh remain anonym like promis parti charg continu play victim lie',IND
'chicago wont enforc law book murder plan control liber pass strict even gun black matter liber tri pass agenda',GRP
'“ holi jesu fucken christ ”',IND
'lie much pay how chines',IND
'lmao good listen wife bought paid evil propaganda child murder russian agent stick tweet long prison sentenc',IND
'fuck suck #',IND
'meet mani mani fan amaz rememb dont bitch',IND
'bullshit isnt london murder capit europ control work right seriou crime problem mayb care busi home start tweet',OTH
'deplor despic disgust',IND
'democrat thug',OTH
'never watch panther suck',GRP
'nonsens want theyd forward letter part face leadership challeng challeng',IND
'anoth get pretti full tell sure',IND
'someon ask wasnt suppos park well busi busi send school shit',IND
'antifa quit israel support youll find flag right protest well',OTH
'right posit becom polit result delay control year',IND
'what fail miser hour liber everi minut # refus commit appear peopl lose credibl love face_with_tears_of_joy face_with_tears_of_joy # tcot',GRP
'clear major conserv approv trump dont stupid',IND
'help woman cant even sentenc mouth',IND
'# theresa use # polici weak # govern # # # conserv corrupt # # # corrupt',OTH
'sick hope teach',IND
'killer hous # maga #',OTH
'hollywood full demon democrat',OTH
'dead even offic like news long time',IND
'remind antifa',IND
'idiot # biden feel chanc insult conserv support great # dont think crazi',IND
'liar support talk embarrass last presid went world apolog even',IND
'much toler left antifa suspect threat doubt attack report',GRP
'took long beast',IND
'think democrat plan civil liber lunat',GRP
'knock first round shitti decis',IND
'dress weapon make walk night call drug cartel',IND
'fuck',IND
'cours young dumb realli brain wouldnt believ social',IND
'loudly_crying_fac good game nigga work',GRP
'california creepi fake tri follow woman home # maga # kag # california # # #',IND
'head take critic weak incompet authoritarian',IND
'know good well tri explain control militari base proof grab law wont shit look hood',IND
'street long time know thing deep thing agre gon na burn folk mueller alreadi know want gon na give',GRP
'think mayb littl research buddi',OTH
'couldnt catch let bitch bitch dirt',IND
'shitti 100 % second carri 100 % control except violent felon',GRP
'start hit wall shit aint noth wall get door',IND
'fuck ride babi',IND
'seen former democrat fight presid much know youv corrupt guilti abus power time presidenti',OTH
'read titl alreadi know what come support common sens solut reduc violenc violenc differ violenc firearm common sens control chicago london',GRP
'somebodi someth show suck anymor good though #',OTH
'# # # remain dont want either know leav go use better stay useless',OTH
'mayb antifa race & amp dildo other butt',GRP
'yeah immatur & amp critic cri block instead accept cool folk mostli',IND
'make think liber noth liber peopl spent insult liber black activist attack deal liber part pass polici',OTH
'fuck theyr tri look somehow deserv shot',GRP
'come liber lmao mute',GRP
'connect crap twitter forc conserv',OTH
'aint shit done today',OTH
'well rememb cop watch antifa thug arm & amp attack trump ralli follow order that soldier & amp cop soldier follow order & amp cop protect',GRP
'# noth lefti media peopl made sure hill taken even conserv remov leader almost sign even extrem commi',GRP
'hope well that fuck serious fuck wrong control issu though right thank live canada feel brutal attack serious wont away',IND
'that good church get hard find know peopl belong church control abort that polit christ',GRP
'wonder burn levi come favor control levi team control group stand silent',OTH
'turn human human form mayb care maga',GRP
'thousand thousand video alon antifa attack peopl trump ralli republican event happen anywher democrat scale peopl cover',IND
'shit creat',IND
'mayb stop attack conserv might find dont',IND
'aw never much anyway grown act bulli best mark maga united_st',IND
'speak truth # loui farrakhan antisemit & amp racist',IND
'murder done illeg gang member affect latino black famili problem control problem judg violent offend back street shoot someon',GRP
'ask question phoni still play tri save face obviou fake stupid peopl',IND
'sister remind brat much happi without see',IND
'look porn star #',IND
'corrupt charg problem',GRP
'except administr allow crime citi bloodi leftist snake',IND
'obama devil & amp trump jesu christ come',IND
'dear lost presid burn hell',IND
'liber number money conserv smoke alon get beat insid hour',GRP
'tweet fraud half american import issu control question bias toward control deliber know propaganda',IND
'isnt',IND
'work absolut one fuck',OTH
'corrupt much go time dont want slip dont want american peopl know realli theyv # maga',GRP
'miss bitch',IND
'liber sell liber probabl line look privat money dont care look health educ next',GRP
'blow blow lmao',IND
'dear fascism # walkaway democrat antifa democrat fascist america hate differ color hood parti hate',GRP
'isi appar obama world get destroy citi antifa',IND
'lier ford soro pay well lawyer wont work know shame',IND
'settl never never know truth mayb grab first spit realli stupid grab either doubt know complet truth',IND
'glad career ruin deserv ruin done celebr doesnt mean excus doesnt mean',IND
'silli unhing liber',GRP
'restrict upon right arm women abort restrict week must easi test control law appli right theyd support',GRP
'group wear maga hat nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac hate school',GRP
'come lie done thing control open eye obama hero year offic suck around last minut vote',IND
'nigga still gon na complain',GRP
'obsess christ',IND
'well stop democrat stop use victim school shoot control agenda',OTH
'commun name modern lost reflect support woman',IND
'attent lefti demand control shooter left wing dont shoot creat violent demand normal peopl disarm',GRP
'enemi peopl',GRP
'death internet bill right prevent leftist peopl base polit belief western civil state control nearli life',GRP
'moron trudeau lie liber valu test ford tri save taxpay money mayb that',GRP
'bill happen peopl speak potu control',IND
'surpris nigga',GRP
'ridicul comment liber make govern work conserv along idea less govern alway better unless socialist time govern pass lose money liberti',GRP
'compar date rape disgust hope famili never deal rape disgust',IND
'liber addict fake news chri dope',GRP
'fast furiou crimin behind',IND
'sure pope first name satan disgrac',IND
'shit',IND
'twitter clear leftist agenda seen comment conserv ask leftist shit feed didnt dont want stop tri push',GRP
'trash hurt trump',IND
'love woman tell truth everi conserv point peopl realli stupid',GRP
'push control',IND
'democrat alway race divid american conserv done color democrat color discuss',GRP
'societi',IND
'head # liber support stupid think racist open border crime minut look great countri # maga',GRP
'liber never handl truth make head collis collis collis collis',GRP
'mayb drop angri someth funni everyon polit joke dont think',IND
'bitch brain',GRP
'glad think know kick alway back know best that aw live child experi thing shitti peopl allow',IND
'agre probabl white peopl scream offens wish brother wasnt forc twitter armi remov said offens thing teenag',GRP
'dreg societi make sure never presid',IND
'activist liar want oath wont kavanaugh get nomin',IND
'good morn follow back let give crazi liber hell',GRP
'perhap hous run leader use think friend reveal true intent',IND
'that talk shit defend mani intellig mind held propaganda read document deep know fund',IND
'that shitti',IND
'crook',IND
'kind need control realli stupid',IND
'screw hear dream liber think happen trump get remov',OTH
'littl',IND
'comedian',IND
'“ let selfish come know ”',IND
'state kid protest amend youth took place young demand govt away liberti name control',OTH
'metoo lynch innoc continu let kavanaugh fraud fight fire fire time male watch stop',GRP
'organ babi profit scream need control violenc children somehow 100 thousand innoc babi everi line pocket',OTH
'empti head whore',IND
'great wife reason anim exist crazi liber someth complain',IND
'conserv kill hundr peopl direct result conserv polici figur gordon brown that she steal nation health servic attack',GRP
'notic angri # maga lose vote # maga whine',IND
'she drunk she tire took sleep silli',IND
'proven control lead lower death youv chosen ignor accus studi without proof proof use state mention go continu ignor ask',IND
'michael moor face',IND
'year pathet',IND
'holder prison',IND
'even make specif tell control noth stop homicid rate',IND
'total disgrac name',IND
'mayb fine peopl dipshit presid talk antifa isnt left theyr left anti fascist movement lump left antifa lump right nazi vote',IND
'# # great',IND
'maga white peopl',GRP
'dont even know subject side class ( even disagre ) fool',GRP
'hell talk still dont know conserv',IND
'past control show super cheap',GRP
'damn cathol',GRP
'that biggest question away amend left believ limit control worri expect keep give hater',GRP
'she idiot intern think moment',IND
'trump sound great anoth last remind much rest world hate # maga # wwg1wga # # draintheswamp #',IND
'close & amp fund peopl live & amp sensibl control attempt defend plan time roll back intellig educ & amp replac teach fuck stupid',GRP
'innoc appli liber guilti your conserv',IND
'liber mean never wrong liber trump',IND
'liar',IND
'help doesnt help doesnt work poverti time high help doesnt thank noth',IND
'alway everyon credit everi post fuck funni care she',IND
'& amp maga scare white make women properti',GRP
'pope satan',IND
'face_with_rolling_ey realli seriou compar posit nation slave keep prove ignor & amp inabl thought # maga',GRP
'stand say vote lie deserv defeat play choic elect anoth',IND
'shit kill anim mother',IND
'agre think hate anyon life feel fact suppos leader make stomach turn lost respect complet back allow',IND
'look reaction second mark clown',IND
'help republican parti unhing rant',IND
'pay tax crime human right law opinion issu anti sensibl control prevent mental peopl own want',IND
'video corrupt govern evid go jail # maga # # qanon # #',IND
'fuck drug test',IND
'someon never play want tri year back kinda peopl fuck kinda trash',IND
'show say alleg rape fault pretend conserv blame victim rape disgust straw',IND
'antiamerican crap somewher # senat # maga',OTH
'anoth lie liber mani lie libtard expos document liber cheat steal bring countri stop antiamerican idiot socialist movement vote republican novemb trump 2020',GRP
'destroy america women bathroom right child child killer illeg right american think wrong bill someth besid kiss liber ass',OTH
'compar compar corrupt dement lunat',IND
'bitch',IND
'liar',IND
'girl adult convers thin somewher',IND
'agre control want peopl control without gun know knew',OTH
'hope fuck',IND
'fuckbucket ',IND
'pure move block nomin liber said earli vote made stori slap face realli sexual harass show liber realli dont care true victim power first',OTH
'didnt stop take shit glad chang still around absolut suck pass amaz',IND
'',IND
'right mind wouldnt conserv',IND
'damn felt shit loud',OTH
'hard hear ar15 ar15 evil control doesnt violenc arm citizen less like becom victim mass shoot prevent ban',GRP
'anoth terrorist brought',IND
'that hilari # legal forget problem # rolling_on_the_floor_laugh # thursdaythought # # resist # resist # maga # militari # veteran # tcot #',OTH
'open border bring america dem vote life # kag # maga',GRP
'anoth illeg',IND
'becom parti “ the fall ” go die ” bunch',GRP
'qanon real though silli liber trick kid',GRP
'your blind realiz',IND
'rememb daughter marri defend cost coward disgrac thank world hurt',IND
'love women believ women woman year adult reaction mean hypocrisi',GRP
'know mani home cop tri buddi murder',IND
'charg good charg foreign fucker come',GRP
'right issu democrat lie american peopl long late seem go crazi head',GRP
'liber think gun problem',GRP
'miss william great actor think miss william order said rule appli even miss william turn women dont bone miss william order that wall',IND
'actual liber water antifa promot violenc',IND
'read dear burn aliv still talk control peopl',OTH
'crazi thing liber blame trump # tcot # maga # rednationris',GRP
'antifa know money serious stupid thing',OTH
'suggest job dont want might even offic might argu',IND
'post illeg border soon start racist racist instead stand believ conserv shouldnt pick',GRP
'dont forget terrorist obama around listen',IND
'said wasnt attack',IND
'imagin marri crazi # good',IND
'liber 2019 head poor leader even',IND
'term ad list fuck term includ term',IND
'right creat monster thin legisl even creat fight',IND
'# teach guid # public school celebr islam communist terrorist # abort promot # & amp & gt #',OTH
'look hard head look republican congress',OTH
'realli sicken issu liber viciou',GRP
'call caus bone nigga',IND
'kavanaugh need stop lie believ woman account credibl go abl',IND
'noth attent whore start talk real issu racial injustic sensibl control prison issu import',IND
'russia',GRP
'& chosen leader fuck christian conserv & gt claim lie defend “ god chosen leader ”',GRP
'hilari clinton cant stand woman anyth stand believ even danger liber',IND
'bitch',IND
'yeah bitch back beat sorri ass suck blew lead lmaoooo',IND
'what state ( and countri ) republican refus govern conserv campaign ( who doesnt ) kind need sick loser keep give',GRP
'pick fuck',IND
'trump interest care safeti countri doesnt care control shoot countri doesnt care selfish person everyth',IND
'liber think world live',OTH
'believ women even cant even offer specif detail women liar know liber hypocrit stay consist least event',GRP
'that look charg bullshit almost everyon',GRP
'watch kept look face_with_tears_of_joy train good allow shit play time face_with_tears_of_joy face_with_tears_of_joy',IND
'liber stupid shit trump order elimin isi ( obama didnt ) peopl think peopl murder ( save ) kill isi',GRP
'vote togeth crazi',IND
'fals constitut right honest american noth violent crime control violenc citizen',OTH
'lost need jesu christ latin_cross',IND
'nigga go next week',OTH
'nomin suprem court judg conserv nerv',IND
'bastard',IND
'come pain # magaunited_st united_st united_st united_st united_st # wwg1wga',OTH
'aw',IND
'unless good accus rapist sit highest land sure femal love hear explain away',IND
'democrat liber shit',GRP
'# liber sort show still care',GRP
'least brain fall first place unlik conserv believ everyth feed',GRP
'arent conserv left california perhap threat call antifa jack lucki',GRP
'conserv vote stupid',GRP
'secur paid protect trash crazi peopl',GRP
'go jail',IND
'replac chri collin anyon # tcot # maga # rednationris',IND
'fact call respect told prefer damn prove',IND
'state chicago protect mani strict control law',IND
'she think import femal societi real women',GRP
'first practic deceiv give serena look silli',IND
'messag go antifa member kill open carri nut feel someon tri kill take defend probabl face jail someon activ steal',GRP
'make conserv sick cant make poll place',GRP
'find offens know black peopl feel black african born america want build stuff conserv censorship dont rule build hous',IND
'left doesnt care victim women minor polit gain stori differ democrat # libtard # walkaway # maga',GRP
'conserv keep get expos child fucker that theyr abort victim',GRP
'liber full hate #',GRP
'document women sign didnt know anyth accus sound cover plan disgrac offic hold',IND
'wear woman say polic record tire liber think ruin someon life dont trump',IND
'good luck dont follow along fascist # resist movement appl googl know happen rhetor dont need hate spew # antifa wrong',GRP
'support fight justic hold respons account hypocrisi beyond moral standard outrag hide behind control leftist propaganda begin shame',OTH
'pile_of_poo',IND
'sorri ignor tweet someth without research one arrest peopl care enough happen voic heard',IND
'bia made # maga racist watch',GRP
'gutierrez peopl die puerto rico gutierrez racist hispan',IND
'bitch stfu',IND
'amend half roll sorri away',IND
'sleazi greasi ',IND
'pleas john away incap report',IND
'bitch lmao',IND
'crazi freak liber',GRP
'fuck seriou italian talk father born ridicul your idiot think left antifa stand dictat right wing',IND
'iron thing dem think monster turn first # maga # wwg1wga antifa terrorist backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down',IND
'liar alway liar peopl puerto rico live govt offici suppli sent miss report death hurrican stop lie',IND
'reflect meant inde fuck',IND
'shit phone bono never',IND
'dreg grinning_fac grinning_fac grinning_fac united_st united_st united_st # maga & gt & gt & gt & gt & gt & lt & lt & lt & lt & lt & lt pervert suprem societi',GRP
'happen play sister “ serena beat head tenni ” tell sister exist ”',IND
'look liber destroy man life',GRP
'shock consid countri want smart control wild wild',OTH
'she fuck bitch queen crown crown crown crown #',IND
'aw',IND
'actual seem specif appear say oppos control cover child molest cathol church',OTH
'consid sourc suprem kiss',IND
'everyon washington includ john corrupt elit run light',OTH
'schumer high school well someon said must true resign # # thursdaythought # # # maga # resist investig',IND
'follow order littl troll',IND
'arrog creep believ god gift polit',IND
'democrat control mass shoot determin democrat liar',OTH
'think # altright go burn jean next',IND
'fuck daddi',IND
'# go # maga # # # # walkaway # make',OTH
'shit',IND
'yeah need better mental health ( that replac stronger control )',GRP
'school stupid idea left idea free colleg bigot idea wonder conserv call go school book smart crazi',IND
'real american watch crap',OTH
'open case john kerri obama & amp billion bless trump # maga # kag # ( full link',IND
'# qanon liber monkey throw shit everyth',GRP
'forgot bullshit suck drink koolaid',IND
'peopl gun control',OTH
'authoritarian right conserv authoritarian fascism right wing centrist polit profit taxpay risk deal',IND
'think go probabl back pocket good luck get anyth done control serious need countri need background check least',IND
'that black refer group differ white peopl call conserv term think stuff antifa word quit search',IND
'phoni opportunist look million make gullibl peopl let donat million help well peopl money money',IND
'conserv keep doubl terribl peopl',GRP
'thing easili trigger well ugli',IND
'ford part antifa gang',GRP
'trash',IND
'& antifa soldier',GRP
'clown',IND
'killer red_heart',IND
'bitch togeth',IND
'least coward what platform list # time conserv right thing',IND
'antifa anti fascism damn wouldnt want america mayb nazi',OTH
'disgrac danger dont remov',IND
'suck',IND
'gitmo holder issu along obama clown',GRP
'know your racist monkey sure know piec trash never hear piec shit speak truth racist lie bitch racist cop kill black brown peopl that fact clown',GRP
'start explain think stupid rather write question look attent',OTH
'perfect exampl american lie liber disgust',IND
'come liter public figur control call',IND
'quick blame democrat blame obama blame control blame black ( ) blame democrat',GRP
'correct liber easi figur make america great liber woman',GRP
'move north find oppress authoritarian control want countri ownership work good luck',OTH
'fuck dildo antifa fuck go',IND
'bill clinton enjoy rape enjoy kill cool',IND
