@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'bitch fucking felt skul',IND
'told stop eating',IND
'given',IND
'know incapable understanding',IND
'cant isis blow asshol',OTH
'john kerry loser traitor country doesnt understand voted party hated iran deal working iran worst acting foreign government &amp isnt',IND
'donald trump said cruz lying cant trust wife said father involved shooting president president texas america cant trust lier stand texas',IND
'satan',IND
'people calling everyone nazis becomes stupid people called bash nazi turns half family death nazis keep word',OTH
'shit talking already know fuck',IND
'almost forgot nigga past life lmao',IND
'liberal doesnt even',IND
'terror attacks brought eric holder obama administration control',IND
'lmao fuck',IND
'completely believe traitor',IND
'life shes threatening kill everyone another',IND
'block idiot even worth post',IND
'obama liberal judges tired looking stupid california control',IND
'nope clear lying every accusation known child true conservatives love',GRP
'antifa good kil',GRP
'dont fucked umpire ruin things',IND
'dems done except back accused black raping white women play playbook everyone liberals crying outrage fake arent ellison resign',GRP
'democratic party wont anything muslim &amp dont care muslim needs terrorist ellison supports antifa people foul',GRP
'added last',GRP
'liberals fake media &amp walking thin forget real americans ones trump white house never allow white house #kavanaugh vote sick',GRP
'dont want want fucking control seriously trying',IND
'made guys dumb shit',IND
'ouch horr',IND
'dildo',IND
'',IND
'treason hang business even trying think trump needs lock fast',IND
'people thinking really bitch face_with_tears_of_joy',IND
'pointing culture part problem liberals culture culture change black doesnt poverty resist',GRP
'please understand army support certain things saying dont understand point title',IND
'real suck pussy mother fuck',IND
'youre part resistance certain control question want government called control dont think thats argument',IND
'failure every',IND
'antifa arent fascist theyre terrorist',GRP
'quite possible right start',IND
'turn juan speaks real',IND
'talk calling black ashamed cash iran &amp helping iran become power better gave clean mess',GRP
'people vote color referring white bright white color next racial statement obama',GRP
'away',IND
'starting pants worried dirty coming concerned getting view #maga #drainthedeepstate',IND
'target keep theres shit thats target place year',IND
'wont stupidity liberals face stupidity proves might little body',GRP
'member years arent surely means abused mean know dont understand next level ignor',IND
'absolutely fucking done',IND
'exactly shut',IND
'watch obama long stomach even narcissist every full full shit',IND
'holder real quality wouldnt know truth',IND
'probably know please tell still jail better dead strong woman sorry happen',IND
'fuck pizza',IND
'reading thread sure seems followers arent control face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',IND
'obvious going liberals continue',GRP
'come texans replace',IND
'busy spreading hate sure feel fine children conservatives represent everything wrong education system',IND
'great today gone wanted wanted wont back still looks great fuck bigger dick shes',IND
'understand wanting title stop talking start getting done enough already youre coward beat somebody theyre look',IND
'sorry hear sick mental liberals pathetic support',GRP
'using feminist card excuse behavior getting wanted played woman simply better today every woman room nonsense feel',GRP
'people died local government corrupt',OTH
'criminal mess last night always made another great point starting investigation crime truth coming',IND
'expect likes eric piece crap',IND
'liar clear liar',IND
'protection support sham',GRP
'shows tell interview long know sounds unhinged line tried fight back long',GRP
'really post angry except hardcore liberals',GRP
'liberals devils hold hands stand together know arent alone fight decency call names want doesnt matt',GRP
'exactly sorry till found people bullshit idiots',IND
'voice head asking around explains situation &amp earth hand &amp hand says earth black',OTH
'forget michael coward',IND
'gets confirmed conservatives dont care rapist',GRP
'people losing jobs &amp &amp economy &amp obama saving country hypocrit',IND
'seriously believe evil',IND
'makes good point career death',IND
'self traitor stupid',IND
'liberals without proper debate liberals killing canadian jobs #cdnpoli',OTH
'crazi',IND
'country wasnt america liberals believe anyth',IND
'bitch',IND
'liberals responsible american society ashamed know',GRP
'even liberal paper effect liberals dont believe accusations',GRP
'&amp student plan give every single student break &amp hundreds thousands lower rates cost taxpayers years nothing liar',IND
'*replaces chickens control*',GRP
'shitty world famous nobody tell voted nobody lives outside actually',OTH
'shit sucks thats watching',IND
'sucks major',GRP
'starting tweet nonsense',IND
'haha liberals desperate hilarious trying ends last minute tactic alleged emails sent people wonder trump theyre tired democrats crap',OTH
'narcissist',IND
'thats problem talking politician',IND
'good killed chance jail free card #maga',IND
'elect represent victim leave subject rules dont even control lets stop',GRP
'fuck someone every open',IND
'mark amazing real life show',IND
'hearing every turn thats least remember kavanaugh definitely scotus maga',IND
'always active play butt peopl',IND
'plenty democrat citizens leftist politicians &amp antifa thank',GRP
'push control narrative actual number much lower look using number high always playing polit',IND
'maybe shut slush fund probably going antifa people weapon',GRP
'republican hypocrit',IND
'better truth politicians never good america better',GRP
'class asshole wear talk call deplorable behind antifa hate filled lying bitch party call honorable least proud standing tru',IND
'disgrac',IND
'cheater chair rob',IND
'suck',IND
'feel dude fucking suck',IND
'feinstein wanted delay midterms hopefully #maga',IND
'maybe wrong didnt oath constitution people control crazy says dont know name perhaps google realize stupid',IND
'shit video coffin',GRP
'never respond among nothing good administration suck',IND
'nobody room even still thing mass shooting wrong time talk control',IND
'racist fake fake fake block accounts reason block emails service fake people hour date fake create',GRP
'love thats future liberals w',GRP
'aint stick make',OTH
'control',IND
'nobody thought years fight mind',IND
'woman left leaning bitch place platform',IND
'antifa thug america',GRP
'protect increase presidential kill wade limit voting rights control deal religious congress body lost went whole trump',IND
'#republicans love early talk common sense control events really want people forget kick ignore jobs protect public control works',IND
'sounds',IND
'well start promoting gave time sure tomorrow lets many conservatives &amp shut',IND
'shit went rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',IND
'cant live',IND
'face face wont speaking much longer person somebody teach find hard ugly',IND
'bono away sick',IND
'really another holy crap brought liber',GRP
'morons peopl',GRP
'president really hates enforcement #maga',IND
'putting',IND
'queen feel sorry card break',IND
'chicago strict control laws highest violence rate bankrupt second highest rate capital world',IND
'screwed stop',IND
'time canadians liberals trade deal months vote liberal make line makes sense trump able trade deals around world canada obvious anyone brain failure trudeau fail',IND
'hurt check',GRP
'guys known pure',GRP
'woman talks stupid becomes',IND
'fine young dead stupid reason come control solution yall many innocent people killed pouting_face pouting_face stop',GRP
'wrong many wish points received liberals full hate unfortunately idiot',GRP
'hollywood',GRP
'used make real statement people teach kid',GRP
'conservatives believe color guilty crimes rights killings conservative questions kil',GRP
'dont talk shit law',IND
'holder perverted view surprising democrat',OTH
'learn people dont care think politics read keep stupid fake home #maga',IND
'somebody please back coffin',IND
'theyre still number fake news network',OTH
'fuck',IND
'leader brain dead sheep time turn back',GRP
'called conservatives call supposed sexual every sexual political memory republicans really #kavanaugh',GRP
'fucking reason posting shows cant believe everyone',GRP
'shut fuck bigger dont shit',IND
'votes #democrats &amp lets many murders #conservatives',GRP
'never gets want know gives right wasnt money people paid',IND
'slave',IND
'tell meme biased human thats #qanon #maga',IND
'still spewing good lick presidents deaths liar',IND
'obama trade trump telling truth stupid leaders trump bless trump #maga #kag',IND
'control unconstitutional leftist fake news traitors keep lying people thats enemies peopl',GRP
'must liberals crazi',GRP
'democrats bastard',OTH
'flake search filled hatred potus behavior',IND
'dement',IND
'read whole thread guys thinks media social media sure mess head rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',IND
'never want deal become',IND
'court',IND
'know youre people make small trump supporters liberals support terrorist antifa',IND
'never forget racist liberals went thomas liberals worst peopl',GRP
'fuck happen',OTH
'dont know said arent liberals mean conservatives sounds upset matters doesnt matter theyre theres straight',GRP
'jail kind church getting away pedo crimes hell holding',OTH
'pope pope false prophet',IND
'clueless disgusting looks every thing know',IND
'haha yeah funny communists liberals destroying want china north perhaps perfect country instead desperately trying died freedom communist',OTH
'thats enemy people #fakenews political hide crimes #liberals',IND
'girl long hair realize years great today people wonder love show',IND
'someone please call control cant stop shooting foot',GRP
'lost disgusting behavior',IND
'terrorists antifa hateful racist thugs criminals black panthers groups place eith',GRP
'singing liberal bullshit song facts',IND
'tried shit worked first tim',IND
'conservatives think looks lmao',IND
'butt thinks know',IND
'ignorant fool become forgot ignorant obama current white house learn ignorant idiot president united states think president leave country hel',IND
'isnt boss wasnt responsible shouldnt arguing stupid',IND
'please tell something help home broken cause shes hospital broken loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_fac',OTH
'part fraud togeth',OTH
'vote butt right office part problem america part solution ideas tricks work time #kag #confirmkavanaugh #maga',GRP
'personal responsibility drunk boys boys drunk #republicans #conservatives #kavanaugh',IND
'damn right think different part problem country thank president instead putting ahead american',OTH
'bitch life ey',IND
'along even',IND
'people fascist tactics fascists thats antifa want start posting videos antifa riot',GRP
'democrats disgusting behavior disrespect country constitution united states oath citizens',GRP
'fuck forgot pants know know',IND
'hypocrite private around world',IND
'absolute worse period',IND
'family arent maga dont care theyre apart culture completely zero idea going world tell &amp even dont care',GRP
'losing even arent face okay',IND
'said paying wanted said come',OTH
'stupid average americans makes',IND
'bitch shut back getting facts straight',IND
'liber',OTH
'trudeau liberals incompetent',GRP
'real goal make everyone dumb',IND
'thing right even look thread asshole posted thing fuck shit',IND
'shit face_with_tears_of_joy face_with_tears_of_joy',IND
'mind israel stand democrats public promote control shame things even came mind seen much left surprised anyth',GRP
'heard cock',IND
'keep saying different shit people said',OTH
'words words',IND
'shows absolutely ideas problems isnt answer right dead',IND
'probably fuck',IND
'ruin shit',IND
'looking #maga #walkaway',IND
'held contempt',IND
'told matter much life keeps',IND
'liar',IND
'totally',IND
'democrat cant even #maga',IND
'monster',IND
'saying guilty happened innocent guilty innocent least tweet apology shut answer tweet',IND
'satans daught',IND
'boring individual seems good',IND
'actually long anyone even native americans first facts straight wanna throw make sure know throwing first',OTH
'pile_of_poo help besides hoping high body count blame trump',IND
'stupid tweet rolling_on_the_floor_laughing rolling_on_the_floor_laughing pile_of_poo',IND
'probably sister car',IND
'eric holder arms jail',IND
'shit',IND
'another #republicans trump swamp lier #maga',GRP
'victim another desperate',IND
'back',IND
'fucking nigga',IND
'threatening american citizens kill women arrest',GRP
'needs shut ugly hole face think fact shes giving kavanaugh family rights citizens head theyre guilty theyre conservatives needs around decent people',IND
'mueller crooked long',OTH
'people racist comments posts follow accounts posting crap think trying make #maga look racist feel free block think youre ignor',GRP
'antifa upset antifa group &amp people hom',GRP
'argument #kavanaugh constitutional democrats started civil clinton propaganda obama scared animals antifa &amp ms13',GRP
'antifa',IND
'love aint never gonna stop',IND
'broke better sleep shes lying feet going kicked',IND
'usual doesnt kids must make shit takes crap',IND
'asshole',IND
'right puerto rico fraud',IND
'watched play gets first attempt worth hold',IND
'nope going miss',IND
'thats crazy story wrong theres numbers wouldnt soon walk aint shit',OTH
'silly know going white house mental stage',IND
'gonna make fucking time blame',OTH
'well said must true hurricane piece someth',IND
'sucks',IND
'mean sense private public service people public opinion',GRP
'credible believe worse either gordon 2018',IND
'sorry',IND
'dregs society isis antifa planned liberals democrats support accusing others biden guilti',GRP
'listening juan williams crazy ignorant facts thank waters',IND
'thats calling black liberals nothing bullies trump',GRP
'fascist antifa',IND
'round control hands still tells judge real world idea real world',IND
'troll glad went away trump supporters told thank real going actually fight everyone matter choose vote isnt awesome please need help',IND
'need control',OTH
'prove claim exposed lying piece shit',IND
'much type attention boss wanna people worth live prime time covered life lord followers dont car',IND
'dont disrespect definitely shit back loudly_crying_fac',IND
'never heard shit canada police history conserv',OTH
'imagine ford member antifa judges',IND
'',IND
'worst things useless',IND
'none fucking good',IND
'stop_sign news stop_sign deals another blow democrats kavanaughs',IND
'awesome love hearing destroy liberals trudeau',GRP
'coming back movie worth cause shit shows',IND
'deranged demented perfect match democratic parti',OTH
'favorite actor',IND
'liberals full hate talk anyone thinks funny words actions never match preach human decency politically bankrupt',GRP
'self name demon loss freedom #antifa',IND
'found name forgot',IND
'happen fall society religious conservatives right ones running govern',GRP
'bernie congress long getting closer death dirt many write potus',IND
'face_with_tears_of_joy nigga well',IND
'crowd',IND
'thank saving people asshol',IND
'crazy funny used funny crazy',IND
'keep good work liberals waste time crying pointing country closer maga',IND
'comment shows refused facts fascist antifa personal attack bully research stop look stupid',GRP
'voters better wake hell voters arent worried midterms thats #maga',GRP
'cant accuse someone something &amp expect come forward &amp suppose believe &amp sure liberals think',GRP
'okay shit gotta face_with_tears_of_joy',IND
'fool democrats doesnt make look makes look ignorant level fool',IND
'mouth goes side shit dont',IND
'liberals progressives really dumb',GRP
'bitch*',IND
'aint loudly_crying_face grinning_squinting_face',OTH
'bitch',IND
'ignorant shameful people deep thinking lack vot',IND
'holy shit thats',IND
'response former fans quit support little #maga',IND
'problem cant intelligent debate issue want prove point question comments points counter comments instead left shows lack',IND
'know right busy giving credit scared death dont trust',OTH
'evil',IND
'think idiot liber',GRP
'fact disrespectful nothing',IND
'sure hel',IND
'exactly tweet well making liberals folded_hands united_states red_heart latin_cross red_heart united_states folded_hands help folded_hands red_heart latin_cross latin_cross red_heart',OTH
'guess',IND
'make useful head',IND
'people died officials robbed didnt',OTH
'coward answer question posted conservative israel post positive facts counter canadian media helping liberal trudeau assault conservatives israel either ignorant liar',IND
'heard lying',GRP
'instead maga thinking_face thinking_face',IND
'dont destroy crime family well face many obama',GRP
'hell',IND
'lucky bitch face_with_tears_of_joy skul',IND
'maybe wouldnt things little sensible control fucking countri',OTH
'start must numbers means refugees terrorist sexual criminals must stop cowards return native fight #maga',GRP
'aint part face_with_tears_of_joy check hood still dont word cause little educated brother friends feel though many people going left',IND
'speaking best best utter disrespect enforcement first middle high class disagree train punk biden dirty hand',IND
'awesome truly believe americans sick death left trying destroy america change country never vote america maga thank president trump country',GRP
'calling conservatives thats funny many tweet times higher suck',IND
'sick work',IND
'gonna need whole thread done really feel haha',IND
'look muslim please watch video title muslim scared death unless muslim love mind america',GRP
'moment thought deaths fucked sick first',IND
'thought california control',OTH
'considering fact russia might using antifa spread black propaganda remember wal',OTH
'environment society keeps much voted shit hang head shame',IND
'poor violence antifa must nice live',GRP
'probably wrote together',GRP
'shes fuck cause yall quick call',IND
'hate much fucked whole',IND
'going destroy america done many care middle america americans cares hopefully light soon countries sell',GRP
'dont tweets calling bitch truly shocked train year',IND
'missing',IND
'hasnt flake left dare people hang without evidence word memory fast',IND
'outrage conservatives liberals want know moral kavanaugh stand',GRP
'proving cancer american',GRP
'communist state controlled much #antifa love country people support enough said twitter',IND
'fully support antifa give money white cancer society illegal issue white lost done discuss',GRP
'cant sheep follow along fake news everyone think antifa',OTH
'hypocrite support control &amp protecting kids showing kids really support abortion whats difference kil',IND
'liberals never become lazy victims keep trying feel sorry someone',IND
'first movie globalist give enough make believe theyre unless',GRP
'times credit phone without second maybe next time even though hate screw',OTH
'thats career media people think youre piece shit wont mak',IND
'disgrac',IND
'jealou',IND
'damn mind band took test lawyer last accusing judge crime years proof mans life accusation proof stfu',IND
'guess chicago kids shit every strictest control around',GRP
'police first right saying things public others even says things says public extremely public figure using platform',OTH
'socialism stop civil behind control becomes clear clear process reading',GRP
'really think mentally family address issues maybe',IND
'still fucked',IND
'holy shit brainwash',IND
'jeff antifa terrorist organ',GRP
'yeah back world handle shit',IND
'honestly surprised coming school noticed accuse stupid stuff dont',IND
'neither antifa black lives matter soros funded group',GRP
'support trump',IND
'fucking hate',IND
'name right make people think right wing antifa fascist really black lives dont matt',GRP
'mass liberal white liberal control control',GRP
'thats majority friends second year point blow moving whole country hasnt hate apparently babi',IND
'disgrace home president anymore former president longer obamas country country belongs people #maga',IND
'please dont elect fake conservative bought &amp paid soros money many things personal histori',IND
'socialist democratic liberals stupid',GRP
'know another liberals corrupt',GRP
'dont considered porn star',IND
'used black people none anything economy world everything saying nonsense',GRP
'good evil thing happening america globalist world leaders money believe evil good good evil read good book tim',GRP
'antifa youre',IND
'crazy cause believe happen oncoming_fist',IND
'shit finally found',IND
'conservatives follow fascist',IND
'worst time histori',IND
'dont give shit fans think theyre money',IND
'made last night kavanaugh child attention embarrassment countri',IND
'nasty work',IND
'straight want hold confirmation hearing hear said said ford paper trump case illegal every woman stating honorable vot',GRP
'hillary supporters racist liber',GRP
'lock sorry',IND
'needs canada spread place society control behind support liberals name safety kids gun',IND
'bunch liberals except sounds dems trying kavanaugh',GRP
'keep coming expected accept allegations face value left swamp need offenders #confirmkavanaugh #maga',IND
'trump voters getting really crazy maga',GRP
'trump maga',IND
'tomorrow night dropped make sure robbed fraud',IND
'yeah second call coach history know anything history know kind story go',IND
'well theres idiot keep thinking show mirror every walk night search heart &amp soul used lots conservatives come mind',IND
'doubt female sore los',IND
'little post shes bitch',IND
'shit know',IND
'flea',IND
'coward really right days parti',IND
'tough crap false accusations well hurt democrat lies false accusations biased government biased media antifa bulli',IND
'saying labour party hatred hateful party conservatives less hateful claim tories',GRP
'united_states think collins stupid coward conservatives lives please vote kavanaugh care rest',IND
'makes skin looking woman theresa nation must removed',OTH
'took words mouth',IND
'suck',IND
'offer shitty thats stop thinking still good living past',OTH
'good days conservatives around democrats never gave good days conservatives outrage promise next time yeah thats need thats healthy libs lov',OTH
'idiot rolling_on_the_floor_laughing face_with_tears_of_joy grinning_face_with_sweat apple doesnt fall comes lying american people actually embarrassment well daddy',IND
'except whole emails prove wrong paid million year blame immigrants idiots pull gonna away healthcare gotta stupidity #maga',IND
'holder removed year',OTH
'control racist',OTH
'useful idiot longer need busy control busy trying figure election favor happen face_with_tears_of_joy united_states',IND
'mass shootings nation normal country cant allow said truth mass shootings becoming normal control certainly help',OTH
'using authoritarian tactics media spread lies false reality followers smart people conservatives know theyre planned democracy',OTH
'wouldnt know damn well probably call cute people time couple wrong youre fucking concert dont',IND
'buying couple looking think becoming',IND
'spent huge nuts stupidity kind bunch scared antifa anyone bully even pathet',GRP
'liberals never follow weve heard coward',GRP
'saying hell going something tweet crap',IND
'troll open fact',IND
'thats antifa lefties nothing violent spent time planning attack honorable zero evidence reason hold kavanaugh another crazy liber',IND
'million los',OTH
'saying info another long list need please keep expose hypocrites #maga #qanon #winning #wwg1wga',GRP
'official numbers joke millions americans lost jobs career unemployment years give jobs back',OTH
'fuck dope voter never vote left party danger',IND
'trump anything hurricane pretty sure shitting pants right',IND
'eric holder obamas corrupt',IND
'liberals ruin life doesnt matter long must stop',OTH
'girl send maga',IND
'says bitch hiding behind dont hurt help sometimes cant everything alone fucking clown help something better nothing thats asked even cant dont hurt fuck twitter weak nigga',IND
'stupid perhaps reason chosen trade talks trudeau destroy everything reason canada allow terrorist destroy canada trudeau',IND
'horrible thats career',IND
'lies dont admit date maybe married true story police story excuse full shit please post',IND
'youre jerk attacking standing husband youre liberals want ruin peoples lives bash people found guilty wants money',IND
'dont saying type dumb shit',IND
'stop nonsense block stupid',IND
'sick comment',IND
'liberal male straight',OTH
'woman anti right playing youre disgrac',IND
'#liberals platform none people late decades last shows desperate heard theyre around high schools looking',OTH
'well sure support lying making false accusations rest liberals acting',IND
'sure proving daily #maga',IND
'although think decent without doubt worst president voting history worst',IND
'sociopath',IND
'seriously words fucked every time think found word something even despicable &amp disgusting best hope stupid lies told serial killer soul',IND
'supporting monster biggest traitor modern days politics',IND
'think evil nazi tried presidential election kavanaugh another evil nazi democrats politicians destroy democracy america #walkaway make america great',GRP
'alex many nation leaders well',GRP
'control means great control',GRP
'liberals sick false li',IND
'look moving word truth coming chance question agree belong dead dead water couldnt answer without tru',IND
'blacks fine raping women liberals including bill clinton',GRP
'really charged #liberals liar',GRP
'thought help party kavanaugh remain anonymous likely promised party charged continue playing victim lying',IND
'chicago wont laws books murders planned control liberals pass strict even guns black matter liberals trying pass agenda',GRP
'jesus fucken',IND
'lying much paying',IND
'lmao good listen wife bought paid evil propaganda child russian stick tweets long prison sent',IND
'fucking sucks',IND
'many many fans amazing remembered dont bitch',IND
'bullshit isnt london murder capital control working right serious crime problems maybe care business home start tweet',OTH
'deplorable despicable disgust',IND
'democrats thug',OTH
'never watch panthers suck',GRP
'nonsense want theyd forward part leadership',IND
'another getting pretty full tell',IND
'someones asking wasnt supposed well business business send school shit',IND
'antifa quite israel supporters youll find right protest well',OTH
'right position become politics result control year',IND
'whats hour liberals every minute refuses commit people lose credibility love face_with_tears_of_joy face_with_tears_of_joy #tcot',GRP
'clear majority conservatives trump dont stupid',IND
'help woman cant even mouth',IND
'using policies weak #conservatives corrupt',OTH
'sick hope teach',IND
'killer house #maga',OTH
'hollywood full democrat',OTH
'dead even office likely news long tim',IND
'antifa',IND
'idiot chance insulting conservatives supporting great dont think crazi',IND
'liar supporters talking last president went world apology even serv',IND
'much left antifa threat doubt attack',GRP
'took long beast',IND
'think democrats civil liberals',GRP
'first round shitty',IND
'weapons make walk night calling drug',IND
'fuck',IND
'course young dumb really brain wouldnt believe',IND
'loudly_crying_face good game niggas working',GRP
'california creepy fake tries follow woman home #maga #kag',IND
'head taking criticism weak incompetent authoritarian',IND
'know good well tried explain control military base proof laws wont shit look hood',IND
'street long time knows things deep things agree gonna burn mueller already knows wants gonna',GRP
'think maybe little research',OTH
'couldnt catch letting bitch bitch dirt',IND
'shitty 100% second carry 100% control except violent',GRP
'started wall shit aint nothing wall getting door',IND
'fuck babi',IND
'seen former democratic fight president much know youve corrupt guilty abuse power times presidential',OTH
'read title already know whats coming support common sense violence violence different violence common sense control chicago london',GRP
'somebody something show sucks anymore good though',OTH
'dont want either know leave going used better useless',OTH
'maybe antifa race &amp others butt',GRP
'yeah &amp criticism crying instead cool folks',IND
'makes think liberals nothing liberal people spent insulting liberals black activists attacking deal liberal part passed',OTH
'fuck theyre trying looks somehow deserved shot',GRP
'come liberals lmao',GRP
'crap twitter forces conserv',OTH
'aint shit done today',OTH
'well remember cops watched antifa thugs armed &amp attacked trump following orders thats &amp cops follow orders &amp cops protect',GRP
'nothing lefty media people made sure hill taken even conservatives remove leader almost even extremely',GRP
'hope well thats fucked seriously fuck wrong control issue though right thank live canada feel attacks seriously wont away',IND
'thats good getting hard find know people belong control abortion thats politics christ',GRP
'wonder burn come favor control control group stand',OTH
'turns humans humans form maybe care maga',GRP
'thousands thousands videos alone antifa attacking people trump republican events happening democrats people',IND
'shit',IND
'maybe stop attacking conservatives might find dont',IND
'awful never much anyway grown acting bully best mark maga united_st',IND
'speak truth farrakhan &amp racist',IND
'murders done illegal gang members black problem control problem judges violent offenders back street shooting',GRP
'asking question phony still playing trying save face obvious stupid peopl',IND
'brat much happy without',IND
'look porn star',IND
'corrupt charge problem',GRP
'except administration allowed crime city bloody leftist',IND
'obama devil &amp trump jesus christ com',IND
'dear lost president burn hel',IND
'liberals numbers money conservatives alone gets beat hour',GRP
'tweet fraud half americans important issue control question towards control propaganda',IND
'isnt',IND
'works absolutely ones fucking',OTH
'corruption much going times dont want dont want american people know really theyve #maga',GRP
'miss bitch',IND
'liberals sell liberals probably line looking private money dont care look health education next',GRP
'blow blow lmao',IND
'dear fascism #walkaway democrats antifa democrats fascists america hate different hoods party hate',GRP
'isis apparently obama world getting destroying cities antifa',IND
'lier ford soros pays well lawyer wont work know sham',IND
'never never know truth maybe first really stupid grab either doubt know complete truth',IND
'glad career ruined deserves ruined done doesnt mean doesnt mean',IND
'silly unhinged liber',GRP
'upon right arms women week must easy test control laws apply rights theyd support',GRP
'group wearing maga nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face hate school',GRP
'come lies done thing control open eyes obama years office sucking around last minute vot',IND
'niggas still gonna complain',GRP
'christ',IND
'well stop democrats stop using victims school shootings control agenda',OTH
'name lost supported womans',IND
'attention lefties control left wing dont shoot create violent demand normal people disarm',GRP
'enemy peopl',GRP
'death internet bill rights leftist people based political beliefs western state controlling nearly life',GRP
'morons trudeau lying liberals values test ford trying save taxpayers money maybe thats',GRP
'bill happen people speak potus control',IND
'surprising nigga',GRP
'ridiculous comment liberals make government work conservatives along ideas less government always better unless socialist time government lose money',GRP
'comparing date rape disgusting hope family never deal rape disgust',IND
'liberals fake news chris',GRP
'fast furious criminal behind',IND
'sure pope first name satan disgrace',IND
'shit',IND
'twitter clear leftist agenda seen comments conservatives asking leftist shit feed didnt dont want stop trying push',GRP
'hurt trump',IND
'love woman telling truth every conservatives point people really stupid',GRP
'pushing control',IND
'democratic always race divide americans conservatives done color democrats color discuss',GRP
'wart societi',IND
'head #liberals supporters stupid think racist open borders crime minute look great country #maga',GRP
'liberals never handle truth make heads',GRP
'maybe drop angry something funny everyone political jokes dont think',IND
'bitches brain',GRP
'glad think know kick always back knows best thats awful live child experience things shitty people allowed',IND
'agreed probably white people screaming offensive wish brother wasnt forced twitter army remove said offensive things',GRP
'dregs society make sure never president',IND
'activist liar wants oath wont kavanaugh gets',IND
'good followed back lets give crazy liberals hel',GRP
'perhaps house leader used think friend true',IND
'thats talking shit defending many intelligent bright minds held propaganda read documents deep know funds',IND
'thats',IND
'crook',IND
'kind need control really stupid',IND
'screwed hearing dream liberals think happens trump gets remov',OTH
'stubby littl',IND
'comedian',IND
'selfish come',IND
'state kids protesting amendment youth took place young demand govt away name control',OTH
'metoo innocent continue lets kavanaugh fraud fight fire fire time male watch stop',GRP
'organization babies scream need control violence children somehow thousands innocent babies every pocket',OTH
'empty',IND
'great wife reason animals crazy liberals something complain',IND
'conservatives killed hundreds people result conservative policies figures gordon brown thats shes national health service attack',GRP
'angry #maga losing vote #maga',IND
'shes drunk shes tired took sleeping silli',IND
'proven control lower deaths youve chosen ignore accuse without proof proof used states mentioned going continue ignore asking',IND
'michael moore',IND
'years pathet',IND
'holder prison',IND
'even make tell control nothing stop r',IND
'totally disgraceful name',IND
'maybe fine people president talking antifa isnt left theyre left anti fascist movement lump left antifa lump right nazis vote',IND
'great',IND
'maga white peopl',GRP
'dont even know subject side class disagree fool',GRP
'hell talking still dont know conservatives',IND
'past control show super cheap',GRP
'damn',GRP
'thats biggest question away amendment left believe control worried expected keep giving',GRP
'shes idiot think moment',IND
'trump sounds great another much rest world hates #maga #wwg1wga #draintheswamp',IND
'close &amp peoples lives &amp sensible control defend planned time back intelligent education &amp fucking stupid',GRP
'liberals guilty youre conserv',IND
'liberals means never wrong liberals trump',IND
'liar',IND
'help doesnt help doesnt work poverty time high help doesnt thanks noth',IND
'always everyone credit every posts fucking funny cares',IND
'&amp maga scared white making women',GRP
'pope satan',IND
'face_with_rolling_eyes really serious comparing positions nation slave keep proving ignorance &amp inability thought #maga',GRP
'stands says vote lying deserves played choice elected another',IND
'shit kill',IND
'agree think hated anyone life feel fact supposed leader makes stomach turn lost respect completely back allow',IND
'look reaction second mark clown',IND
'helping republican party unhinged r',IND
'paying taxes crime human rights laws opinion issue anti sensible control mentally people w',IND
'video government evidence going jail #maga #qanon',IND
'fuck drug test',IND
'someone never played want tried year back kinda people fuck kinda trash',IND
'show saying alleged rape fault pretending conservatives blaming victim rape disgusting',IND
'antiamerican crap somewhere senate #maga',OTH
'another lying liberal many lying exposed documents liberals steal bring country stop antiamerican idiotic socialist movement vote republican november trump 2020',GRP
'destroyed america womens bathroom right child child killers illegals rights americans think wrong bill something besides liberals',OTH
'corrupt demented lunatic',IND
'bitch',IND
'liar',IND
'girl adult conversation thin',IND
'agreed control want people control without guns know knew',OTH
'hope fuck',IND
'fuckbucket',IND
'move block liberals said early vote made story slap face really sexually shows liberals really dont care true victims power first',OTH
'didnt stop taking shit glad changed still around absolutely sucks passed amazing',IND
'',IND
'right mind wouldnt conserv',IND
'damn felt shit loud',OTH
'hard hearing ar15 ar15 evil control doesnt violence armed citizens less likely become victims mass shootings banning',GRP
'another terrorist brought',IND
'thats hilarious forget problems rolling_on_the_floor_laughing #thursdaythoughts #resist #maga #tcot',OTH
'open borders bring america dems vote life #kag #maga',GRP
'another illeg',IND
'become party “the going bunch',GRP
'real though silly liberals tricks kid',GRP
'youre blind r',IND
'remember daughter married coward disgrace thank world hurt',IND
'love women believe women woman years adult reaction means',GRP
'know many cops trying murder',IND
'charges good charge foreign com',GRP
'right issue democrats lying american people long seems going crazy head',GRP
'liberals think guns problem',GRP
'miss williams great actor thinks miss williams order said rules apply even miss williams turning women dont bone miss williams order thats wal',IND
'actually liberals waters antifa promote viol',IND
