@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'chicago strongest laws nation highest homicide rate control really work',NOT
'voters better wake hell poll finds #gop voters arent worried midterms thats #maga #tuesdaythought',OFF
'cant accuse someone something &amp expect come forward &amp testify suppose believe &amp sure liberals think',OFF
'done well 11th hour attack completely based want investigation think theyll find said said feinstein admitted ready swamp',NOT
'make',NOT
'great sons &amp great dont around liberal antifa hoods beating strangers know nothing year brave people never belong violent party democrat',NOT
'please explain anti control desantis somehow hold people account',NOT
'okay shit gotta face_with_tears_of_joy',OFF
'hope gutierrez doesnt think help blue wave november midterms democrats gutierrez time last month honor birthday remember gutierrez',NOT
'cant believe close thank',NOT
'fool democrats doesnt make look makes look ignorant level fool',OFF
'mouth goes side shit dont',OFF
'liberals progressives really dumb',OFF
'bitch*',OFF
'aint booty loudly_crying_face grinning_squinting_face',OFF
'bitch',OFF
'show nothing show',NOT
'surprised need fiscal conservatives less solve illinois financial mess',NOT
'conservatives must join fight national review 2020',NOT
'blindly ignorant shameful people deep thinking lack vot',OFF
'people #maga #win',NOT
'young conservatives know ones never focus power order teen',NOT
'holy shit thats awesom',OFF
'continues ratings last year audience liberals bas',NOT
'response former fans quit support little #maga',OFF
'#maga aint gonna',NOT
'without doubt',NOT
'sorry go',NOT
'problem cant intelligent debate issue want prove point norm question comments points counter comments instead left shows lack',OFF
'good news hope better soon',NOT
'face_with_tears_of_joy face_with_tears_of_joy zany_fac',NOT
'know right pisses busy giving credit scared death dont trust',OFF
'hell',NOT
'',NOT
'point propaganda machine know answer brexit disaster thats loud clear businesses &amp corporation mouth peace tori',NOT
'carol funny face_with_tears_of_joy face_with_tears_of_joy',NOT
'stay away individual telling stay safe victory_hand victory_hand',NOT
'thank antifa special brand authoritarianism look',NOT
'stand ground',NOT
'evil',OFF
'index_pointing_up think idiot liber',OFF
'must love rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing',NOT
'fact disrespectful blatantly rude nothing',OFF
'withdraw trump whole list conservatives pick',NOT
'',OFF
'brennan sure hel',OFF
'truly many things talking control homeless getting kids back parents news still talks know donald trump truly country many ways many way',NOT
'cause dont think funny doesnt mean dont deserve show work hard women business years handl',NOT
'exactly tweet well making liberals folded_hands united_states red_heart latin_cross red_heart united_states folded_hands help folded_hands red_heart latin_cross latin_cross red_heart folded_hand',OFF
'lets focus control laws focus border wall money mexico',NOT
'right name thing enough location wel',NOT
'guess',OFF
'nobody cares getting confirm',NOT
'pressure liberals make change mind goal result dont care',NOT
'make useful bury head',OFF
'people died officials robbed didnt job',OFF
'coward answer question posted conservative israel post positive facts counter canadian media helping liberal trudeau assault conservatives israel either ignorant liar',OFF
'last night year daughter broke lower biggest talks meeting yall time chance well',NOT
'#maga antifa #democrats parti',NOT
'crazy antifa thats',NOT
'heard lying jealous',OFF
'control unconstitutional shooters want shoot',NOT
'lmao people talking much shit yesterday comment stan twitter jok',OFF
'clearly supporting behavior',NOT
'woman accusing kavanaugh stealing lunch money accusing assault needs respons',NOT
'instead krav maga thinking_face thinking_face',OFF
'#maga',NOT
'liberal judicial #tcot #maga #rednationris',NOT
'delusion',NOT
'dont destroy crime family well face many obama',OFF
'antifa muslim world',NOT
'knew pointless awful loudly_crying_fac',NOT
'alon',NOT
'hell',OFF
'lucky bitch face_with_tears_of_joy skul',OFF
'maybe wouldnt things little sensible control fucking countri',OFF
'nam',NOT
'high list people still care control',NOT
'think',OFF
'related weird lmao',NOT
'start must numbers means necessary socalled refugees terrorist sexual criminals must stop cowards return native fight #maga',OFF
'aint part face_with_tears_of_joy check hood still dont word cause little educated ways describe brother friends feel though many people going left',OFF
'austria',NOT
'speaking best best utter disrespect enforcement agents first middle high class races disagree train punk biden dirty hand',OFF
'awesome truly believe americans sick death left trying destroy america change country never intended vote america maga thank president trump believing country keeping promis',OFF
'nobody voted right wing seem desperate',NOT
'good seri',NOT
'calling conservatives thats original funny many tweet times higher suck',OFF
'sick work',OFF
'nigga stretch skul',NOT
'gonna need whole rant thread done really feel haha',OFF
'rest democrats love antifa alinsky tactics',NOT
'hello angel really sorry bother message cant help beautiful smiling_face_with_hearteyes wilted_flower rose bouquet',NOT
'look sweden france europe changing europe muslim please watch youtube video title muslim demographics scared death unless muslim love islam mind african america',OFF
'moment thought deaths sounded fucked sick first',OFF
'selective outrage conservatives liberals want know',NOT
'thought california control',OFF
'member opened',NOT
'fake taken long game start',NOT
'dont right feels affected wait full time work claiming subject total sink',NOT
'considering fact russia might using antifa spread black propaganda remember wal',OFF
'hostile environment vulnerable society keeps rolling much voted shit hang head shame',OFF
'#brexit chequers proposal disaster britain',NOT
'amazing',NOT
'doesnt wear justice hope better mo',NOT
'talk falling good money year goes gets white',NOT
'poor refugee violence antifa must nice live',OFF
'banning guns stops homicides youll note thats close lowest number record exactly count evidence saying control doesnt stop violence fail',NOT
'shit',OFF
'probably wrote together pissing',OFF
'anyone #metoo',NOT
'shes trolling fuck cause yall quick call minor',OFF
'hate much fucked whole',OFF
'control works guns oncoming_fist collision guns definitely control',NOT
'happy #constitutionday maga great time al',NOT
'going destroy america done many businesses care middle america americans cares hopefully light soon countries sell product',OFF
'persons control narrative certainly must believe second amendment rolling_on_the_floor_laugh',NOT
'global liberals conservative styl',NOT
'dont offense tweets calling bitch truly shocked train year',OFF
'antifa nothing terrorists #antifa',NOT
'love proud great actress today',NOT
'missing numb',OFF
'assume',NOT
'theyre setting horrendous teenage sessions open',NOT
'hasnt flake left dare people hang without evidence word memory fast',OFF
'selective outrage conservatives liberals want know moral kavanaugh stand',OFF
'world view believe anyone using logic russian liberals dont logic facts counter beliefs opinion',NOT
'damn sucks',OFF
'proving cancer american republ',OFF
'liberals pull next fine democrats obvious gonna smear everybody call rapist',NOT
'liberals wont milk wont',NOT
'face_with_tears_of_joy ultimate',NOT
'eric even know',NOT
'attention publicizing list antifa trump supporters high profile names many everyday trump supporters please report twitter still suspended account check list',NOT
'communist state controlled much #antifa love country people support enough said twitter stream',OFF
'fully support antifa give money white cancer proudly society illegal germany wars issue white nationalists lost done discuss',OFF
'president trump post message cell internet social media block',NOT
'cant sheep follow along fake news everyone think antifa',OFF
'hypocrite commercial support control &amp protecting kids showing kids really support abortion whats difference kil',OFF
'late night thought',NOT
'liberals never convince become lazy entitled victims keep trying feel sorry raised someone mindset',OFF
'dont need make obvious desperate replaced comment enough views',NOT
'first movie accurate globalist give enough make believe theyre truthful unless educ',OFF
'friend father safe talk',NOT
'literally woke sexi',NOT
'times credit afford phone without second maybe next time even though hate screw',OFF
'thats career media admire people think youre piece shit wont mak',OFF
'shame everyone wants judg',NOT
'disgrac',OFF
'choice want someone dont want least honest',NOT
'think antifa mean',NOT
'president case conservatives back wonder democratic republican voters oppose repeal call congress today',NOT
'clear relationship strict control legislation homicide violent crime rates interesting particular question goes international',NOT
'funny often criticism federal writes conservatives liber',NOT
'jealous',OFF
'damn mind band took detector test hired lawyer last month accusing judge crime years proof ruining mans life accusation proof stfu',OFF
'antifa lost track',NOT
'conservatives change mindset crucial change come regardless matter come already l',NOT
'guess chicago kids shit every strictest control around',OFF
'#liberals believe rules middle class hoping join #cdnpoli',NOT
'police first right saying things public others even says things says public extremely public figure using similar platform',OFF
'socialism implemented historically effective stop measure civil knowing behind control becomes clear clear picture process reading saul',OFF
'know liberals years wants mention send tree away dont many followers might make difference rock solid please retweet',NOT
'role control play school safeti',NOT
'really think mentally family address issues maybe',OFF
'theres definitely feedback loop even within movement labour often hate conserv',NOT
'yeah working plan',NOT
'growing_heart united_states #maga #kag absolut',NOT
'still fucked respecting lgbtq',OFF
'absolutely speci',NOT
'deal deal hows party even stated public record #toriesout',NOT
'defend think professor lying liberals pile horse',NOT
'holy shit brainwash',OFF
'thank soul face_blowing_a_kiss face_blowing_a_kiss red_heart red_heart red_heart',NOT
'jeff antifa terrorist organ',OFF
'yeah back world handle shit',OFF
'even spot',NOT
'ultra left joke either lets together condemn antifa colleges riot shapiro speaking definitely condemn threat',NOT
'make numbers dont',NOT
'honestly right election still hoped trump prove secret democrat least conservatives point presidency obviously wrong',NOT
'honestly surprised coming school noticed accuse stupid stuff dont',OFF
'love revolving_hearts help hospital',NOT
'away alreadi',NOT
'spoke antifa said li',NOT
'neither antifa black lives matter soros funded group',OFF
'notice didnt know intentions security behind walk away great spirit',NOT
'world need much much antifa',NOT
'support trump',OFF
'exactly adopt articles plain &amp became politics &amp facts pleas',NOT
'fucking hate',OFF
'point trying make statement trump guilty much worse anything antifa done goal trying make stat',NOT
'please information american people know truth transparency #maga',NOT
'never live know furious imagine world leaders thinking meet face_screaming_in_fear',NOT
'actions done defend self antifa goal stop bank n',NOT
'name right make people think right wing antifa fascist really black lives dont matt',OFF
'obama speaking couldnt asked better gift control democrats shot foot',NOT
'mass shooters liberal white liberal control control',OFF
'thats majority friends second year point blow receive moving whole country hasnt film studies hate apparently babi',OFF
'disgrace home president anymore breaking former president stepping aside longer obamas country country belongs people sheeple #maga',OFF
'please thumbs_up please grinning_face_with_smiling_eyes folded_hands please maga united_states down_arrow',NOT
'actually needs investigated interesting social media accounts antifa memb',NOT
'hillary hasnt left trump answer every despicable trump swallow',NOT
'cuts last years conservatives police warned important factor lack youth play another factor',NOT
'please dont elect fake conservative bought &amp paid soros money many things personal histori',OFF
'teacher special education apply link',NOT
'setup appease socialist democratic liberals stupid',OFF
'#maga #wwg1wga',NOT
'follow money money_bag',NOT
'every politician surrender show faith',NOT
'lmao thats awesom',NOT
'know another liberals corrupt',OFF
'seemed quick check using tweet',NOT
'legit tweeted second',NOT
'stated constitutional asked provide scotus case response alleged support control complete',NOT
'court',NOT
'antitrump activists want trump #tcot #maga #rednationris',NOT
'dont considered porn star',OFF
'sure lots butt',NOT
'bank happened gordon brown dramatic changes announced (not including independent central bank removal financial sector taught version histori',OFF
'every liberals look something wish seen',NOT
'still feel really good team though going wouldnt made sense made right decision probably still gonna anyway',NOT
'hoping probably biggest crowd racist bigots country back antifa',OFF
'used black people none anything largest economy world billion everything saying nonsense leav',OFF
'make choice discuss lived experience social security work solidarity people affect',NOT
'',NOT
'good evil thing happening america globalist world leaders money believe evil good good evil read good book tim',OFF
'best option dont want anyone start r',NOT
'identify antifa youre',OFF
'funny never asked vote fake pol',NOT
'thing read today conservatives claiming kavanaughs innocent wrong confirmation hearing prove character highest court life isnt criminal trial',NOT
'crazy cause believe outcome happen sunday oncoming_fist',OFF
'looking',NOT
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy think really something really theyre getting laugh',NOT
'shit finally found',OFF
'never heard',NOT
'conservatives blindly follow fascist',OFF
'goodell worst sport time histori',OFF
'please everyone favor delete false thread account',NOT
'listened dont give shit fans think theyre counting money',OFF
'made last night kavanaugh child attention wide rant embarrassment chamber countri',OFF
'good fire fuck still listen tracks',OFF
'nasty work',OFF
'amazing good leader ontario losing liber',NOT
'maybe never believed maybe used &amp fooled many west desperate looking agendas time true',NOT
'krav maga body',NOT
'dear please understand anything except saving mine money used money children government schools wife treatment sons stand',NOT
'#qanon shooting sandy hook elementary school hoax false flag favor control',NOT
'cater collins approve conservatives want expect vote anyways insan',NOT
'said expand thinking came hope people understand #qanon #greatawakening #wethepeople #kag #maga #wakeup #walkaway',NOT
'governor house used museum minister information culture please measures protect place filth damage caused ignorant publ',NOT
'straight want hold confirmation hearing polygraph hear said said ford signs paper trump case illegal every woman stating honorable vot',OFF
'face want c',NOT
'hillary supporters racist liber',OFF
'nothing stolen crybaby liberals didnt wanted theyve throwing temper tantrums year',OFF
'hear words well faith know rightwing islamic youth association whose policy certainly dear hope right',NOT
'pres fact',NOT
'enough hiding behind fake name profile violent antifa thugs guys cant seem make mind',NOT
'security conservatives dont know',NOT
'shit trigger bigot',OFF
'lock sorry hugging_fac',OFF
'many liberals male female grinning_squinting_fac',NOT
'bill aims send masked antifa activists jail year',NOT
'serve interests washington liberals represent conservative values',NOT
'&amp valu',NOT
'actually hitler style democrats america that',NOT
'needs canada spread place society rifles coalition control associations behind support liberals name safety kids gun',OFF
'control laws passed accomplish',NOT
'zone',NOT
'bunch liberals dresses mocking except dresses sounds dems trying kavanaugh #politics',OFF
'keep coming expected accept allegations face value left swamp plot need offenders #confirmkavanaugh #maga',OFF
'showed videos immoral wrong rioting antifa disgusted show tweet',NOT
'laughs conservatives #theview suddenly outraged support #democrat',NOT
'drew work stream',NOT
'look chill fuck dragon',OFF
'trump voters getting really crazy maga',OFF
'trump maga',OFF
'tomorrow night dropped make sure robbed fraud',OFF
'',NOT
'whole joke original tweet fuckin',OFF
'said exchange jail sentence thats sid',NOT
'fake news',NOT
'yeah second call coach scumbag history know anything history aaron know kind scumbag story go',OFF
'tons security wants mind many control guns',NOT
'governor california another country focusing california constituents taxes regulations double bill r',NOT
'criminals running',NOT
'well theres idiot keep thinking show mirror every rise walk night search fill heart &amp soul used mention lots conservatives come mind',OFF
'better question american voters need defeat antifa &amp democrat',NOT
'#peoplesvote #stopbrexit false new',NOT
'someone nothing smear campaign liberals arent honest enough admit',NOT
'doubt greatest female athlete sore los',OFF
'little post shes bitch thankful',OFF
'leona start something terror house',NOT
'#liberals generally dont think rules apply walked front less line nearly suffer behind things growing card',NOT
'bull shit know',OFF
'running speak works done world expecting back takes deep breath existent shirt',NOT
'love penis want keep rather smoke joint',OFF
'voted liberal first time account liber',NOT
'flea',OFF
'kil',NOT
'antifa fighting neonazis oppose fascism neonazis running people cars pointless enough',NOT
'sessions indict fast',NOT
'coward really right days parti',OFF
'deals mexico trade trade deals dont need want control deal climate d',OFF
'clearly amazing little girl ability others shoes shows empathy children others able right wrong matter puts shame tries bully hero',NOT
'(not taking knee anything #conservatives hate care',NOT
'tel',OFF
'constituents voted liberal',NOT
'heard actually gonna antifa flag know',NOT
'watching elitist toss tantrum court called &amp getting coaching pretty coach even admitted coaching back regularly sanity rule &amp account',NOT
'tough crap false accusations well hurt democrat lies false accusations biased government agencies biased media antifa bulli',OFF
'antifa',NOT
'says political hire seeing anything think maybe meant',NOT
'saying labour party hatred hateful party conservatives less hateful claim tories',OFF
'united_states think collins stupid coward conservatives lives please vote kavanaugh care rest',OFF
'interesting aware political system',NOT
'makes skin crawl looking woman theresa nation must removed asap',OFF
'thats real',NOT
'trump trumps water either trump info private good',NOT
'antifa',NOT
'sure laughing time rolling_on_the_floor_laugh',NOT
'figur',NOT
'maybe lying respond',NOT
'fair point liberals towards using evidence prejudice treating distinction citizens migrants',NOT
'get',NOT
'took words mouth horr',OFF
'actually expose questioning shes little rather',NOT
'suck',OFF
'decide truth accusation incident years confirmed multiple times accusations liberal conservatives',NOT
'thoughts prayers dont work need sensible control',NOT
'thanks follow days brand reputation part',NOT
'offer june shitty browns thats stop thinking still good living past',OFF
'everyone best position missing plac',NOT
'good days conservatives pushed around democrats never gave inch good days conservatives outrage promise next time yeah thats need thats healthy libs lov',OFF
'leftist might explain language supremacist moderate conserv',NOT
'friend ordered pair levis called cancel control getting wild',NOT
'lying_face clown_face 2008 idiot rolling_on_the_floor_laughing face_with_tears_of_joy grinning_face_with_sweat apple doesnt fall tree comes lying lying_face american people actually embarrassment well daddy',OFF
'control means using hands case means correct target cant stupid',OFF
'shout time wishes #maga thank',NOT
'trade',NOT
'feel',NOT
'best lead &amp',NOT
'time conservative constitution supporter many conservatives starting feel republicans senate stomach fight left soft',NOT
'except whole emails prove wrong hannity paid million year blame immigrants idiots pull gonna away healthcare gotta stupidity #maga',OFF
'cant believe still radio',NOT
'everyone dont',NOT
'leading trump opposit',NOT
'holder shouldve removed year',OFF
'antifa antifascist celebrate openly political opponents killed whatever guy',NOT
'another liberal democrat checks cant cash',NOT
'good time talk mental illness control asking concerned friend',NOT
'banks fall peoples money',NOT
'control racist',OFF
'useful idiot longer need busy bothered control busy trying figure election favor happen face_with_tears_of_joy united_states',OFF
'christian conservatives whatever',NOT
'cute conservatives economi',NOT
'right',NOT
'thoughts prayers families random mass shootings nation normal country cant allow said truth mass shootings becoming normal control certainly help',OFF
'texas cruz thanks push working favor #tcot #maga #rednationris',NOT
'kind usually reflect back source careful others equally',NOT
'using authoritarian tactics media spread lies false reality followers smart people conservatives know theyre planned strategy democracy #onpoli',OFF
'wouldnt know damn well probably call cute people propose time couple wrong youre fucking concert dont attent',OFF
'',NOT
'remember took mark felt years admit deep throat',NOT
'buying couple looking classes think becoming teenage monst',OFF
'need control',NOT
'holder unhinged brainwash',NOT
'care',NOT
'100% correct',NOT
'spent hours laughing huge nuts stupidity kind bunch scared antifa anyone bully even pathet',OFF
'cant wait 2020',NOT
'basically liberals friends want decide whats right rest',NOT
'liberals never follow promises weve heard coward',OFF
'go',NOT
'fighting',NOT
'saying hell going something tweet crap',OFF
'innocent proven definitely needs prove story tru',NOT
'troll open fact',OFF
'thats antifa lefties nothing violent teacher spent time planning attack honorable zero evidence reason hold kavanaugh another crazy liber',OFF
'million los',OFF
'years complaining finally getting bitch teeth stop fucking',OFF
'clearly right route striking obviously agreed understand',NOT
'living last day',OFF
'adam saying releasing fisa info another long list hacks need please keep expose frauds hypocrites #maga #kag2020 #qanon #winning #wwg1wga',OFF
'yesterday happen much control cant prevent bringing school',OFF
'official numbers joke millions americans lost jobs career unemployment benefits years give jobs back',OFF
'true many comments thinking done still even video',NOT
'plus million york',NOT
'dear gam',NOT
'cut',NOT
'weird fear #maga',NOT
'fuck dope independent voter never vote left party danger',OFF
'really think thats saying think people think people black americans stand trump said lets talk whites nev',NOT
'maybe want appear continue give cover antifa buddies cov',NOT
'love respons',NOT
'trump anything related hurricane pretty sure shitting pants right',OFF
'peaceful protest give full list incidents antifa attacked trump supporters none trump supporters attack hillary support',NOT
'good christian husbands',NOT
'eric holder obamas corrupt',OFF
'liberals ruin life doesnt matter long must stop',OFF
'doubt proud daughter heaven sorry loss young difficult must &amp imagine certain degree still must sounds truly wonderful person',NOT
'carry best friend',NOT
'wasnt calling genuinely surprised live legit made loving love wasnt anything apologize took',NOT
'girl send poop maga hat',OFF
'despite within declared “all canadians aware need changes canadas control system government committed reduction crime effective control measures important part canadas crimin',NOT
'says bitch hiding behind dont hurt help sometimes cant everything alone fucking clown help something better nothing thats asked even cant dont hurt fuck twitter weak nigga',OFF
'employees stalking trump hitting protests maxine waters part plan antifa sessions part plan protecting status',NOT
'funny liberals strong conservative point zero credibility zero',NOT
'kavanaugh doesnt want investig',NOT
'incredibly stupid perhaps reason chosen trade talks trudeau destroy everything reason canada allow terrorist destroy canada trudeau',OFF
'game beat receiver yards ball long yards game catch gives another problem align',NOT
'worth trillion #maga',NOT
'horrible thats career di',OFF
'things blog succeed think',NOT
'lies dont admit date maybe married true story police officer story excuse full shit please post photo',OFF
'youre jerk attacking standing husband youre liberals want ruin peoples lives bash people found guilty wants money',OFF
'intelligent person farright anything fail understand fault',NOT
'dont saying type dumb shit',OFF
'stop nonsense block stupid',OFF
'eric brother sister daddy among crimes stole money personal bank investigated acting dope nothing tool',NOT
'give',NOT
'private companies dont give toss anything profit terms choice trouble comes decide ignore everyone country create market health',NOT
'sick disturbed comment prov',OFF
'deplorables might turned',NOT
'liberal beta male engage straight',OFF
'easily offended interesting good night sister hope someone brings great twitter experi',NOT
'well picking wrong on',NOT
'resident posted series trump signs outside home another negative sign',NOT
'woman anti ryan right playing youre disgrac',OFF
'brexit &amp conservatives well face_with_rolling_ey',NOT
'true enacted specifically disarm minorities said purpose enacted control york city based control doesnt disarm privileg',NOT
'liberals selective',NOT
'#liberals platform none vulnerable people late decades last century previous shows desperate heard theyre around high schools looking',OFF
'week',NOT
'england murders year hilarious imply control doesnt work must trump call fake new',NOT
'dont real people real peopl',NOT
'well sure support lying making false accusations intelligence rest liberals acting',OFF
'thats even antifa motto means',NOT
'liberals insane democrat nominee female conservative heard heck look keith ellisons proof theyve turned back shes democrat help',NOT
'cause look sci',NOT
'excellent',NOT
'even 2015 senior foreign office official conservatives prosperity agenda high list priorities human right',NOT
'burt awesom',NOT
'already many fucking shots tonight',OFF
'sure proving daily basis #maga',OFF
'well face_with_tears_of_joy face_with_tears_of_joy play',NOT
'disgusting happening strictest control laws working maybe legally allow people protection tough rules arent working many lives lost chicago',NOT
'although think carter decent without doubt worst president voting history worst quest',OFF
'sociopath',OFF
'obviously clue clearly american china became largest foreign holder debt 2008 major holder least 2000 whats america',NOT
'away',NOT
'always thought conservatives cared values protecting',NOT
'control guns control control',NOT
'seriously words fucked every time think found word something even despicable &amp disgusting best hope stupid lies told serial killer soul',OFF
'really concerned antisemitism society tory party &amp dems',NOT
'supporting monster biggest traitor modern days politics',OFF
'want start clean skin benefits water small glass bowl make sure water still grab place bowl somewhere comfortable stand',NOT
'looks jokes liberals #forttrump #poland #boomingeconomi',NOT
'think evil nazi democrats/liberals tried presidential election kavanaugh another evil nazi democrats politicians destroy democracy america #walkaway make america great',OFF
'stars badass',NOT
'yeaaaahh &lt33',NOT
'alex many nation leaders well',OFF
'accusation fact call heart todays conserv',NOT
'control',NOT
'control means elderly great control',OFF
'playing game android source think epic games banned android system pays unfair pouting_fac',NOT
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rights threatening destroy lives connections made meme india leftists liberals rest hate speech',NOT
'definitely spreading word',NOT
'sharper retir',NOT
'need stay business business #democrats dont #walkaway hard time profit results worries youre still china reason need #trumptrain #maga',NOT
'sure hope grand final sid',NOT
'wants control figur',NOT
'everyone knows first thing send pallets cash',NOT
'least getting people',NOT
'liberals sick false li',OFF
'march antifa bigots labour antisemitism right',NOT
'moore kavanaugh jeff bezos bunny satire past allegations #maga republicans sane people allegations past equally credible incredible rabbit rabbit rabbit',NOT
'#tories #labour #ge2017 #conservatives conservatives houses today announce longerterm partnerships opened ambitious housing associations groundbreaking billion',NOT
'thank &amp literally speak still hasnt happy birthday fak',NOT
'need control laws safer changed florida voting democrats help make environment health care better please vot',NOT
'look moving word truth coming chance question agree belong dead dead water couldnt answer without condemning tru',OFF
'responsible actions ignoring maxine waters &amp others inciting violence consider said able shop anything peace survive without able trad',OFF
'18n18',NOT
'uppity blacks fine raping women liberals including bill clinton',OFF
'declare antifa terrorists group investigate memb',NOT
'stronger believe beautiful much grateful chance grow learn loudly_crying_face red_heart red_heart',NOT
'blocked dont even know',NOT
'really charged #liberals liar',OFF
'bullshit',NOT
'internet today tried several times keeps telling either gives number says',NOT
'godless',NOT
'thought profile help party kavanaugh remain anonymous likely promised party charged perjury continue playing victim lying',OFF
'chicago wont enforce laws books neighborhoods murders planned control liberals pass strict even guns black matter liberals trying pass agenda',OFF
'conference fast soon heading check events backhand_index_pointing_down rainbow blue_heart',NOT
'shot free zone much control law',NOT
'clinton news network',NOT
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing deep throat',OFF
'argue pointless keep asking questions first place supposed speaking running quote dont believe said liked things',NOT
'trump trump trump maga',NOT
'jesus fucken',OFF
'liberals find unless done tears begin hunt',NOT
'another child killed broken_heart crying_face folded_hands anyone agree stricter control laws needed #guncontrolnow',NOT
'lying much paying hows',OFF
'trump wife divorce accused abuse whole stays pattern ignoring reality abused women dont always seem believ',NOT
'lmao good listen wife bought paid evil propaganda child russian agents stick tweets long prison sent',OFF
'fucking sucks',OFF
'better tim',NOT
'already control thought criminals wouldnt follow lets make laws telling break law',NOT
'conservatives always assume women making allegations li',NOT
'lying needs sued character include chuck schumer dianne feinstein lawsuit proof isnt bunch hating girls want free abortions paid govern',NOT
'constantly reminded bless',NOT
'whole world president trump accomplished americans proud trump administration makes difference left mainstream media dedicated pull awake #maga',NOT
'sweet',NOT
'please tell fellow soros antifa',NOT
'saying lost championship game know bowl game team actually w',NOT
'meet many many fans amazing remembered dont bitch',OFF
'hope true another good death nail liberals chances amazing respect money hard working canadian',NOT
'thats deplorable still havent relevant somehow exact show antifa',NOT
'thank red_heart followed great folded_hands #maga united_states united_states united_st',NOT
'nothing already showed isnt gonna change &amp need leave staying youre showing youre &amp doesnt need chang',NOT
'dana worried home carolina close coast currently carolina time hurricane sad_but_relieved_face',NOT
'people holiday',NOT
'thats still tall height exactly size',NOT
'vast majority normal antifa people violence white supremacists antifa protected members black',NOT
'conservatives attempted rape allegation wonder liberals describe right thing investigate allegation lying prosecute shes telling truth kavanaugh shouldnt confirm',NOT
'bullshit stats isnt london murder capital europe control working right germany serious crime problems maybe care business home start tweet',OFF
'deplorable despicable disgust',OFF
'democrats thug',OFF
'close tears know hard lose friend theyre',NOT
'donald colleges teach students bias doesnt exist #tcot #maga #rednationris',NOT
'never watch panthers suck',OFF
'statement terms expect begins note response thing fear #tories clearly show help &amp support',NOT
'nonsense want theyd forward letters part facing leadership challenge',OFF
'supporting right protest supporting sensible control thank supporting america ford respect right players protest',NOT
'lmfao',NOT
'another pool getting pretty full tell sur',OFF
'someones asking wasnt supposed camp park well business business send school shit',OFF
'amaz',NOT
'interesting even liberals placing burden isnt trial whether judge kavanaugh high enough standard shape several decades burden',NOT
'antifa quite alot israel supporters youll find flags right protest well',OFF
'thats comparison population poverty levels need massive cultural shift constitutional control effective countries mean time people keep di',NOT
'right',NOT
'right solid position become influential politics result delayed control year',OFF
'allow memory 9/11 victim',NOT
'need (see propaganda',NOT
'whats failing 11th hour liberals every minute refuses commit people lose credibility love face_with_tears_of_joy face_with_tears_of_joy #tcot',OFF
'probably suck trailer though',NOT
'',NOT
'clear majority conservatives approve trump dont stupid',OFF
'seriously cried hard read wrote cried happy yeah mad',NOT
'times seems fake made anyway blatant hatred shows enemy something really knows made across fringe alternative news media',NOT
'think doesnt control problem',NOT
'awww holding smiling_face_with_hearteyes hugging_fac',NOT
'obama sweet dangerous views actions took scandals giving weapons &amp money terrorists aligned shadow govt sabotage president trump obama uses soros fund antifa',NOT
'avoid movie american',NOT
'help woman cant even sentence mouth',OFF
'appointment already running minutes behind front strategy never paid arrogance medical learn',NOT
'beautiful',NOT
'#congress looking allegations regarding abuse well #redwave2018 #maga',NOT
'heart_suit levi &amp million next years &amp youth activists working violence tomorrow &amp control group safety #neveragain',NOT
'views agree believe climate change womans right abortion thinks gender issues black &amp white woman control doesnt exist',NOT
'control crowd',NOT
'true #maga',NOT
'future world champion',NOT
'antifa',NOT
'',NOT
'using policies weak #government #conservatives corrupt #toriesout',OFF
'sick hope teach',OFF
'killer house #maga',OFF
'hollywood full democrat',OFF
'concern',NOT
'know university withdraw feel right even still disrespect school',NOT
'pretti',NOT
'youre sexy girl smiling_face_with_heartey',NOT
'good followers w',NOT
'running',NOT
'dead even office likely command news long tim',OFF
'actions congress federal funds elementary education form #maga',NOT
'trust aint year par',NOT
'dems dont want find',NOT
'evading suspens',NOT
'disagree chosen make president rule beliefs womens rights control make confirm',NOT
'#maga',NOT
'remind antifa',OFF
'boss cool antifa',NOT
'mass shootings occur free zones cities highest crimes murders cities strict control laws idea everyone doesnt work criminals dont obey laws easy unarmed',NOT
'conservatives love draft lov',NOT
'idiot feels chance insulting conservatives supporting great dont think crazi',OFF
'fair &amp remember youre thinking laws people',NOT
'info wanted said womens start rising slowly 2020 want know even telling refuse engage',NOT
'holding',NOT
'talk taking money',NOT
'rocks wif',NOT
'liar supporters talking embarrassed last president went world apology tour even serv',OFF
'funny doesnt work',NOT
'eliminated several many figures kids well eliminated barry father true civil rights government power police thought',NOT
'everyone saying fuck dont know damn thing watched interview man_shrugging man_shrugging man_shrug',OFF
'suggest using grand jury remove holder associated administration including',NOT
'excellent welfare check',NOT
'type person believes twitter collective r',NOT
'setup second shows much threat much respect field',NOT
'much left description antifa suspect threat doubt attack reporters moms bas',OFF
