@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'andy literally went vacation right making announcement youre joke real conservatives turning bernier',NOT
'maybe call control',NOT
'#metoo movement turned black lives matter antifa turned started worthy cause ruined bunch harm good',NOT
'campaigning years',NOT
'seeing liberals',OFF
'another picture',NOT
'sucks miss',OFF
'democrats order shut listening keeps going little mind loyal uncle soros sister married family',OFF
'father face_with_tears_of_joy',NOT
'line youre america back country look mirror whos year',OFF
'',NOT
'figures',OFF
'sing',NOT
'literally hour rant women stop complaining think true wrong well news buddy means shitty',OFF
'beast certainly',NOT
'help london based smiling_face_with_smiling_eyes',NOT
'remember antifa neither lmao',NOT
'women care tennis balls care family',NOT
'people shot killed liberals want tweet control chicago calls people shot killed lunch break nobody tweets word cant ways legal guns ownership illegal ownership whats real solution',NOT
'still maga telling french boys folks &amp turns round fuck free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',OFF
'spreading important news andy sees intellectual real liberals stuck public figures faux real liberals dont care anymore',NOT
'assuming control argument control threat shot goes accuse people open carry scared fear shot hypocritical statement',OFF
'eric holder prison',OFF
'says social housing good breath talks hypocrisy failed lying politician pockets money real building failure ly',OFF
'needs years hasnt played move already hardly anyone still team played starting sound bitter doesnt ring',NOT
'turned deal',NOT
'potential connection field field strength',NOT
'antifa squad',OFF
'speaking room remember kept silent allowed kids sexually call mark judge case',NOT
'violent #antifa werent democrat violence',OFF
'said gonna didnt already face_with_tears_of_joy face_with_tears_of_joy',NOT
'wonderful love',NOT
'blame fact hispanic cours',OFF
'want murder charge stealing guns already shooting someone life prison best ends well whoever tries honestly think troll made stupid antifa members',OFF
'money kids',OFF
'think child young lady showed anything stronger proud said article answer',NOT
'blasey ford kavanaugh #metoo #maga #wednesdaywisdom',NOT
'neither authority seat',OFF
'original argument people shouldnt blanket everyone together terrorists muslims altright conservatives equally dumb specific groups denounce means general cant',OFF
'wonderful',NOT
'deserves mens prison',NOT
'course never cover conservatives',NOT
'know parents among lots great deal idea early childhood education',NOT
'thumbs_up victory_hand red_heart',NOT
'known',NOT
'racial left calls black conservatives #hypocrisy #walkaway many dont blind tool establishment keep political elite millionaires',OFF
'want prove actually retarded',OFF
'guys literally know shit',OFF
'weak face_with_tears_of_joy face_with_tears_of_joy shit must really painful',OFF
'blaming trump hurricane showing ignorance give salary recovery maybe help',OFF
'conservatives approach dealing trump biggest friend trade partner open consumers benefit',NOT
'prince time become king',NOT
'hope tiny anti american fraction support',OFF
'bring back alex jack',NOT
'antifa caught guard getting confronted last person wanted answer',NOT
'talking entire still',NOT
'thank president trump america todays economy president trump gets credit #maga',NOT
'shit dont follow stating basic facts totally actual point stating fact youre phony',OFF
'utah allow happen #wakeupamerica utah judges liberals sorry red_heart',NOT
'playing dirty using gotten money nixon antisemitism approved cuomo',OFF
'back canada',NOT
'looks fred',NOT
'please stick issues resign house leadership constitution many',OFF
'means agree though private mass making mountain guard conservatives francis',NOT
'maybe reason gaining many hard working awesome youtuber',NOT
'thought maga',NOT
'agree liberals majority peoples party canada running little party lower',NOT
'right though',OFF
'several western liberals happy national focus',NOT
'worst attorney general common barry worst president dont crawl rock',NOT
'actually rules doesnt matter even coaches attempts coach receive warning based coaches actions stopped warning couldnt',NOT
'back baby',NOT
'wasnt clown running guns',NOT
'thank careful might',NOT
'seen tweets lately',NOT
'stop trying make brandon trip option option stuff play action option bring book least four series',NOT
'thats liberal',NOT
'absolutely agree tried people twitter asking follow strength numbers vote work polls early election election speak liberals maxine rants secret service',NOT
'finally terrible takes owners racist',OFF
'#maga deep state video exposed',NOT
'always lawyers served jury jury wanted decide case kept asking explain jury away lawyer hold much side',NOT
'saturday annual close pool season round huge ground pool know thats coming dont mind funny shit',OFF
'democratic republic never democratic anything never democratic ideology talking point constantly democrats/liberals',NOT
'stage farrakhan total hypocrite pathetic',OFF
'citizens means democrat voter',NOT
'dare tell antifa right fighting fighting stupid cause fixing republicans',OFF
'brought truth hate truth',OFF
'orourke tell texas citizens feel enforcement officers tell immigration plan tell control plans tell plans cant tell views cant senator',NOT
'accusation enough live country innocent proven guilty',OFF
'look strange conservatives',NOT
'point nearly',OFF
'coming former charged conspiracy commit murder fast &amp furious scandal many scandals committed within obama administration',NOT
'rally behind blue wave policy country danger helping youre speaking place stop',NOT
'think liberals women complaining wonder ford want surrender experience',OFF
'know lord',NOT
'looks hard earned money money_bag used liberals doesnt remind typical socialist government',NOT
'comments defending drug fords blatant abuse power completely laughable liberals bias bias tell must rich downtown area thanks guys needed good laugh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',OFF
'turns wall',NOT
'#stopkavanaughnow',NOT
'sure',NOT
'nothing leave',NOT
'voting well democrat assume',NOT
'show american flag #maga',NOT
'looks amazing thank sparkling_heart',NOT
'david might know',NOT
'*extremistische idee',NOT
'guess thats shes settled spokesperson conservative',NOT
'lump agree 100%',OFF
'wasnt recently john brown club kicked shooting range antifa',NOT
'timing convenient paid liar',OFF
'thing liberals conservatives want pass trade deal #cdnpoli',NOT
'everybodys doin it#maga',NOT
'kill potus handle violence',OFF
'shit',OFF
'truth finally congress american people dems trying duly elected president theyre running scared #maga',NOT
'100% sure youre watching posting things think posted wasnt approved antifa video theres organization popular youtuber antifa without bias',NOT
'usual supposed smart feminist thinks made sense alone told dealing another person considered maybe toxic',OFF
'never lets fuck',OFF
'definitely drunk shit',OFF
'mean cheating allegations sexual harassment assault cheating difference know facts scare liberals concerned sexual need shout names slush funds revealed seat',OFF
'create whole fake page talk shit face_with_rolling_eyes really',OFF
'wouldve chose headline left loves bernier personally important thing election prevent conservatives gaining power look ontario proof',NOT
'course group european asian countries country list control positive correlation lower homicide rates even within countries',OFF
'wont live long',NOT
'proud brought students truly asset',NOT
'liberals worst women speak truth especially political activists judging allegation evidence instead gender',OFF
'better realize majority growth service industry expensive student loans college less less people',NOT
'lmao still butt hurt loser lost love polls 2020',OFF
'#mueller proof enforcement goons communist leftwing &amp anything grip power conservatives seriously question support police',NOT
'cmon eddie reason rude recall always begging back guys stop talking stop trying make seem shes horrible person youre amazing',NOT
'holy actually real antifa really know stupid great shot hurt',OFF
'conservatives finding pill hard swallow',NOT
'keep thing sitting back enjoying',NOT
'theresa isnt nice',OFF
'conservatives care democracy opinions called racist rights jeopardy anyone dont give shit',OFF
'please confirm kavanagh asap fine choice dont liberals derail nomination scotus',NOT
'holy fuck sorry someone violated trust',OFF
'look full narcissistic cant realize time',NOT
'promises taken often lies elected doubt promise honorable',NOT
'called hotel send come pick mother sitting agents reminded speak english hotel find',NOT
'everyone know time called violent liberals gone deep',OFF
'think jack busy right pushing share museum project waiting liberals suggest deliver federal dollars',NOT
'wants senator north mexico',NOT
'lib',OFF
'seen look face makes laugh somehow believe silly',OFF
'whole media country discredit tommy decide write criticism well pathetic know perfect save attacks likes corbyn antifa dont tommy stay away',NOT
'self defence justified antifa',NOT
'incredibly little',NOT
'enemies whites',OFF
'sure paul people last season called followers threat didnt kaycee &amp wanna tyler knowing much final threat following',NOT
'hollywood touch',NOT
'biden reason hard working americans never career politicians #maga thank trump',NOT
'suicide mission dont bench dont mean warped sense justice liberals',NOT
'democrats democrats dont stand women sexually assaulted democratic politicians youre hypocrite &amp need shut hell',OFF
'sums whats happening across #msm hides america #metoo #maga #kag2018',NOT
'stop defending conservatives liberal accused believe women right away yell someone spare please',NOT
'reading letter doesnt know ford unlike kavanaugh letter women left wing liberals arent threatening womans life',NOT
'truly dumb shit',OFF
'mine back',NOT
'charged false charges',NOT
'lets admitting likes kate around definitely younger version pretty sure done',NOT
'support data guessing gotten everything equal wins season good think',NOT
'williams side world something probably always regret never high believe rule',OFF
'opportunist wanted cabinet post liberals decided wasnt good enough crossed conservatives promised person core beliefs credible trusted',OFF
'proof beyond unhinged never power country #walkawayfromdemocrats #walkaway',NOT
'',NOT
'open treated poorly whole outfit bottom line treated differently women color never happen better soon recognize womens tennis accordingly',OFF
'told despicable',NOT
'fear fake rage',NOT
'conservatives starting sound facebook around',NOT
'fuck face_with_tears_of_joy',OFF
'women liberals said kavanaugh confirmed next week regardless desperate games game #maga',NOT
'whos sick racist',OFF
'cock',OFF
'know probably saying things looks seenoevil_monkey truth',NOT
'saying simply',NOT
'control supporters efforts facebook free california class plus virtually free training front largest shooting',NOT
'wondering whether another election wrong party electorate voted #conservatives voted labour (and',NOT
'great',NOT
'hearing dont care people country treated going make excuse kneeling offensive continue ignore problems face nation',NOT
'completely agree potential victims claim must process',NOT
'liar bring case state love kavanaughs attorney suit',OFF
'family cheating husband never loved boys made clear never laws show cats paid employees laugh checks',OFF
'years sexually assaulted supreme court nominee remain anonymous dont answer questions basically smear campaign democrat dont want conservatives majority',OFF
'understand black lives matter fight global warming demand control wade course forces throw save used welfare billionaires medicare everything worries fears',OFF
'policies worst',OFF
'maybe tweet bible',NOT
'dont guys arent trying pass across said went left 2014 face_with_rolling_eyes',NOT
'better leave womens title tonight best woman whole none',NOT
'know left going believe lies liberals rats destroy president trump going thumbs_up united_states',OFF
'nothing',NOT
'born life wife london back baby wife registration london make face_with_tears_of_joy winking_face honey history',OFF
'knowing fucked future plans',OFF
'please dont make mistake #kavanaugh trump',OFF
'beautiful red_heart',NOT
'sweet thank spreading love sparkling_heart',NOT
'sounds amazing bloody disgrace mostly forgotten',NOT
'says wont',NOT
'follow maga',NOT
'audience hour white scum earth',OFF
'pure become hear child thinking wasnt hard love saved showed beautiful light',NOT
'trump right outta',NOT
'#maga please explain',NOT
'trump #maga',OFF
'getting married refuse believe still baby baby',NOT
'billionaire buys time million #tcot #maga #rednationrising',NOT
'dont rights #tcot #americafirst #conservatives',NOT
'sort thing #antifa socialists cheer',NOT
'name',NOT
'stop giving start giving facts prove control work',NOT
'guess time divorced keep income silly liberals clue make canadians benefit divorced',NOT
'freedom speech agree left',NOT
'fucking',OFF
'failure democrats #tcot #maga #rednationrising',OFF
'going make great',NOT
'conservatives turning back abuse power #onpoli',NOT
'wasnt given option stay home money always tell people opportunity given shit hell',OFF
'people still think administration greatest ridiculous',OFF
'sorry thought hollywood',NOT
'trump word #antifa woman_shrugging_light_skin_tone',NOT
'evil true enemy people cant believe people still seriously',OFF
'vulgar attempt reduce',OFF
'gotta',NOT
'must sexually active woman pushing young women abortions',OFF
'control debate wont keep guns away every criminal make things better wont prevent every mass shooting prevent crazy people buying first place',NOT
'answer different opinion youre lose argument youre love britain youre week takes strong person sheep',OFF
'dont',NOT
'silly',OFF
'google stock whats trump world',NOT
'accusation trump hating liberal activist trump doesnt make wonder accusation politically motivated conservatives think stupid',NOT
'expect pussy hats shouting believe based general conservatives',NOT
'maybe beating woman apparently spending couple dollars makes piss',OFF
'everybody talks weather dont make sure doesnt suit never happens dont violence action #antifa',NOT
'apparently conservatives automatically guilty crime assault shows last possible minute longer innocent proven',NOT
'well better',NOT
'strokeface_with_rolling_eyes',NOT
'basic white girl clearly didnt know personally awful happened dont respect instead disgusting blaming another innocent human something nothing',OFF
'racist excuse every time telling',NOT
'believe dont guess',NOT
'opinion isnt false youre isnt cant feelings doesnt narrative rights taking away better control hurts soul well dead child hurts mine',OFF
'right last night acts going things life share friends yall',NOT
'connect iphone',NOT
'thats source information kidding',NOT
'support right using antifa tactics words tactics domestic terrorist group',OFF
'tweet another garbage tweet liberals contributed nothing except confirmation liberals talking points &amp arent believed',OFF
'really dont care judicial right operative supreme court',NOT
'support dana anything heck actress thank fighting proud maga blessings dana',NOT
'getting better better',NOT
'dont look keith bully investigation past abuse pick',OFF
'didnt anyone disrespect fabric &amp country defended human blood disrespect flag disrespect country defend flag &amp country served &amp took oath',NOT
'really world antifa apparently believes people actually deny climate think coming back zone',NOT
'bring barrett hearings needed anymore candidate number better real human rights dems want make scotus maga grinning_squinting_face',NOT
'rule doesnt apply republicans/conservatives accused dems',OFF
'didnt resist actually participate well maybe free paid',NOT
'wis',NOT
'difference make death holding parents accountable part control legislation write congressional demand congress deals violence continue &amp americans risk',OFF
'pope pure strip nothing cast fire crimes',OFF
'ruined brand kaepernick',OFF
'wants successful producer tweeting stuff',OFF
'dangerous luck doctor',NOT
'swamp going jail soon #maga',OFF
'people tried telling last year busy bashing trump mayor cruz people 3000 peoples lives worth make trump look disgrac',OFF
'much dislike antifa hope none stupid enough fall getting someone injured killed',OFF
'sorry issues please send email feedback description issue email address associated account thanks',NOT
'explains idiots',OFF
'liberals always',NOT
'weaponized judicial system attack couldnt grow said used norm moron',OFF
'suggest using remove',NOT
'busy school something',NOT
'imagine order wrong',NOT
'free press mean mainstream corporate media look speaking come line journalists part truly free press shutting speech left antifa',NOT
'unless skin coming back coming back',OFF
'project released socialist state department #maga #kag2020 #tcot #teaparty #pjnet #resist clear hatch violation',NOT
'hits keep coming democrats desperation #maga #trump2020 #potus share',NOT
'fake unable feel true feelings even lies says anything stupid standing clearly doesnt respect unity marriage women stand divorce',OFF
'news campaigning republicans using power congress force private companies whatever says truth control member',OFF
'last party rally didnt look last antifa rally people rally left',NOT
'shape form',NOT
'thought last wearing fucking',OFF
'happy birthday lucky lovely bouquet bouquet bouquet clapping_hands clapping_hands clapping_hands clapping_hands rose rose red_heart red_heart red_heart game',NOT
'lack walking around sense liberal',OFF
'#msm respect left really reached point',NOT
'negative coverage says delusional',NOT
'biased everyone drop google',OFF
'call poor',OFF
'never magazine',NOT
'behavior onto justice system',NOT
'love wife heart_suit smiling_face_with_smiling_eyes heart_suit smiling_face_with_smiling_eyes red_heart smiling_face_with_smiling_eyes heart_suit',NOT
'dont believe true fact commentary tweet wrong florence correct areas long fool base fans grow',NOT
'happy dance serena lost needed taken',NOT
'alone didnt last force talk didnt star wars good',NOT
'maybe fucking hungry knows kind home life goodness child officer handled better sorry needs fired',OFF
'report conservatives positive',NOT
'failed illinois around gave nothing illinois conservatives choice state experience',NOT
'control',OFF
'sounds pope needs',NOT
'shiv',NOT
'timing info thats game politics nothing things advantage need doesnt make face_with_raised_eyebrow',NOT
'lying',NOT
'death determined studies computer programs',NOT
'need',OFF
'complicit took money going',NOT
'thanks post #maga #kag2018 gonna',NOT
'cant antifa morons start',NOT
'interesting piece speaking condition ironic nature control laws thought well piece',NOT
'andrew bully liar cheat kept anti bullying rules',NOT
'simply right silly emotional female nothing problem delete realize horrible perhaps someone told somehow fault liberals might wrote plain english',OFF
'cause white blonde answer',NOT
'bono clearly racist',OFF
'yeah',NOT
'liberals ruin everything',NOT
'playing characters season episode pretty sure main',NOT
'goodness precious babies make everything better thank sharing',NOT
'tweets south park twitter something weird thinking_face thinking_face thinking_face',NOT
'#westminster #tories going wrong #police days unamused_face angry_face angry_face angry_face',NOT
'people crying control shooting already control want explained criminals supposed obey',OFF
'looking',NOT
'liberals responses great news telling',NOT
'liberals live double standards look liar whore even evidence good bill democrat fucking insane',OFF
'failed peoples party #canada #liberal #politics #government #cdnpoli #pnpcbc #racism #pnpcbc #cpc news android',NOT
'dont shame entire country',NOT
'piece shit sorry going think whether',OFF
'youre saying antifa never nazis',NOT
'animal operative word',OFF
'cant appeal kinds wrong beat',OFF
'black female democrats call changes party #tcot #maga #rednationrising',OFF
'someone unqualified seems good',NOT
'aware hillary clinton said going nuclear weapons russia sold weapons complete idiot',OFF
'cute loudly_crying_face two_hearts',NOT
'according said &amp treatment pretty awful comments wrong person',NOT
'time nation needs tougher control countries dont',NOT
'dianne feinstein disagrees called woman liar',NOT
'time really starting hate time world open shut time enough bull shit time case actually time hurting',OFF
'whole milk thing anyway needed weird things humans save money labour membership',NOT
'concert goers ruger calls control research unethical',NOT
'control finest greatest #maga',NOT
'fact vote republican make sure doesnt happen',NOT
'comes something present fact shame fact labour voters voted remain polls position based false nice',NOT
'opens door runs fuck yeah',OFF
'everything grieving grief started child totally many friends back every thing beautiful',NOT
'levis came support student control activists burning jeans well',OFF
'dont tell',NOT
'georgia racism utter lack showing higher education apparently goal',OFF
'made resign #maga',NOT
'corrupt glad',OFF
'liberalism taking sides political todays left liberals emphasis minority issues todays right mostly liberals emphasis anti',NOT
'aint nigga back throw whole friend away',OFF
'guys seriously dont mean everyone right good people dont bother shit personally want shit stop government apparently fucking stupid control teachers guns makes sense',OFF
'stupid incompetent toxic havent forgotten million voters faith democracy destroying tory party',NOT
'trolling antifa',NOT
'ban',NOT
'full',NOT
'actually biggest artists today thanks grinning_face_with_big_eyes',NOT
'analysis obvious bias couldnt come wrong conclusions biggest threat liberals existence removal proved never thing',NOT
'thought decided attack opinion control brett kavanaugh asked conversation worth time effort youve done prove worth effort winking_face nice',NOT
'benefits employment goes works',NOT
'liberals cant whatever takes process',NOT
'antifa professor speaking',NOT
'hate always gets wants doesnt care hurts knew giving hope good true',NOT
'thats call “gun control”',NOT
'hero class',NOT
'obviously isnt boycotting',NOT
'another attempt democratic liberals bash judge didnt come time many years prove still think vote democrat running mayor paid girlfriend',NOT
'antifa high emotion fascist organization members fooled name groups obvious fascist ideals others advantage rest fools',OFF
'haha true back original point fucking drive everything fine',OFF
'fact',NOT
'exactly thoughts always sweetie shes true character exposed athlete revealed times shes role model legend',NOT
'liberals drive republicans polls worry',NOT
'short course',NOT
'individual',NOT
'booker toast',NOT
'another',OFF
'holy shit',OFF
'means still superman',NOT
'trump mueller investigation climate change guns control unions workers',NOT
'trump didnt want president colluding russia presidency made attempt liberals',NOT
'eyes look',NOT
'need name shame people group expose antifa',NOT
'hysterical liberals following facts liberal',OFF
'wrong #metoo proven guilty liberals',NOT
'stock companies fight safety',NOT
'dont sink state',NOT
'news democrats backhand_index_pointing_down #maga united_state',OFF
'people bastards youre think plenty frauds wont advantage change',OFF
'even hard liberals media stepping back',NOT
'photo knew story heard texas better right',NOT
'looking retirement money',NOT
'smiling_face_with_smiling_eyes',NOT
'know people feed mine back feeding people havent eaten least minutes need maga',NOT
'dirty stole cruz campaign voters list gave trump',OFF
'course attacking book shocked tweet censored keep fighting #maga',NOT
'arent railways much better theyve privatised',NOT
'great state illegal immigrants liberals blue states looking work vote democrat figure insane',OFF
'unhinged taken seriously anybody',NOT
'mention theyre ones allegedly defend freedom liberty silence almost sent conservatives hate democracy',NOT
'govt remains status kiss found wealth open transparent nothing less thanks #maga #buildthewall #news #fakenews #foxnews',NOT
'shes jealous cute &amp wear proudly sweet beating_heart',NOT
'thought turned antifa',NOT
'following #maga patriots please follow back thumbs_up #maga2kag united_states',NOT
'doesnt trail kicking awesome keep',OFF
'crazy liberals',OFF
'enjoying school little tears though',NOT
'free',NOT
'think confused people',NOT
'youre right someone different belief better',NOT
'hope right',NOT
'dont know',NOT
'really putting hotel money museum home',NOT
'thats awesome liberals screaming right trumps face heard great trump',NOT
'cockroach',OFF
'lisa page confirmed russia story passed gullible liberals push narrative duly elected presidents success office',OFF
'despicable world goes half describing',NOT
'soros people really vicious control allies probably plans funds antifa actually trying government',NOT
'pretty much spot',NOT
'everyone muted thanks working free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy #maga',NOT
'whats wrong dead #antifa dont understand thought good antifa',OFF
'becoming besides',NOT
'&amp goat',NOT
'want person particular dont care rest world world',NOT
'trump never free range chicken danger world constant imagine around world little actual intel know completely dont happening',OFF
'gross obvious hack',OFF
'unfortunately liberals agenda',NOT
'plans',NOT
'must entire closet dedicated college teams',NOT
'good fake good',NOT
'sure block useless tweets',OFF
'reason people tired focus conservatives ford treated people poorly constitutional crisis treatment women despicable',NOT
'#walkaway #liberals',NOT
'woman going rich already hero half country media might stop trump giving court conservative majority',NOT
'good arrest arrest crazy leader well minions fall planned paying legal fees think level party disgusting',OFF
'among favorite stories comes back shows evil universe might among terrible read',NOT
'dont know obama second safe obama wrong think safe individual control many shootings trump office explain',NOT
'fake conservatives fake outrage budget betrayal',OFF
'conservatives historically constitution part reason name libs make make',NOT
'knew dead rolling_on_the_floor_laughing rolling_on_the_floor_laughing brave rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',OFF
'emotional rational caught wrong bargain house many members single connection doesnt understand target elite people',NOT
'hope',NOT
'thats real thing exists &amp told fact mother never loved &amp penis',OFF
'john careful liberals attack thinking facts arent side',OFF
'amazing pope afraid truth',OFF
'people absolutely insane liberals attacking white years getting worse path pushing create another civil recovery damn stupid',OFF
'dont change course tories going toast next general election want canadian conservatives went power seats seats',NOT
'thats strange question course love sister brother make sure safe alive',NOT
'crazy maxine either spray paint smoking crack #maga',NOT
'call comments likes come liberals states trying elections wisconsin light scott target first governor election lets',NOT
'trying donations smirking_face',NOT
'loudly_crying_face loudly_crying_face tonight face_with_tears_of_joy face_with_tears_of_joy',NOT
'news contacted woman believed subject letter home last week comment news able confirm hearing high school',NOT
'break play thread pill bitter',NOT
'tina school liberals',NOT
'followers goal #trumptrain #maga #kag',NOT
'blocked much easier know nuts rolling_on_the_floor_laughing',NOT
'another political hack news media listen tone interview looking moment instead work every turn shoots kills',OFF
'daily hatred spewed liberals meant incite type',NOT
'time begin sunday college football games push police haters right ratings',NOT
'dont know face_with_tears_of_joy face_with_tears_of_joy',NOT
'interest watching hour liberals trigger everything except insulting disagree cause choice moment pass',NOT
'hate speech hear last years liberals stop hate',OFF
'legal somehow biased towards conservatives society exists conservative',NOT
'prime example cant anymore liberals government dont want know constitution prefer dictate superior americans hate republic need keep',OFF
'people special',NOT
'broke second maga',NOT
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fool',OFF
'chicago strict control laws within free sale exchange zone rational efforts banning sales city chicago helped illinois sales helped wont participate',NOT
'sure hell either traitor liberals',OFF
'nigga thought gone point game funny',NOT
'need control laws democrats things areas much much less crime',NOT
'thought lisa brilliant though',NOT
'crazy youre professor slander conservatives lowest hope youre proud every false statement youve made youll accordingly best talk',NOT
'griexsev',NOT
'please dont start concerned wants something planned idea movie scary felt something wanted know couldnt remember head',OFF
'quit stop allowing violence conservatives platform',NOT
'liberals north campaign congressional candidate #maga #donaldtrump',NOT
'thats liberty #wwg1wga #maga #therainmakers #qanon #qarmy',NOT
'thats implying took correct hospital usual record claim many incompetent single record',OFF
'evil white',NOT
'trumps border wall never happen #maga',NOT
'dope delusional libtard puerto rico fantastic response president',OFF
'awesome conservatives',NOT
'beautiful alex hope feeling better miss self morning',NOT
'clue numbers country world mass shootings death violence anyone control logic',NOT
'control destroy ford exposing claim receiving death threats stop threatening fact liberals ones threaten people investigate',NOT
'think staff getting trash crazy talk good career always good done share help',NOT
'liberals united states &amp dropped middle east',NOT
'thought looked back goes month back couldnt find thought good brother maga',NOT
'liberals support score political points power ugly',NOT
'well love',NOT
'statement hold higher moral ground know scandals bother hypocritical sides equally guilty held accountable regardless party',NOT
'shit work every sorry make tuesday',NOT
'dumbest shit read morning reading trump tweets',OFF
'evidence turned party business party fuck business',NOT
'thats well wanted care youre going make impossible guess think',NOT
'eric holder held accountable pointing finger away crime time side eric looking forward time ruining america',OFF
'ahhh mind',NOT
'face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy thumbs_up ok_hand thats good never knew antifa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy thumbs_up need comedy special rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy',NOT
'balance liberals news agencies used push politic',NOT
'sorry hear',NOT
'asked proof blocked joke antifa real nazis similar talking points sure providing proof quickly',OFF
'thank proving point trash',OFF
'baby liberals trump total great years #maga',OFF
'mind gangs chicago toughest control laws nothing',NOT
'conservatives silently theyre voice white house want back theyre trying silence possible need burn midterm',OFF
'obama tried nation lied said christian actually radical muslim',NOT
'took years never came choose supreme court shows liberals really thats good',OFF
'manga real cheap might part series',NOT
'wonder couple',OFF
'mag',NOT
'fuck',OFF
'bothered space',NOT
'video posted note different race play considered hate thus standards either hate liberals cant complain negative black race card',NOT
'deaths global study shows united_states partner asking control laws enacted read full article express opinion poll',NOT
'joined antifa align values',NOT
'make vote republican',NOT
'alert episode hidden agenda promote control',OFF
'give fucking break liberals selective false outrage turd president gets saying grab pussy decades hollyweird gets pass saying fuck shit next gets liberal pass',OFF
'freaking happy kavanaugh seriously hope perjury least force either speaker obama badly want 2020',NOT
'maxine mean woman cant imagine demons dealing much hate &amp',OFF
'know gives know smarter president',OFF
'know many liberals dont feel need dance around maga idiots',OFF
'wild thinking minus away whole town',OFF
'always bray matter good brother',NOT
'global sushi dead commie terrorist choose sushi',NOT
'women defend kavanaugh good person allegations ignore dianne feinstein disgusting idiot piece feinstein rule supreme',OFF
'right free speech thing makes country great another flag symbol gives right',NOT
'punish &amp slander people simply honest truthful thats know time #walkaway vote republican',NOT
'funny actually think says something',NOT
'white liberals imagine white people power white people trained generations aware white liberals racists know power imagine white people peopl',OFF
'harry potter',NOT
'none issues real problems handled better conservatives happy support trudeau second term trans mountain nafta done wouldnt know prosperity fell pile 100s',NOT
'goes show called news people laughed eating wonderful watch looney liberals around worms sunshine',OFF
'suddenly thought mention video dont know bring back video said might another',NOT
'time visit team',NOT
'hired fixed feels good',NOT
'think conservatives going believe liberal sadly mistaken right thru lies judge kavanaugh great person best thing country hand disgrace united states &amp women',OFF
'maga winning',NOT
'history',NOT
'book bandwagon cant blame #liberals love throw money bullshit',OFF
'shes black',NOT
'blocked dont even know',NOT
'control isnt public hating social',OFF
'cute green_heart green_heart green_heart',NOT
'sisters perspective mean arent allowed protest disagree',NOT
'inciting violence towards twitter accounts support potus made lists antifa please respond',NOT
'excluding members special events guess guys already testing tactics unamused_face',NOT
'looks winking_face_with_tongue simple things explained',NOT
'isnt antifa doesnt want hurt resist doesnt either rest want shut',NOT
'#tories #labour #ge2017 #conservatives conservatives longterm approach number including ability work supply build homes paul chief',NOT
'woman told last night dont know talking told island hope alive',NOT
'cast vote #christineblaseyford years come allegations obvious #maga',NOT
'hel',NOT
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy whatever enough antifa &amp rest stay home peaceful point last time left wait',NOT
'fuck',OFF
'capital fucking hill dont know want intimidate family back media antifa drag',NOT
'lose every jeff jerry dumb shit happens lose full',OFF
'intellig',NOT
'points last year home play great offensive coach',NOT
'eric taxes straight jail',NOT
'president idiot wish tell still office help storm lord knows need paper towels thrown',OFF
'grown back presence guess hell jacket',NOT
'fuck',OFF
'legend best want',NOT
'testing support line time high doesnt break',NOT
'liberals whatever label discredit people disagree and/or threat agenda',OFF
'dop',OFF
'blocked long time response called lying idiot thinks dont stick loves saying stupid stuff liberals love complete',OFF
'side crowd killing someone mentioned antifa theyre anywhere close hate filled platform heard &amp excuses next',NOT
'dont want anyone trouble first time happens back wouldnt issue tough hard anything together hours',NOT
'loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face terrible',OFF
'believe something even means everything #maga',NOT
'market liberals party',NOT
'interesting topic give best opinion topic first master means assume master either best human player world game current time',NOT
'dead face_with_tears_of_joy',NOT
'hill',NOT
'give life conservatives move year election canadians show dont want racist running country grow lets talk dont anybody dont look',OFF
'first baby growing fast cute fabulous thanks sharing',NOT
'perfect example country control guys happy criminals didnt guns',OFF
'breitbart become establishment fake news worst alex total loser watch listen fault lines nixon instead probably best show kind fired breitbart good',OFF
'liberals saying republicans country color hypocrite',OFF
'thank',NOT
'ridiculous need retire',OFF
'crazy things liberals blame trump',NOT
'keep youre liking face_with_tears_of_joy',NOT
'sorry team looking butt',OFF
'window leftist maybe centrist isnt denounced extremists antifa keith ellison denounced ones right',NOT
'good thing watch online',NOT
'first states marriage extremely progressive control minimum wage increase free college know things dont count major count',OFF
'bitch gonna dont',OFF
'wonder chicago',NOT
'mag',NOT
'white liberals really hate',OFF
'minut',NOT
'gives shit',OFF
'mistaken resigned system',NOT
