@relation Train
@attribute word_tokenize string
@attribute subtask_a {NOT,OFF}
@data
'carrey mansion plu million york',NOT
'dear game',NOT
'cut',NOT
'weird fear monger # maga',NOT
'fuck dope independ voter never vote left parti danger',OFF
'realli think that say blond think blond peopl think peopl black american stand manipul trump said let talk white never',NOT
'mayb want appear continu give cover antifa buddi cover',NOT
'love respons',NOT
'trump anyth relat hurrican pretti sure shit pant right',OFF
'peac protest give full list incid antifa attack trump support none trump support attack hillari support',NOT
'good christian husband attack',NOT
'eric holder obama straw corrupt',OFF
'liber ruin life doesnt matter long must stop conscienc',OFF
'doubt proud daughter heaven sorri loss young age ) difficult must & amp imagin certain degre still must sound truli wonder person legaci',NOT
'conceal carri best friend',NOT
'wasnt call genuin surpris live legit made love love wasnt anyth apolog took anoth',NOT
'girl send poop maga hat',OFF
'despit dissent within declar “ all canadian awar need chang canada control system govern commit reduct crime effect control measur import part canada crimin',NOT
'say bitch hide behind dont hurt help sometim cant everyth alon fuck clown help someth better noth that ask even cant dont hurt fuck twitter weak nigga',OFF
'employe stalk trump appointe hit stage protest maxin water part plan antifa session part plan protect statu',NOT
'funni liber lover fake strong conserv point zero credibl zero',NOT
'kavanaugh doesnt want investig',NOT
'incred stupid perhap reason chosen ‘ ‘ trade talk trudeau destroy everyth reason canada allow terrorist destroy canada trudeau',OFF
'game beat receiv yard ball long yard game catch give anoth problem align receiv',NOT
'worth $ trillion # maga',NOT
'horribl that career die',OFF
'thing blog succeed think',NOT
'lie dont admit date mayb marri true stori polic offic stori excus full shit pleas post photo',OFF
'your jerk attack juli stand husband your liber want ruin peopl live bash peopl found guilti client want money',OFF
'intellig person highlight farright farleft anyth fail understand fault',NOT
'dont say type dumb shit',OFF
'stop nonsens block stupid',OFF
'eric brother sister daddi among crime stole money chariti person bank investig act dope noth tool',NOT
'give',NOT
'privat compani dont give toss anyth profit term choic troubl come delud decid ignor everyon countri creat market health',NOT
'sick disturb comment prove',OFF
'deplor light might turn',NOT
'liber beta male engag straight femal',OFF
'easili offend interest good night sister hope someon bring great twitter experi',NOT
'well pick wrong one',NOT
'resid post seri trump sign outsid home anoth neg sign',NOT
'judg woman anti semit ryan right play your disgrac',OFF
'brexit & amp conserv well face_with_rolling_ey',NOT
'true enact specif disarm minor said purpos enact control york citi base control doesnt disarm privileg',NOT
'# liber select outrag',NOT
'# liber platform none vulner peopl late decad last centuri previou show desper heard theyr around high school look rumor',OFF
'# influenc week',NOT
'england averag murder year hilari impli control doesnt work must trump call fake news',NOT
'dont real peopl real peopl',NOT
'well sure support lie make fals accus intellig rest liber act',OFF
'that even antifa motto mean necessari',NOT
'liber insan democrat nomine femal conserv heard heck look keith ellison proof theyv turn back she democrat help',NOT
'caus look scienc',NOT
'excel',NOT
'even 2015 britain senior foreign offic offici conserv prosper agenda high list prioriti human right',NOT
'burt awesom',NOT
'alreadi mani fuck shot tonight',OFF
'sure prove daili basi # maga',OFF
'man_shrugging_mediumdark_skin_ton well face_with_tears_of_joy face_with_tears_of_joy play',NOT
'disgust happen strictest control law work mayb legal allow peopl protect tough rule arent work mani live lost chicago',NOT
'although think carter decent without doubt worst presid vote histori worst question',OFF
'sociopath',OFF
'obvious clue clearli american china becam largest foreign holder debt 2008 major holder least 2000 what america',NOT
'away phone',NOT
'alway thought conserv care tradit valu honor protect',NOT
'control gun control control',NOT
'serious word fuck everi time think found word someth even despic & amp disgust best hope stupid lie told serial killer soul',OFF
'realli concern antisemit societi condemn tori parti & amp dem adopt',NOT
'support monster biggest traitor modern day polit',OFF
'want start clean skin benefit pour water small glass bowl make sure water still grab towel place bowl somewher comfort stand',NOT
'look joke liber # forttrump # poland # boomingeconomi',NOT
'think bother evil nazi democrats/liber tri presidenti elect frame kavanaugh anoth evil nazi democrat politician destroy democraci america # walkaway make america great',OFF
'star badass',NOT
'&',NOT
'alex mani nation leader well',OFF
'accus ambush fact call demonstr sick heart sick today conserv',NOT
'control',NOT
'control mean aim elderli great control',OFF
'play game android sourc think epic game ban android system strip pay unfair pouting_fac',NOT
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy right threaten destroy live career teen connect made meme india leftist liber rest hate speech',NOT
'definit # spread word',NOT
'retir',NOT
'need stay busi busi # democrat dont # walkaway hard time concept profit result worri your still china reason need # # trumptrain # maga',NOT
'sure hope grand final side',NOT
'want control figur',NOT
'everyon know negoti first thing send pallet cash',NOT
'least get peopl',NOT
'liber sick fals lie',OFF
'march antifa bigot labour antisemit right',NOT
'moor kavanaugh jeff bezo bunni satir past alleg # # maga republican sane peopl alleg past equal credibl incred rabbit rabbit rabbit',NOT
'# tori # labour # ge2017 # conserv conserv hous today announc longerterm partnership open ambiti hous associ groundbreak billion initi',NOT
'thank & amp face_with_steam_from_nos liter speak still hasnt wish happi birthday fake',NOT
'need control law safer chang florida vote democrat help make environ health care better pleas vote',NOT
'look move word truth come chanc question agre height belong dead dead water couldnt answer without condemn true',OFF
'perpetr respons action ignor maxin water & amp other incit violenc consid said abl shop anyth peac surviv without abl trade',OFF
'18n18 ',NOT
'lynch uppiti ( republican ) black fine rape women liber includ bill clinton',OFF
'declar antifa terrorist group investig member',NOT
'stronger believ beauti teach much grate chanc grow learn loudly_crying_fac red_heart red_heart',NOT
'block dont even know',NOT
'realli charg # liber liar',OFF
'bullshit',NOT
'internet bank today tri sever time keep tell either give number say experienc technic',NOT
'godless',NOT
'thought profil help parti kavanaugh remain anonym like promis parti charg perjuri continu play victim lie worm',OFF
'chicago wont enforc law book neighborhood murder plan control liber pass strict even confisc gun black matter liber tri pass agenda',OFF
'confer fast approach soon head check event backhand_index_pointing_down rainbow blue_heart',NOT
'shot free zone much control law',NOT
'clinton news network strike',NOT
'rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh deep throat',OFF
'argu pointless keep ask question first place suppos speak run quot dont believ said like unamused_fac thing',NOT
'trump trump trump maga',NOT
'“ holi jesu fucken christ ”',OFF
'liber find except unless done tear begin hunt',NOT
'anoth child kill broken_heart crying_fac folded_hand anyon agre stricter control law need # # guncontrolnow',NOT
'lie much pay how chines',OFF
'trump wife divorc accus abus whole stay pattern ignor realiti abus women dont alway seem believ',NOT
'lmao good listen wife bought paid evil propaganda child murder russian agent stick tweet prepar long prison sentenc',OFF
'fuck suck #',OFF
'better time',NOT
'alreadi control thought crimin wouldnt follow let make law tell break law',NOT
'conserv alway assum women make alleg lie',NOT
'lie need su charact includ chuck schumer diann feinstein lawsuit proof isnt substanti bunch hate girl want free abort paid govern',NOT
'constantli remind bless',NOT
'whole world presid trump accomplish american proud trump administr make differ left mainstream media dedic pull awak # maga',NOT
'sweet',NOT
'pleas tell fellow soro antifa',NOT
'say lost championship game know bowl game team actual want',NOT
'meet mani mani fan amaz rememb dont bitch',OFF
'hope true anoth good death nail liber chanc amaz respect money hard work canadian',NOT
'that deplor still havent explain relev somehow appear exact show antifa homosexu',NOT
'thank red_heart follow great folded_hand # maga # hundred_point united_st united_st united_st',NOT
'noth alreadi show isnt gon na chang & amp need leav stay your show your except & amp doesnt need chang',NOT
'dana worri home ( south ) carolina close coast current carolina ( time visit ) welcom hurrican sad_but_relieved_fac',NOT
'peopl holiday',NOT
'that still tall height exactli wear size shoe',NOT
'vast major normal resid antifa peopl violenc initi white supremacist antifa protect member black resid',NOT
'conserv attempt rape alleg “ ” wonder liber describ right thing investig alleg lie prosecut she tell truth kavanaugh shouldnt confirm',NOT
'bullshit stat isnt london murder capit europ control work right germani seriou crime problem mayb care busi home start tweet',OFF
'deplor despic disgust',OFF
'democrat thug',OFF
'close tear know hard lose friend theyr',NOT
'donald colleg teach student bia doesnt exist # tcot # maga # rednationris',NOT
'never watch panther suck',OFF
'water statement condemn term expect begin note disappoint respons suggest thing fear # tori clearli show help & amp support',NOT
'nonsens want oust theyd forward letter part face leadership challeng challeng',OFF
'support right peac protest support sensibl control thank support america ford respect right player protest',NOT
'lmfao',NOT
'anoth pool get pretti full tell sure',OFF
'someon ask wasnt suppos camp park well busi busi send school shit',OFF
'amaz',NOT
'interest even liber place burden isnt trial examin whether judg kavanaugh reach high enough standard shape sever decad burden',NOT
'antifa quit alot israel support youll find flag right winger protest well ironi',OFF
'that comparison popul poverti level need massiv cultur shift constitut amend control effect countri mean time peopl keep die',NOT
'aim right',NOT
'right solid posit becom influenti polit result delay desir control year',OFF
'allow memori 9/11 victim',NOT
'need ( see nazi ) propaganda',NOT
'what fail miser 11th hour ambush liber everi minut # refus commit appear peopl lose credibl love face_with_tears_of_joy face_with_tears_of_joy # tcot',OFF
'probabl suck trailer though',NOT
'',NOT
'clear major conserv approv trump dont stupid',OFF
'serious cri hard read wrote care ” cri happi yeah made',NOT
'time seem fake made anyway disguis blatant hatr show enemi someth realli know made across fring altern news media',NOT
'think doesnt control problem',NOT
'awww hold smiling_face_with_heartey hugging_fac',NOT
'obama sweet danger view action took scandal give weapon & amp money terrorist align shadow govt sabotag presid trump obama use soro fund antifa',NOT
'avoid movi american',NOT
'help woman cant even sentenc mouth',OFF
'appoint alreadi run minut behind schedul front book strategi never paid appoint arrog medic impress learn',NOT
'beautiful ',NOT
'# congress look # alleg regard abus well # # # redwave2018 # maga',NOT
'heart_suit levi & amp donat million next year & amp youth activist work violenc establish “ safer tomorrow fund ” & amp partner control group safeti # levi # neveragain #',NOT
'view agre believ climat chang opposit woman right abort think gender issu black & amp white woman & voic & gt ) control doesnt exist',NOT
'control crowd',NOT
'true # maga #',NOT
'futur world champion',NOT
'antifa',NOT
'',NOT
'# theresa use # polici weak # govern # # # conserv corrupt # # toriesout # corrupt',OFF
'sick hope teach',OFF
'killer hous # maga #',OFF
'hollywood full demon democrat',OFF
'concern',NOT
'know univers withdraw feel disgrac right even still disrespect school',NOT
'pretti',NOT
'your sexi girl smiling_face_with_heartey',NOT
'good follow want',NOT
'run',NOT
'dead even offic like command news long time',OFF
'action congress ( ) feder fund elementari educ form # evil # greedi # hate # pig # educ # maga #',NOT
'trust aint year opinion ) parent',NOT
'# dem dont want find',NOT
'suspens',NOT
'disagre chosen make presid rule belief women right control make confirm',NOT
'# maga',NOT
'remind antifa',OFF
'boss cool antifa',NOT
'mass shoot occur free zone citi highest crime murder citi strict control law idea disarm everyon doesnt work crimin dont obey law easi unarm',NOT
'conserv love draft love',NOT
'idiot # biden feel chanc insult conserv support great # dont think crazi',OFF
'fair & amp rememb your think law peopl spoke',NOT
'info want coincid # tori # said women start rise slowli 2020 want know even discuss tell refus engag # #',NOT
'hold',NOT
'talk take money',NOT
'rock wife',NOT
'liar support talk embarrass last presid went world apolog tour even',OFF
'funni doesnt work',NOT
'elimin sever mani figur kid well elimin barri father true civil right govern power polic thought',NOT
'everyon say fuck dont know damn thing watch interview man_shrug man_shrug man_shrug',OFF
'suggest use grand juri remov holder associ administr includ',NOT
'excel welfar check',NOT
'type person believ trend twitter collect realiti',NOT
'setup second show much threat much defens respect field',NOT
'much toler left descript antifa suspect threat doubt attack report mom basement',OFF
'took long beast',OFF
'michael moor need move countri promis',NOT
'think michel spill democrat plan civil liber lunat',OFF
'perhap go talk collus campaign investig trump plenti illeg activ clinton campaign',NOT
'everyon “ heard ” clearli qualifi vote accordingli',NOT
'follow # maga patriot pleas follow back thumbs_up # # maga2kag united_st',NOT
'never happen take note american liber',NOT
'knock first round shitti decis',OFF
'work save countri set flag fire justic fire # lockherup # maga',NOT
'liber',NOT
'stand right rino',NOT
'condemn # antifa',NOT
'hard know colin lip stop nike begin',NOT
'confus paul proven play rebuild tri remain competit time steadi improv',NOT
'dress weapon make walk boarder night call drug cartel',OFF
'guy page censor cant find site search engin direct link accord post basic leav',NOT
'count save conserv lead countri fall econom grow danger close help',NOT
'dont forget soon talk control',NOT
'contact follow',NOT
'pay attent know bite appl',NOT
'lie jail everyon lie tell truth noth worri',NOT
'sourc',NOT
'well let kick tire light fire # maga # wwg1wga # kag # liberalismisamentaldisord',NOT
'even london dont conserv',NOT
'',NOT
'power woman earth fuck',OFF
'fuck',OFF
'liber sexual children puppet # tuesdaythought',NOT
'vet antifa',NOT
'chang world',NOT
'cheer',NOT
'liber work conserv depend support littl hear get ( and free food ) protest',NOT
'conserv want submit friend trudeau stand ground stand canada',NOT
'happen support control help oppon',NOT
'cours young dumb realli brain wouldnt believ social',OFF
'loudly_crying_fac good game nigga work woman_shrugging_light_skin_ton',OFF
'guy spent best part year obama birth hypocrisi conserv seem',NOT
'think',NOT
'cant believ invent control',NOT
'maga thumbs_up keep america great thumbs_up',NOT
'small need someon clear beach',NOT
'california creepi fake driver tri follow woman home # maga # kag # california # # #',OFF
'kiss princ bought $ lost place world troll love',NOT
'cours',NOT
'head flick take critic weak incompet authoritarian',OFF
'know good well tri explain control militari base proof grab law wont shit look fort hood',OFF
'horseshit ',NOT
'care noth conserv kind terribl partnership true leadership negoti need irish border harden result live lost',NOT
'beto control stand',NOT
'wonder fals flag expect # greatawaken # qanon # # maga',NOT
'# # # # give # socialist heaven # bbc # # lbc # labour # # # usa # venezuela',NOT
'manafort street long time know thing deep dark thing agre gon na burn folk mueller alreadi know want manafort gon na give',OFF
'think mayb littl research buddi',OFF
'rino speak frequent critic trump polici call trump handl issu rang control think quit dont # foxnew',NOT
'lucki peopl need share fellow levi jean anoth reason love levi',NOT
'bang statu liberti left gone',NOT
'sorri andrew polici close liber polici dont seem',NOT
'hair want part concept promot use music video thing plan well hand leav part actual say dont listen compani',NOT
'know #',NOT
'sound join # antifa state recent took anti # polic stanc wont sign recogn enforc offic # polic # combat competit excel # # maga # kag # #',NOT
'run team tell',NOT
'dont live impress peopl comfort skin still bring best #',NOT
'# phrase # neveragain order exactli opposit origin stood',NOT
'doubt progress nazi antifa liber democrat',NOT
'dont realli need virtu signal liber wast taxpay dollar invad enough argument',NOT
'altright loser power dont matter mani rightw fund antifa attack altright russian intel fund antifa altright russia onto someth altright',NOT
'arrest everyon antifa block road',NOT
'proud sweet red_heart',NOT
'mean doesnt last forev play contract',NOT
'excel time',NOT
'good list keep go',NOT
'couldnt catch let bitch talkin bitch dirt',OFF
'# polit give kill half profit conserv united_st # kag',NOT
'jame neck deep confirm bia unabl logic reason point',NOT
'death weekend caus gun chicago strict control law',NOT
'instal shitti 100 % second carri 100 % control except violent felon',OFF
'conserv class andi fail insur day',NOT
'must',NOT
'keep good work ignor hater attack good ladi',NOT
'# conserv left # frustrat # congress pass spend bill # tcot',NOT
'dont mess nigga project georg gon na',OFF
'start hit wall shit aint noth wall wood get door',OFF
'# laugh conserv view suddenli outrag support democrat',NOT
'get louder',NOT
'admit 3000 american die watch remind presid',NOT
'fuck ride babi',OFF
'good person turn peopl crime satan made satan wouldnt turn child progress pope think',NOT
'christian abort consid abort murder chelsea doesnt christian & amp probabl doesnt even church',NOT
'funni never heard speak antifa time denounc',NOT
'alex',NOT
'use program',NOT
'seen former democrat fight presid much know youv corrupt guilti abus power time presidenti cabinet',OFF
'# tori # labour # ge2017 # conserv conserv theresa_may three fantast conserv candid mayor london proud advoc london',NOT
'hope',NOT
'read titl alreadi know what come support common sens solut reduc violenc violenc differ violenc firearm common sens control chicago london',OFF
'somebodi someth show suck anymor design good though #',OFF
'# peoplesvot # stopbrexit # remain dont want either know leav go use better stay useless',OFF
'know best back team keep head',NOT
'mayb antifa race & amp slam dildo other butt',OFF
'yeah immatur & amp critic cri block instead accept cool folk mostli',OFF
'make think liber noth liber peopl spent insult liber publicli humili black activist openli attack deal liber part pass polici',OFF
'fuck theyr tri look somehow deserv shot',OFF
'claim assault rape polit weapon',NOT
'come beta liber lmao mute',OFF
'suck live life full bullshit rule got ta suck surviv',OFF
'connect crap twitter forc conserv',OFF
'aint shit done today',OFF
'typic violent antifa stalk california caus',NOT
'# # know well # scotu # document lifetim excel dont puppet obstruct # maga & amp # kag # confirmkavanaughnow # maga # kag',NOT
'law conserv unpopular group media women long fail women feminist movement bill clinton kennedi',NOT
'well rememb cop stood watch antifa thug arm & amp spray attack trump ralli goer follow order that soldier & amp cop soldier follow order & amp cop protect paycheck',OFF
'# noth lefti media peopl made sure hill taken even conserv remov thatcher leader almost sign even deeper extrem hostil commi',OFF
'total fair time happen serena import grand slam match slam shed emot shoe everi match expect clear she handl nerv well anymor match',NOT
'hope well that fuck serious fuck wrong control issu though right thank live canada feel brutal attack serious wont away',OFF
'twist talk exhibit feinstein insist kavanaugh answer handl specif case seem rule import fish specif answer',NOT
'follow patriot pleas',NOT
'that depress good church get hard find know peopl belong church control abort that polit christ',OFF
'ouch hurt well anyway',NOT
'good middle_fing',OFF
'good take page book hire high power woman leadership role good leader # potus45 mayb # wouldnt posit # # metoo # maga',NOT
'liber game',NOT
'wonder burn levi come favor control levi team control group stand silent',OFF
'good shit though',OFF
'jack cover googl basic scratch other back sell globalist agenda peopl rare fake news media',NOT
'# conserv excel run debt special interest',NOT
'dont leav well without know much better thing',NOT
'dont anyth toward cousin puerto rican answer puerto rican none blame aint play mayor puerto rico govern',NOT
'immedi anyon get line talk guarante everyon behav',NOT
'pope',NOT
'that terrifi know drop report seen say doesnt mean shit storm look pictur thing realiz fuck beast',OFF
'turn human human candi form mayb care maga',OFF
'thousand thousand video youtub alon antifa attack peopl trump ralli republican event happen anywher democrat scale peopl cover',OFF
'mess europ exampl give liber anyth govern alway end disast your welcom',NOT
'antifa canada demand govern meet',NOT
'boycott continu thumbs_up',NOT
'mood',NOT
'shit creat',OFF
'mayb stop attack conserv might find dont',OFF
'cant wait till antifa shot tri',NOT
'that realli hard hit stuff parti along bought auster rich poor sick disabl still feel wont tori media',NOT
'think leav joke spend time connect disconnect',NOT
'know brown shirt govern antifa protect receiv polic shown german polic seem',NOT
'aw never much anyway grown act bulli best mark maga united_st',OFF
'award head nazi antifa violenc movement',OFF
'declar antifa terrorist organ start collect name professor involv',NOT
'understand need europ right',NOT
'anoth republican hater amaz liber dont republican money money_bag colin your fire face_with_tears_of_joy face_with_tears_of_joy # #',NOT
'rememb cours doesnt make goe help ” therapist other believ stori mayb get rememb detail ” # liber',NOT
'better anyon',NOT
'speak truth # loui farrakhan rage antisemit & amp racist',OFF
'need long look mirror',NOT
'kingggg ',NOT
'beauti dem invent nuclear option next time liber scotu conserv know',NOT
'love clearli percept smart best play game play hard andi said',NOT
'aint fuck today',OFF
'say dem hous seat # tcot # maga # rednationris',NOT
'ironi murder done illeg gang member affect latino black famili problem control problem judg violent offend back street shoot someon',OFF
'ask question phoni still play tri save face obviou fake stupid peopl',OFF
'sister remind brat much happi without see',OFF
'look porn star #',OFF
'corrupt charg problem',OFF
'came back',NOT
'dont think stuff happen car shit happen everyon mindset deal possibl issu cant spend whole life worri someth like wont happen life thing haha',OFF
'# professor shot self trump say control actual goal # ar15',NOT
'except administr allow crime citi bloodi leftist snake',OFF
'conserv peopl',NOT
'burt man none',NOT
'everyon total back serena today total valid action handl grace charact sorri experi feel respect grown beyond tenni world two_heart',NOT
'trial exactli point oblig present evid present differ environ',NOT
'bring back author prime rate stabl growth & amp incom',NOT
'# human right crisi accus fail protect citizen violenc',NOT
'know guy scare antifa',NOT
'theyd fire came support trump twitter probabl releas address pedo name',NOT
'that situat either got ta appreci consid fact actual like impress mean aint',NOT
'love eagl famili',NOT
'love #',NOT
'agre antifa total worm fact worm',NOT
'disgust go take whole church',NOT
'obama devil incarn & amp trump jesu christ come',OFF
'notic actual good speaker good reader',NOT
'dear paul lost presid captain burn hell',OFF
'right choic public educ right choic right time orang counti american',NOT
'liber number money conserv smoke alon get beat insid hour',OFF
'sure bout antifa notion open societi inform motiv fine allow shape world long core philosophi isnt incorrect',NOT
'tweet fraud half american import issu falsehood control question indic bias toward control deliber know propaganda',OFF
'100 % follow back conserv must stand unit # # maga2kag united_st',NOT
'isnt',OFF
'good # nfl better quit starter leagu better & amp string leagu # #',NOT
'tri work still get everyth done',NOT
'doesnt state israel exactli friend come differ friend',NOT
'anyon realiz chuck tri blue twitter account weather decept peopl know parti associ',NOT
'mayb start check year wouldnt mani bloodi liber parti',NOT
'rest cant anoth humili pakistan #',NOT
'think dont think american divid group along social issu ( conserv liber ) probabl dont labor parti parti truli labor ident',NOT
'deal made control amend right deal away',NOT
'love she will someon liber insan',NOT
'antifa',NOT
'cri babi',NOT
'legal india adult women sign dont need person india vatican & amp ireland ban church abort even rape',NOT
'skull face_with_tears_of_joy face_with_tears_of_joy give',NOT
'world dream drug',NOT
'need action instead turn blind occur shame behaviour organis bulli word ignor part problem leadership parti cultur',NOT
'trump alert system action # trump2020 # trump2020 # maga',NOT
'work absolut one fuck',OFF
'# metoo # resist # blm # antifa # kaepernick noth fals outrag',NOT
'',NOT
'anoth pile former',NOT
'suppos monday',NOT
'first regress',NOT
'servic answer none specif wast elimin without answer commit noth polit',NOT
'trail corrupt much go time dont want slip dont want american peopl know realli theyv # maga',OFF
'follow nice know liber florida move surround',NOT
'twitter liber',NOT
'great',NOT
'burt first call mega star',NOT
'peopl antifa vote lib assault she lie dont care maga',NOT
'crap come excus come lawyer lefti liber commit time assist help crimin excus mate commit crime hard long',NOT
'your interest make tweet think split second',NOT
'dont health care better lazi look better insur',NOT
'that fuck there open everi period skip there dollar fine lmaooo',OFF
'believ control consist guard firearm kid',OFF
'fake bake twin',NOT
'miss bitch',OFF
'economi boom high question # maga cult make car half doubl cost fill tank make fuck sens # tuesdaythought',NOT
'worker slaughter winchest pumpact shotgun call control research uneth',NOT
'good busi',NOT
'liber sell liber probabl line look privat sector handout money tie dont care look health educ next',OFF
'set record trump investig comey carter # tcot # maga # rednationris',NOT
'blow blow lmao',OFF
'quit',OFF
'yeah well dont deserv free funni start slave end want sure thank dem creat antifa contribut fabric american polit',NOT
'dear fascism # walkaway democrat antifa democrat fascist america hate differ color hood parti hate',OFF
'black panther well thrill first control list nigger touch gun penalti death glad control never reduct violenc enforc tyranni',NOT
'happi kind cancer stage diagnos 2016 pass away pass kick 2015 awesom',NOT
'pretti much state believ control aspect gun arent problem peopl shouldnt gun draw line prevent “ crazi ” peopl shoot crowd sure dont answer',NOT
'dont address never',NOT
'disagre antifa',NOT
'look liber tri hide truth',NOT
'mayb support pill abort comput email seem work pretti well come store soon pill includ free hammer well',NOT
'reach teach & amp research class & amp & amp great ethic',NOT
'face_with_tears_of_joy better work real',NOT
'isi appar obama world get nuke korea destroy citi antifa',OFF
'know fact control work proven work cant find reinforc argument law',NOT
'sit room make drink shoulder rais indic walk start make drink well know made thing',NOT
'feel happen librari except argu fine dont appreci think favor librari famili huge fine multipl pictur book write check',NOT
'couldnt agre conserv need countri back # maga',NOT
'listen gener speech read deal # wwg1wga # maga # therainmak # qanon # qarmi',NOT
'point dont know make food joke actual eat',NOT
'cute',NOT
'disrespect offic stand',NOT
'help bank boost balanc sheet post crash imagin ( mayb more ) current hous price part bank packag',NOT
'# still receiv half billion dollar year # # abort anoth form # slaveri # # prolif # ccot # rednationris # teaparti # conserv # maga dont # # teaparti # pjnet',NOT
'lier christin ford soro pay well lawyer wont work know shame',OFF
'love activ twitter forev shine dislik dont event know dislik anyth',NOT
'pure shot creator dont need game thrive shot creator known drain ( and green ) contest shit',NOT
'use peopl advanc #',NOT
'& gt & gt [ [ she look babi make wonder kind busi couch look approv know right includ busi ] ]',NOT
'prefer speak',NOT
'beaming_face_with_smiling_ey damn look better winking_fac rolling_on_the_floor_laugh smiling_face_with_sunglass',OFF
'adult room might thing done happen liber credit doug blame stick nose',NOT
'dont understand soro isnt arrest domest terror fund antifa',NOT
'nonsens ford campaign damn fine good politician keep promis push thing thru done conserv parti plenti repres quit well',NOT
'settl never juri never know truth mayb grab first spit realli stupid grab either doubt know complet truth',OFF
'afraid trump tough liber',NOT
'congratul deserv nice treat hard work everi keep inform know boy appreci',NOT
'smiling_fac tri smart though face_with_tears_of_joy',NOT
'spoil entitl head realli scream feminist',NOT
'well figur kinda blew weekend regard command act run whole water mighti musical_not',NOT
'realli thought',NOT
'high school student murder dalla centuri arm rifl call control research uneth',NOT
'long time kill unborn',NOT
'seem true least damag trump done quickli',NOT
'collin kavanaugh alleg came late # tcot # maga # rednationris',NOT
'phone allow',NOT
'gotten well suck sometim write littl script your alon',NOT
'allow foreign sovereign nation lost # # constitutionday # maga #',NOT
'fuck',OFF
'glad career ruin deserv ruin done celebr doesnt mean excus doesnt mean',OFF
'maga face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',NOT
'last relev #',NOT
'comparison angri antifa activ doesnt get spray',NOT
'silli unhing liber',OFF
'restrict ammo infring upon right bear arm women abort restrict week pregnanc must regist easi test control law appli right theyd support',OFF
'list murder want grow',NOT
'surpris theyr conserv gener lack empathi peopl arent',NOT
'group wear maga hat nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac hate school',OFF
'there equival side conserv controversi divis refus acknowledg basic fact biggest futur',NOT
'come lie done thing control open eye obama hero year offic suck around last minut vote',OFF
'tell context much overal network gone period',NOT
'nigga still gon na complain',OFF
'obsess christ homosexu',OFF
'return milk ‘ thought tori sink lower',NOT
'well hello',NOT
'well stop democrat stop use victim school shoot control agenda',OFF
'commun name modern lost saniti reflect support looni woman',OFF
'chamber wont tie hand control think charg everyth',NOT
'becom find chang',NOT
'year mate',NOT
'attent lefti demand control shooter left wing dont shoot creat violent demand normal peopl disarm',OFF
'enemi peopl',OFF
'death inspir internet bill right prevent leftist peopl base polit belief western civil totalitarian state control nearli aspect life',OFF
'moron trudeau lie liber valu test favourit ford tri save taxpay money mayb that',OFF
'know smiling_face_with_smiling_ey',NOT
'cute',NOT
'bill happen peopl speak potu control',OFF
'desper white hous shut investig straight obama biden',NOT
'peopl shock major govern govern fact life check liber current feder hello',NOT
'stand doubl # # maga',NOT
'guy game game humbl everyon inconsist year game miss long field pass flip game',NOT
'thank gone & amp hope good',NOT
'surpris nigga payrol',OFF
'fuck chat ‘ boy',OFF
'ridicul comment liber make govern work conserv along idea less govern alway better unless socialist time govern pass lose money liberti',OFF
'compar date rape disgust hope famili never deal rape disgust',OFF
'fear lose monopoli statu correct answer',NOT
'still commi antifa',NOT
'beauti',NOT
'liber addict fake news chri dope',OFF
'fast furiou crimin behind bar',OFF
'fuck love',NOT
'fake',NOT
'sure pope first name basi satan disgrac',OFF
'antifa bro today say much hate hate',NOT
'hear someth say drink supposedli school tale limit move girl accus everyth think rape prosecut impli lie',OFF
'crybabi didnt 2016 elect',NOT
'confess pregnant child second year tomorrow',NOT
'give year hang marri',NOT
'presid absolut worst back',NOT
'dont understand heard heard pictur # left middl # badli damag # california # # kavanaugh # maga',NOT
'that antifa girl',NOT
'network liber facebook back firm # cnn # # # # # # # # tcot # # maga # # # boston # baltimor # # chicago # # denver # # # dalla # atlanta',NOT
'wouldnt brave mean',NOT
'shit',OFF
'year lie & amp claim seen peopl celebr year build year said mani friend die attend year today',NOT
'typic interest base focu around someth rather someth good directli heal thing imagin antifa call',NOT
'poor need attent attack presid support said job letter word prosper guess deliv',NOT
'twitter clear leftist agenda seen comment conserv ask leftist shit feed didnt dont want stop tri push',OFF
'run offens everi year & amp still fire concern talent player dont play balanc cant face 24/7',NOT
'right person pictur tweet decenc deserv honor serv america resign immedi',NOT
'girl bomb smiling_face_with_heartey',NOT
'think overlook fact democrat hous congress presid noth control work well drug',NOT
'digit realiti go enter fight & gt human digit hollywood fals realiti',NOT
'cant figur took long # constitutionday almost leader oppos constitut # maga # qanon',NOT
'hope paid imag appropri cours',NOT
'creepi',OFF
'trash hurt trump',OFF
'liber need better troll call someon liar lose resort grade',NOT
