@relation Train
@attribute word_tokenize string
@attribute subtask_b {UNT,TIN}
@data
'disgust',UNT
'cant snake live feed',TIN
'meet face face wont speak much longer person somebodi teach find hard ugli insid',TIN
'bono away sick',TIN
'realli anoth holi crap brought liber',TIN
'european moron elect peopl',TIN
'“ law order ” presid realli hate enforc # maga',TIN
'put',TIN
'queen pull feel sorri card ‘ work break',TIN
'chicago strict control law highest violenc rate owen union bankrupt second highest rate capit develop world',TIN
'screw tight stop ride',TIN
'time canadian liber trade deal month vote liber make line make sens trump abl secur trade deal around world canada obviou anyon brain failur trudeau fail',TIN
'aint miss shit',UNT
'glad make yall say stupid shit aint tri dumb lmao',UNT
'hurt check',TIN
'guy known pure',TIN
'woman talk stupid becom # # liber',TIN
'fine young dead stupid reason come control solut yall mani innoc peopl kill pouting_fac pouting_fac stop',TIN
'wrong mani level wish point receiv liber full hate unfortun idiot',TIN
'hollywood pack pedophil',TIN
'use make real statement peopl teach kid',TIN
'conserv believ person color guilti crime deni right kill conserv question kill',TIN
'dont talk shit law',TIN
'holder pervert view surpris democrat',TIN
'shit',UNT
'learn peopl dont care think polit read line entertain keep stupid fake home # maga #',TIN
'somebodi pleas back coffin',TIN
'theyr still number fake news network',TIN
'fuck',TIN
'leader brain dead sheep time turn back',TIN
'# hypocrisi call conserv call suppos sexual everi sexual polit scandal memori involv republican realli # # # kavanaugh # # # # #',TIN
'fuck reason post expos show cant believ everyon commun',TIN
'shut fuck bigger dont shit',TIN
'vote # democrat & amp let mani murder # conserv #',TIN
'never get want know give right wasnt money relat peopl paid',TIN
'sound your fascist',UNT
'how feel want first time feel kept year dont know',UNT
'slave',TIN
'tell decid meme bias human that # # # meme # qanon # maga',TIN
'still spew good lick presid death liar',TIN
'obama trade trump tell truth stupid leader trump bless trump # maga # kag ( full answer',TIN
'control unconstitut leftist fake news traitor keep lie peopl that enemi peopl',TIN
'must drive liber crazi',TIN
'democrat bastard',TIN
'flake search relev rino fill hatr potu # despic behavior',TIN
'dement',TIN
'read whole thread guy think media social media sure mess head rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh',TIN
'never want deal becom lunat #',TIN
'ball court',TIN
'know your peopl make small trump support liber support terrorist ( group antifa',TIN
'never forget level racist liber went thoma liber worst peopl',TIN
'fuck happen',TIN
'idea speech law control kill babi think entitl free healthcar rich money',UNT
'dont know said arent liber mean conserv sound upset matter doesnt matter deni theyr there straight coupl',TIN
'jail kind # prosecut # church get away pedo crime hell hold #',TIN
'pope compar pope fals prophet',TIN
'clueless disgust look everi thing know',TIN
'fake',UNT
'haha yeah funni communist liber destroy want venezuela china north perhap perfect countri instead desper tri found father die freedom blood communist',TIN
'# that enemi peopl # fakenew polit oppon hide crime # liber #',TIN
'girl long hair realiz year great today peopl wonder love leg show grew',TIN
'someon pleas call control cant stop shoot foot',TIN
'lost disgust behavior',TIN
'terrorist antifa farrakhan hate racist thug crimin black panther group place either',TIN
'sing liber bullshit song fact usual',TIN
'tri shit work first time',TIN
'conserv think look lmao',TIN
'butt think know',TIN
'ignor fool becom forgot ignor obama current white hous learn ignor idiot presid unit state think presid leav countri hell',TIN
'editor isnt editor boss editor wasnt respons shouldnt argu stupid',TIN
'# pleas tell someth help home broken caus she hospit broken loudly_crying_fac loudly_crying_fac loudly_crying_fac loudly_crying_fac',TIN
'part fraud pull togeth',TIN
'vote butt right offic # part problem america part solut idea # trick work time # # kag # confirmkavanaugh # # maga',TIN
'# person respons drunk boy boy drunk # republican # conserv # kavanaugh',TIN
'damn right think differ part problem countri thank presid put # america # first instead put ahead american',TIN
'bitch life eye',TIN
'trash along even',TIN
'peopl fascist tactic fascist that antifa want start post video antifa riot',TIN
'concern democrat disgust behavior disrespect countri constitut unit state violat oath citizen constitut',TIN
'fuck forgot pant know know',TIN
'hypocrit privat around world',TIN
'absolut wors period',TIN
'famili arent maga dont care theyr apart distract cultur complet zero idea go world tell & amp even dont care',TIN
'lose even arent shove face okay',TIN
'said pay want sever said come',TIN
'# california tri violenc bullet control',UNT
'stupid scare averag american make decis',TIN
'bitch shut announc back get reveal # get fact straight',TIN
'liber',TIN
'trudeau liber incompet handl',TIN
'real goal make everyon dumb',TIN
'iron thing close right even agre look thread asshol post thing defens fuck shit',TIN
'laugh face almost piss pant stand besid mind busi',UNT
'shit face_with_tears_of_joy face_with_tears_of_joy',TIN
'cross mind israel order stand democrat tragedi public promot control shame thing even came mind seen much left surpris anyth',TIN
'heard cock',TIN
'keep say differ shit peopl comment said',TIN
'fascist left everywher must crush boycott work folk',UNT
'# illinoi # chicago strictest control gang drug kill field',UNT
'word # mueller word # mueller',TIN
'# show absolut idea problem face moder isnt answer right parrot dead',TIN
'probabl fuck',TIN
'ruin shit',TIN
'look # maga # walkaway',TIN
'( fast furiou ) held contempt',TIN
'told matter much life keep',TIN
'delusion think reason either game lost past season lmao',UNT
'meant shit',UNT
'liar #',TIN
'total',TIN
'democrat cant even compet # maga',TIN
'monster',TIN
'say guilti happen innoc guilti innoc least tweet apolog shut answer tweet',TIN
'satan daughter',TIN
'inform fulli investig consid get life time high court appoint conserv refus even give obama person hear pleas stop act play board everyon goe',UNT
'bore individu seem good',TIN
'actual long anyon even nativ american first fact straight wan na throw punch make sure know throw first',TIN
'pile_of_poo help besid hope high bodi count blame trump',TIN
'stupid tweet rolling_on_the_floor_laugh rolling_on_the_floor_laugh pile_of_poo',TIN
'conserv polic fund person complain crime person vote conserv crime',UNT
'probabl sister care',TIN
'eric holder arm jail slip',TIN
'shit',TIN
'# # # # anoth # republican trump swamp lier # maga # women # christian',TIN
'victim anoth desper weirdo',TIN
'back',TIN
'fuck nigga',TIN
'threaten american citizen kill women arrest',TIN
'need shut ugli hole face think fact she give kavanaugh famili benefit right citizen head theyr guilti theyr conserv need around decent peopl',TIN
'mueller crook long',TIN
'peopl leav racist comment post block follow account post crap think tri make # maga look racist feel free block think your ignor',TIN
'antifa upset “ ” antifa group & amp threaten peopl home',TIN
'argument # kavanaugh constitut democrat start civil clinton propaganda obama scare anim back antifa & amp ms13',TIN
'qanon antifa list',TIN
'dont even know liber feel think liber person oppos abort person oppos impos person feel abort anyon favor stfu',UNT
'love aint never gon na stop love',TIN
'broke ( ( ( ( better run sleep she lie run feet go kick',TIN
'usual doesnt clue kid must make shit take crap consist',TIN
'opportunist evil lier',UNT
'asshol libtard',TIN
'right puerto rico fraud',TIN
'watch play rare get first attempt defens worth hold',TIN
'nope go miss sorri',TIN
'that crazi stori wrong apart there number door wouldnt notic soon walk aint shit',TIN
'silli know go white hous mental stage',TIN
'gon na make fuck time blame',TIN
'well said must true handl cuba hurrican piec someth',TIN
'suck woman_facepalm',TIN
'shit alreadi',UNT
'mean parasit sens privat compani impos public servic peopl profit public opinion democraci',TIN
'credibl believ wors either gordon brown 2018 cook',TIN
'sorri',TIN
'dreg societi isi antifa plan liber democrat support accus other biden guilti',TIN
'listen juan william drive crazi ignor fact thank water ladi',TIN
'that call black liber noth bulli trump',TIN
'fascist version antifa',TIN
'round control whine hand still shake tell judg real world millionair idea real world #',TIN
'shit',UNT
'troll glad went away trump support told thank real go actual fight everyon matter choos vote isnt awesom pleas join need help',TIN
'need control',TIN
'prove claim expos lie piec shit',TIN
'much figur type attent grab boss wan na peopl worth live minut prime time cover life lord follow dont care',TIN
'dont disrespect definit shit back dollar loudly_crying_fac',TIN
'dumbest thing',UNT
'never heard thank shit canada polic histori conserv',TIN
'imagin ford member minor antifa judg #',TIN
'dillusion ',UNT
'',TIN
'goodel worst thing sport useless',TIN
'none fuck good',TIN
'littl',UNT
'stop_sign news stop_sign deal anoth blow democrat kavanaugh # #',TIN
'awesom love hear destroy liber trudeau',TIN
'come back movi worth caus shit show intellig',TIN
'derang dement perfect match democrat parti',TIN
'favorit actor connect kiss',TIN
'liber full hate talk moral anyon think differ funni word action never match pretend preach human decenc emot polit bankrupt',TIN
'divid self name ” demon mark loss freedom # # # # antifa # # # # # # # # prayer # hope',TIN
'found name forgot',TIN
'# happen predict fall societi religi conserv right one run govern',TIN
'berni congress long get closer death dirt concern mani bill write endors decid potu tell',TIN
'face_with_tears_of_joy nigga well',TIN
'‘ antifa crowd',TIN
'thank save peopl asshol',TIN
'crazi funni use funni crazi becom',TIN
'keep good work liber wast time cri point countri move closer great maga',TIN
'comment show refus fact fascist antifa person attack bulli research project stop look stupid',TIN
'voter better wake hell # poll find # voter arent worri midterm that # maga #',TIN
'cant accus someon someth & amp expect come forward & amp testifi suppos believ & amp sure liber think',TIN
'okay shit got ta face_with_tears_of_joy',TIN
'fool democrat doesnt make look make look ignor level fool',TIN
'mouth goe side shit dont',TIN
'liber progress realli dumb',TIN
'bitch* ',TIN
'aint loudly_crying_fac grinning_squinting_fac',TIN
'bitch',TIN
'ignor shame peopl deep think lack vote',TIN
'holi shit that awesom',TIN
'willi hurt respons former fan quit support littl # maga',TIN
'problem cant intellig debat issu want prove point norm question comment point counter comment instead left silenc show lack',TIN
'know right piss busi give credit scare death dont trust',TIN
'evil dare',TIN
'think idiot liber',TIN
'fact disrespect rude noth',TIN
'',UNT
'sure hell',TIN
'exactli tweet well make liber insan folded_hand united_st red_heart latin_cross red_heart united_st folded_hand help folded_hand red_heart latin_cross latin_cross red_heart folded_hand',TIN
'guess',TIN
'make use buri head',TIN
'peopl die offici rob didnt job',TIN
'coward answer question post conserv israel post posit fact counter canadian media help liber trudeau assault conserv israel either ignor liar',TIN
'heard lie jealou croni',TIN
'lmao peopl talk much shit yesterday comment stan twitter joke',UNT
'instead maga thinking_fac thinking_fac # #',TIN
'dont destroy crime famili well face mani obama',TIN
'hell',TIN
'lucki bitch face_with_tears_of_joy skull',TIN
'mayb wouldnt thing littl sensibl control fuck countri',TIN
'think',UNT
'# start must number ( zero ) mean socal refuge terrorist sexual crimin must stop coward return nativ land fight # maga #',TIN
'aint part face_with_tears_of_joy check pussi hood still dont word caus littl educ way describ brother friend feel though mani peopl go left',TIN
'speak best best utter disrespect enforc agent first respond middl high class race religion disagre # train punk # biden dirti hand',TIN
'awesom truli believ american sick death left tri destroy america chang countri never vote america maga thank presid trump believ countri keep promis',TIN
'call conserv that origin funni mani “ poor ” tweet incom time higher suck',TIN
'sick work',TIN
'gon na need whole rant thread done realli feel haha',TIN
'look europ chang europ muslim pleas watch video titl muslim scare death unless muslim love islam mind african america',TIN
'moment thought death sound fuck sick first',TIN
'thought california control',TIN
'consid fact russia might use antifa spread black propaganda rememb wall',TIN
'environ societi keep roll much # vote shit hang head shame # # poverti #',TIN
'poor refuge violenc antifa must nice live',TIN
'shit',UNT
'probabl wrote togeth piss',TIN
'she troll fuck caus yall quick call minor',TIN
'hate much fuck whole',TIN
'go destroy america done mani busi care middl america american care hope light soon countri sell',TIN
'dont offens tweet call bitch truli shock train year',TIN
'miss number',TIN
'hasnt flake left dare peopl hang without evid word memori shut fast',TIN
'# select outrag conserv liber want know moral kavanaugh repub stand',TIN
'damn suck',UNT
'prove # # feminist cancer american republ',TIN
'communist state control much # antifa love countri peopl support enough said twitter stream',TIN
'fulli support antifa give money white nation cancer societi illeg war issu white nationalist lost done discuss',TIN
'cant sheep follow along fake news everyon think antifa',TIN
'hypocrit support control & amp protect kid show kid realli support abort what differ kill',TIN
'liber never convinc becom lazi entitl victim keep tri feel sorri rais someon',TIN
'first movi globalist give enough make believ theyr truth unless educ',TIN
'time credit afford phone without second mayb next time even though hate screw',TIN
'that career media peopl think your piec shit wont make',TIN
'disgrac',TIN
'jealou',TIN
'damn mind band took test hire lawyer last month accus judg crime year proof ruin man life accus proof stfu',TIN
'guess chicago kid shit everi strictest control around',TIN
'polic first right unfortun say thing public other even unfortun say thing say public extrem public figur use platform',TIN
'social implement effect stop measur civil know behind control becom clear clear pictur process read radic',TIN
'realli think mental famili address issu mayb ope',TIN
'still fuck respect',TIN
'holi shit brainwash',TIN
'jeff antifa terrorist organ',TIN
'yeah back world handl shit',TIN
'honestli surpris come school notic accus stupid stuff dont',TIN
'neither antifa black live matter soro fund group',TIN
'support trump',TIN
'fuck hate',TIN
'name right make peopl think right wing antifa fascist realli black live dont matter',TIN
'mass shooter liber white liber control control',TIN
'that major friend second year point blow receiv move whole countri hasnt studi hate appar babi',TIN
'disgrac home presid anymor break former presid step longer obama countri countri belong peopl sheepl # maga',TIN
'pleas dont elect fake conserv bought & amp paid soro money mani uneth thing person histori',TIN
'socialist democrat wack liber stupid',TIN
'know anoth liber corrupt',TIN
'dont consid porn star',TIN
'bank happen gordon brown chang announc ( not ) includ independ bank remov version histori',UNT
'hope probabl biggest crowd racist bigot countri back antifa',UNT
'monkey use centuri black peopl none anyth economi world billion everyth say nonsens leav',TIN
'good evil thing happen america globalist world leader money believ evil good good evil read good book time',TIN
'antifa your',TIN
'crazi caus believ happen oncoming_fist',TIN
'shit final found',TIN
'conserv follow fascist',TIN
'goodel worst sport time histori',TIN
'listen dont give shit fan think theyr count money',TIN
'made last night kavanaugh child attent eye rant embarrass countri',TIN
'good fire fuck still listen ( joke shit )',UNT
'# boycot nasti work',TIN
'straight want hold confirm hear hear said said ford sign paper trump case illeg everi woman state honor vote',TIN
'hillari support racist liber',TIN
'noth crybabi liber didnt want theyv throw tantrum year',UNT
'shit trigger bigot',UNT
'lock sorri',TIN
'need hunt canada spread place civil societi rifl control associ behind support liber name safeti kid gun',TIN
'bunch liber dress mock trump ” except dress sound dem tri lynch kavanaugh # polit #',TIN
'bull $ hit keep come expect accept alleg face valu left swamp need offend # confirmkavanaugh # maga',TIN
'look fuck',UNT
'trump voter get realli crazi maga',TIN
'trump maga',TIN
'tomorrow night drop make sure rob fraud',TIN
'whole joke origin tweet fuckin',UNT
'yeah second call ( ) coach scumbag histori know anyth histori know kind scumbag stori goe',TIN
'well there idiot keep think show mirror everi walk night search fill empti heart & amp soul use mention lot conserv come mind',TIN
'doubt greatest femal sore loser',TIN
'littl appreci post she bitch thank',TIN
'bull shit know',TIN
'love peni want keep rather smoke',UNT
'flea ',TIN
'coward realli right disappoint day number parti',TIN
'deal mexico trade trade deal dont need want control deal climat deal',UNT
'tell',UNT
'tough crap fals accus well hurt democrat lie fals accus bias govern agenc bias media antifa bulli',TIN
'say labour parti hatr impli hate parti conserv less hate claim tori',TIN
'united_st think collin stupid coward & bulli conserv live pleas vote kavanaugh care rest',TIN
'make skin look woman theresa nation must remov',TIN
'took word mouth horribl',TIN
'suck',TIN
'offer shitti brown that stop think still good live past',TIN
'good day conserv push around bulli democrat never gave good day conserv outrag promis next time yeah that need that healthi lib love',TIN
'# clown_fac idiot rolling_on_the_floor_laugh face_with_tears_of_joy grinning_face_with_sweat appl doesnt fall come lie american peopl # # actual embarrass well daddi mushroom mushroom',TIN
'control mean use hand case mean correct target cant stupid',UNT
'except whole email prove wrong paid million year blame immigr idiot pull gon na away healthcar got ta stupid entertain # maga',TIN
'holder remov jail year',TIN
'control racist',TIN
'use idiot longer need busi bother control busi tri figur elect favor happen face_with_tears_of_joy united_st',TIN
'thought prayer famili mass shoot nation normal countri cant allow normal said truth mass shoot becom normal control certainli help',TIN
'# use # authoritarian tactic media spread lie fals realiti follow smart peopl conserv know theyr plan democraci #',TIN
'wouldnt know damn well probabl call cute peopl propos concert time coupl wrong your fuck concert dont attent',TIN
'buy coupl look class think becom teenag monster',TIN
'spent hour laugh huge nut stupid kind bunch scare antifa pussi anyon bulli even pathet',TIN
'liber never follow promis weve heard coward',TIN
'say hell go someth tweet crap',TIN
'troll open fact',TIN
'that antifa lefti noth violent teacher spent time plan attack honor zero evid reason hold kavanaugh anoth crazi liber',TIN
'million loser',TIN
'year complain final get bitch stop fuck cri',UNT
'live last day',UNT
'say releas info anoth long list hack need pleas keep expos fraud hypocrit # maga # # qanon # win # wwg1wga',TIN
'yesterday happen much control cant prevent bring school',UNT
'offici unemploy number joke million american lost job career unemploy benefit year give job back',TIN
'fuck dope independ voter never vote left parti danger',TIN
'trump anyth relat hurrican pretti sure shit pant right',TIN
'eric holder obama straw corrupt',TIN
'liber ruin life doesnt matter long must stop',TIN
'girl send maga hat',TIN
'say bitch hide behind dont hurt help sometim cant everyth alon fuck clown help someth better noth that ask even cant dont hurt fuck twitter weak nigga',TIN
'incred stupid perhap reason chosen ‘ ‘ trade talk trudeau destroy everyth reason canada allow terrorist destroy canada trudeau',TIN
'horribl that career die',TIN
'lie dont admit date mayb marri true stori polic offic stori excus full shit pleas post photo',TIN
'your jerk attack stand husband your liber want ruin peopl live bash peopl found guilti want money',TIN
'dont say type dumb shit',TIN
'stop nonsens block stupid',TIN
'sick disturb comment prove',TIN
'liber male straight femal',TIN
'judg woman anti right play your disgrac',TIN
'# liber platform none peopl late decad last centuri show desper heard theyr around high school look rumor',TIN
'well sure support lie make fals accus intellig rest liber act',TIN
'alreadi mani fuck shot',UNT
'sure prove daili # maga',TIN
'although think decent without doubt worst presid vote histori worst question',TIN
'sociopath',TIN
'serious word fuck everi time think found word someth even despic & amp disgust best hope stupid lie told serial killer soul',TIN
'support monster biggest traitor modern day polit',TIN
'think bother evil nazi tri presidenti elect kavanaugh anoth evil nazi democrat politician destroy democraci america # walkaway make america great',TIN
'alex mani nation leader well',TIN
'control mean great control',TIN
'liber sick fals lie',TIN
'look move word truth come chanc question agre belong dead dead water couldnt answer without condemn true',TIN
'respons action ignor maxin water & amp other incit violenc consid said abl anyth peac surviv without abl trade',UNT
'lynch ( republican ) black fine rape women liber includ bill clinton',TIN
'realli charg # liber liar',TIN
'thought profil help parti kavanaugh remain anonym like promis parti charg continu play victim lie',TIN
'chicago wont enforc law book murder plan control liber pass strict even gun black matter liber tri pass agenda',TIN
'rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh deep throat',UNT
'“ holi jesu fucken christ ”',TIN
'lie much pay how chines',TIN
'lmao good listen wife bought paid evil propaganda child murder russian agent stick tweet long prison sentenc',TIN
'fuck suck #',TIN
'meet mani mani fan amaz rememb dont bitch',TIN
'bullshit isnt london murder capit europ control work right seriou crime problem mayb care busi home start tweet',TIN
'deplor despic disgust',TIN
'democrat thug',TIN
'never watch panther suck',TIN
'nonsens want theyd forward letter part face leadership challeng challeng',TIN
'anoth get pretti full tell sure',TIN
'someon ask wasnt suppos park well busi busi send school shit',TIN
'antifa quit israel support youll find flag right protest well',TIN
'right posit becom polit result delay desir control year',TIN
'what fail miser hour liber everi minut # refus commit appear peopl lose credibl love face_with_tears_of_joy face_with_tears_of_joy # tcot',TIN
'clear major conserv approv trump dont stupid',TIN
'help woman cant even sentenc mouth',TIN
'# theresa use # polici weak # govern # # # conserv corrupt # # # corrupt',TIN
'sick hope teach',TIN
'killer hous # maga #',TIN
'hollywood full demon democrat',TIN
'dead even offic like news long time',TIN
'remind antifa',TIN
'idiot # biden feel chanc insult conserv support great # dont think crazi',TIN
'liar support talk embarrass last presid went world apolog even',TIN
'everyon say fuck dont know damn thing watch interview man_shrug man_shrug man_shrug',UNT
'much toler left antifa suspect threat doubt attack report',TIN
'took long beast',TIN
'think democrat plan civil liber lunat',TIN
'knock first round shitti decis',TIN
'dress weapon make walk night call drug cartel',TIN
'power woman earth fuck',UNT
'fuck',TIN
'cours young dumb realli brain wouldnt believ social',TIN
'loudly_crying_fac good game nigga work',TIN
'california creepi fake driver tri follow woman home # maga # kag # california # # #',TIN
'head take critic weak incompet authoritarian',TIN
'know good well tri explain control militari base proof grab law wont shit look hood',TIN
'street long time know thing deep thing agre gon na burn folk mueller alreadi know want gon na give',TIN
'think mayb littl research buddi',TIN
'couldnt catch let bitch bitch dirt',TIN
'shitti 100 % second carri 100 % control except violent felon',TIN
'dont mess nigga project georg gon na',UNT
'start hit wall shit aint noth wall get door',TIN
'fuck ride babi',TIN
'seen former democrat fight presid much know youv corrupt guilti abus power time presidenti',TIN
'read titl alreadi know what come support common sens solut reduc violenc violenc differ violenc firearm common sens control chicago london',TIN
'somebodi someth show suck anymor design good though #',TIN
'# # # remain dont want either know leav go use better stay useless',TIN
'mayb antifa race & amp slam dildo other butt',TIN
'yeah immatur & amp critic cri block instead accept cool folk mostli',TIN
'make think liber noth liber peopl spent insult liber black activist openli attack deal liber part pass polici',TIN
'fuck theyr tri look somehow deserv shot',TIN
'come liber lmao mute',TIN
'suck live life full bullshit rule got ta suck surviv',UNT
'connect crap twitter forc conserv',TIN
'aint shit done today',TIN
'well rememb cop watch antifa thug arm & amp attack trump ralli follow order that soldier & amp cop soldier follow order & amp cop protect',TIN
'# noth lefti media peopl made sure hill taken even conserv remov leader almost sign even extrem commi',TIN
'hope well that fuck serious fuck wrong control issu though right thank live canada feel brutal attack serious wont away',TIN
'that depress good church get hard find know peopl belong church control abort that polit christ',TIN
'good',UNT
'wonder burn levi come favor control levi team control group stand silent',TIN
'good shit though',UNT
'that know drop report seen say doesnt mean shit storm look pictur thing realiz fuck beast',UNT
'turn human human form mayb care maga',TIN
'thousand thousand video alon antifa attack peopl trump ralli republican event happen anywher democrat scale peopl cover',TIN
'shit creat',TIN
'mayb stop attack conserv might find dont',TIN
'aw never much anyway grown act bulli best mark maga united_st',TIN
'award head nazi antifa violenc movement',UNT
'speak truth # loui farrakhan antisemit & amp racist',TIN
'aint fuck today',UNT
'murder done illeg gang member affect latino black famili problem control problem judg violent offend back street shoot someon',TIN
'ask question phoni still play tri save face obviou fake stupid peopl',TIN
'sister remind brat much happi without see',TIN
'look porn star #',TIN
'corrupt charg problem',TIN
'dont think stuff happen shit happen everyon deal possibl issu cant spend whole life worri someth like wont happen life thing haha',UNT
'except administr allow crime citi bloodi leftist snake',TIN
'obama devil & amp trump jesu christ come',TIN
'dear paul lost presid burn hell',TIN
'liber number money conserv smoke alon get beat insid hour',TIN
'tweet fraud half american import issu control question bias toward control deliber know propaganda',TIN
'isnt',TIN
'work absolut one fuck',TIN
'corrupt much go time dont want slip dont want american peopl know realli theyv # maga',TIN
'that fuck there open everi period there dollar fine lmaooo',UNT
'believ control consist firearm kid',UNT
'miss bitch',TIN
'liber sell liber probabl line look privat money dont care look health educ next',TIN
'blow blow lmao',TIN
'quit',UNT
'dear fascism # walkaway democrat antifa democrat fascist america hate differ color hood parti hate',TIN
'isi appar obama world get destroy citi antifa',TIN
'lier ford soro pay well lawyer wont work know shame',TIN
'beaming_face_with_smiling_ey damn look better winking_fac rolling_on_the_floor_laugh smiling_face_with_sunglass',UNT
'settl never never know truth mayb grab first spit realli stupid grab either doubt know complet truth',TIN
'fuck',UNT
'glad career ruin deserv ruin done celebr doesnt mean excus doesnt mean',TIN
'silli unhing liber',TIN
'restrict ammo upon right arm women abort restrict week must easi test control law appli right theyd support',TIN
'group wear maga hat nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac nauseated_fac hate school',TIN
'come lie done thing control open eye obama hero year offic suck around last minut vote',TIN
'nigga still gon na complain',TIN
'obsess christ',TIN
'well stop democrat stop use victim school shoot control agenda',TIN
'commun name modern lost reflect support woman',TIN
'attent lefti demand control shooter left wing dont shoot creat violent demand normal peopl disarm',TIN
'enemi peopl',TIN
'death internet bill right prevent leftist peopl base polit belief western civil state control nearli life',TIN
'moron trudeau lie liber valu test ford tri save taxpay money mayb that',TIN
'bill happen peopl speak potu control',TIN
'surpris nigga',TIN
'fuck ‘ boy',UNT
'ridicul comment liber make govern work conserv along idea less govern alway better unless socialist time govern pass lose money liberti',TIN
'compar date rape disgust hope famili never deal rape disgust',TIN
'liber addict fake news chri dope',TIN
'fast furiou crimin behind',TIN
'sure pope first name satan disgrac',TIN
'hear someth say drink school limit move girl accus everyth think rape prosecut impli lie',UNT
'shit',TIN
'twitter clear leftist agenda seen comment conserv ask leftist shit feed didnt dont want stop tri push',TIN
'creepi',UNT
'trash hurt trump',TIN
'love woman tell truth everi conserv point peopl realli stupid',TIN
'push control unamused_fac',TIN
'asshol though',UNT
'democrat alway race divid american conserv done color democrat color discuss',TIN
'societi',TIN
'head # liber support stupid think racist open border crime bubbl minut look great countri # maga',TIN
'liber never handl truth make head collis collis collis collis',TIN
'bill deserv theyr love person week love next understand bill theyv ruin',UNT
'mayb drop angri someth funni everyon polit joke dont think',TIN
'bitch brain',TIN
'glad think know kick alway back know best that aw live child experi thing shitti peopl allow near',TIN
'agre probabl white peopl scream offens wish brother wasnt forc twitter armi remov said offens thing teenag',TIN
'dreg societi make sure never presid',TIN
'activist liar want oath wont kavanaugh get nomin',TIN
'good morn follow back let give crazi liber hell',TIN
'pornhub ',UNT
'perhap hous run leader use think friend reveal true intent',TIN
'that talk shit defend mani intellig mind held propaganda read document deep know fund',TIN
'that shitti',TIN
'crook',TIN
'kind need control realli stupid',TIN
'screw hear dream liber think happen trump get remov',TIN
'fuck',UNT
'littl',TIN
'comedian',TIN
'boob forget red_heart',UNT
'“ let selfish come know ”',TIN
'state kid protest amend youth took place young demand govt away liberti name control',TIN
'metoo lynch innoc continu let kavanaugh fraud fight fire fire time male watch stop',TIN
'organ babi profit scream need control violenc children somehow 100 thousand innoc babi everi line pocket',TIN
'empti head whore',TIN
'great wife reason anim exist crazi liber someth complain',TIN
'conserv kill hundr peopl direct result conserv polici figur gordon brown that she steal nation health servic attack',TIN
'notic angri # maga lose vote # maga whine',TIN
'she drunk she tire took sleep silli',TIN
'proven control lead lower death youv chosen ignor accus studi without proof proof use state mention go continu ignor ask',TIN
'anoth plane',UNT
'michael moor face',TIN
'year pathet',TIN
'holder prison',TIN
'even make specif tell control noth stop homicid rate',TIN
'total disgrac name',TIN
'mayb fine peopl dipshit presid talk antifa isnt left theyr fring left anti fascist movement lump left antifa lump right nazi vote',TIN
'# # great',TIN
'maga white peopl',TIN
'dont even know subject side class ( even disagre ) fool beaming_face_with_smiling_ey',TIN
'hell talk still dont know conserv',TIN
'past control board show super cheap',TIN
'evil',UNT
'damn cathol',TIN
'that biggest question away amend left believ limit control worri expect keep give hater',TIN
'she idiot intern think moment',TIN
'trump sound great anoth last remind much rest world hate # maga # wwg1wga # # draintheswamp #',TIN
'close & amp fund peopl live & amp sensibl control attempt defend plan time roll back intellig educ & amp replac teach fuck stupid',TIN
'innoc appli liber guilti your conserv',TIN
'liber mean never wrong liber trump',TIN
'correct group name ( ) case lazi instead winking_fac',UNT
'niggaey ',UNT
'profession liar',TIN
'help doesnt help incom doesnt work poverti time high help doesnt thank noth',TIN
'alway everyon credit everi post fuck funni care she',TIN
'& amp maga scare white make women properti',TIN
'pope satan',TIN
'face_with_rolling_ey realli seriou compar posit nation slave keep prove ignor & amp inabl logic thought # maga',TIN
'stand say vote lie deserv defeat play choic elect anoth',TIN
'shit kill anim mother',TIN
'bull crap',UNT
'agre think hate anyon life feel fact suppos leader make stomach turn lost respect complet back allow',TIN
'look reaction second mark clown',TIN
'help republican parti unhing rant',TIN
'got ta love point venezuela though result social social venezuela control chicago watch round shitti jeopardi know damn thing compet anyway logic trump',UNT
'pay tax crime human right law opinion issu anti sensibl control prevent mental peopl own want',TIN
'video corrupt govern evid go jail # maga # # qanon # #',TIN
'fuck drug test',TIN
'someon never play want tri year back kinda peopl swing bust fuck kinda trash',TIN
'show say alleg rape fault pretend conserv blame victim rape disgust straw',TIN
'antiamerican crap somewher # senat # maga',TIN
'anoth lie liber mani lie libtard expos document liber cheat steal bring countri stop antiamerican idiot socialist movement vote republican novemb trump 2020',TIN
'destroy america women bathroom right child child killer illeg right american think wrong bill someth besid kiss liber ass',TIN
'compar compar corrupt dement lunat',TIN
'bitch',TIN
'liar',TIN
'girl adult convers thin somewher',TIN
