@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'know right busy giving credit scared death dont trust',TIN
'evil',TIN
'think idiot liber',TIN
'fact disrespectful nothing',TIN
'',UNT
'sure hel',TIN
'exactly tweet well making liberals folded_hands united_states red_heart latin_cross red_heart united_states folded_hands help folded_hands red_heart latin_cross latin_cross red_heart',TIN
'guess',TIN
'make useful head',TIN
'people died officials robbed didnt',TIN
'coward answer question posted conservative israel post positive facts counter canadian media helping liberal trudeau assault conservatives israel either ignorant liar',TIN
'heard lying',TIN
'lmao people talking much shit yesterday comment stan twitter jok',UNT
'instead maga thinking_face thinking_face',TIN
'dont destroy crime family well face many obama',TIN
'hell',TIN
'lucky bitch face_with_tears_of_joy skul',TIN
'maybe wouldnt things little sensible control fucking countri',TIN
'think',UNT
'start must numbers means socalled refugees terrorist sexual criminals must stop cowards return native fight #maga',TIN
'aint part face_with_tears_of_joy check hood still dont word cause little educated ways brother friends feel though many people going left',TIN
'speaking best best utter disrespect enforcement first middle high class disagree train punk biden dirty hand',TIN
'awesome truly believe americans sick death left trying destroy america change country never vote america maga thank president trump country',TIN
'calling conservatives thats original funny many tweet times higher suck',TIN
'sick work',TIN
'gonna need whole thread done really feel haha',TIN
'look changing muslim please watch video title muslim scared death unless muslim love mind america',TIN
'moment thought deaths fucked sick first',TIN
'thought california control',TIN
'considering fact russia might using antifa spread black propaganda remember wal',TIN
'environment society keeps much voted shit hang head shame',TIN
'poor violence antifa must nice live',TIN
'shit',UNT
'probably wrote together pissing',TIN
'shes fuck cause yall quick call',TIN
'hate much fucked whole',TIN
'going destroy america done many care middle america americans cares hopefully light soon countries sell',TIN
'dont tweets calling bitch truly shocked train year',TIN
'missing',TIN
'hasnt flake left dare people hang without evidence word memory fast',TIN
'outrage conservatives liberals want know moral kavanaugh stand',TIN
'damn sucks',UNT
'proving cancer american',TIN
'communist state controlled much #antifa love country people support enough said twitter stream',TIN
'fully support antifa give money white cancer society illegal issue white lost done discuss',TIN
'cant sheep follow along fake news everyone think antifa',TIN
'hypocrite support control &amp protecting kids showing kids really support abortion whats difference kil',TIN
'liberals never become lazy entitled victims keep trying feel sorry someone',TIN
'first movie globalist give enough make believe theyre unless',TIN
'times credit phone without second maybe next time even though hate screw',TIN
'thats career media people think youre piece shit wont mak',TIN
'disgrac',TIN
'jealou',TIN
'damn mind band took test lawyer last accusing judge crime years proof ruining mans life accusation proof stfu',TIN
'guess chicago kids shit every strictest control around',TIN
'police first right saying things public others even says things says public extremely public figure using platform',TIN
'socialism stop civil behind control becomes clear clear process reading',TIN
'really think mentally family address issues maybe',TIN
'still fucked',TIN
'holy shit brainwash',TIN
'jeff antifa terrorist organ',TIN
'yeah back world handle shit',TIN
'honestly surprised coming school noticed accuse stupid stuff dont',TIN
'neither antifa black lives matter soros funded group',TIN
'support trump',TIN
'fucking hate',TIN
'name right make people think right wing antifa fascist really black lives dont matt',TIN
'mass liberal white liberal control control',TIN
'thats majority friends second year point blow moving whole country hasnt studies hate apparently babi',TIN
'disgrace home president anymore breaking former president longer obamas country country belongs people #maga',TIN
'please dont elect fake conservative bought &amp paid soros money many things personal histori',TIN
'socialist democratic liberals stupid',TIN
'know another liberals corrupt',TIN
'dont considered porn star',TIN
'bank happened gordon brown changes (not including bank histori',UNT
'hoping probably biggest crowd racist bigots country back antifa',UNT
'used black people none anything economy world everything saying nonsense',TIN
'good evil thing happening america globalist world leaders money believe evil good good evil read good book tim',TIN
'antifa youre',TIN
'crazy cause believe happen oncoming_fist',TIN
'shit finally found',TIN
'conservatives follow fascist',TIN
'goodell worst sport time histori',TIN
'dont give shit fans think theyre money',TIN
'made last night kavanaugh child attention embarrassment countri',TIN
'good fire fuck still listen',UNT
'nasty work',TIN
'straight want hold confirmation hearing hear said said ford paper trump case illegal every woman stating honorable vot',TIN
'hillary supporters racist liber',TIN
'nothing liberals didnt wanted theyve throwing year',UNT
'shit bigot',UNT
'lock sorry',TIN
'needs canada spread place society control behind support liberals name safety kids gun',TIN
'bunch liberals except sounds dems trying kavanaugh',TIN
'keep coming expected accept allegations face value left swamp need offenders #confirmkavanaugh #maga',TIN
'look fuck',UNT
'trump voters getting really crazy maga',TIN
'trump maga',TIN
'tomorrow night dropped make sure robbed fraud',TIN
'whole joke original tweet fuckin',UNT
'yeah second call coach history know anything history know kind story go',TIN
'well theres idiot keep thinking show mirror every walk night search fill heart &amp soul used mention lots conservatives come mind',TIN
'doubt greatest female sore los',TIN
'little post shes bitch',TIN
'bull shit know',TIN
'love penis want keep rather smoke',UNT
'flea',TIN
'coward really right days parti',TIN
'deals mexico trade trade deals dont need want control deal climate',UNT
'tihnks tel',UNT
'tough crap false accusations well hurt democrat lies false accusations biased government biased media antifa bulli',TIN
'saying labour party hatred hateful party conservatives less hateful claim tories',TIN
'united_states think collins stupid coward conservatives lives please vote kavanaugh care rest',TIN
'makes skin looking woman theresa nation must removed',TIN
'took words mouth',TIN
'suck',TIN
'offer shitty thats stop thinking still good living past',TIN
'good days conservatives around democrats never gave good days conservatives outrage promise next time yeah thats need thats healthy libs lov',TIN
'idiot rolling_on_the_floor_laughing face_with_tears_of_joy grinning_face_with_sweat apple doesnt fall comes lying american people actually embarrassment well daddy',TIN
'control means using hands case means correct target cant stupid',UNT
'except whole emails prove wrong paid million year blame immigrants idiots pull gonna away healthcare gotta stupidity #maga',TIN
'holder removed year',TIN
'control racist',TIN
'useful idiot longer need busy control busy trying figure election favor happen face_with_tears_of_joy united_states',TIN
'mass shootings nation normal country cant allow said truth mass shootings becoming normal control certainly help',TIN
'using authoritarian tactics media spread lies false reality followers smart people conservatives know theyre planned democracy',TIN
'wouldnt know damn well probably call cute people time couple wrong youre fucking concert dont',TIN
'buying couple looking think becoming monst',TIN
'spent huge nuts stupidity kind bunch scared antifa anyone bully even pathet',TIN
'liberals never follow weve heard coward',TIN
'saying hell going something tweet crap',TIN
'troll open fact',TIN
'thats antifa lefties nothing violent spent time planning attack honorable zero evidence reason hold kavanaugh another crazy liber',TIN
'million los',TIN
'years complaining finally getting bitch stop fucking',UNT
'living last',UNT
'saying info another long list need please keep expose hypocrites #maga #qanon #winning #wwg1wga',TIN
'yesterday happen much control cant prevent bringing school',UNT
'official numbers joke millions americans lost jobs career unemployment years give jobs back',TIN
'fuck dope voter never vote left party danger',TIN
'trump anything hurricane pretty sure shitting pants right',TIN
'eric holder obamas corrupt',TIN
'liberals ruin life doesnt matter long must stop',TIN
'girl send maga',TIN
'says bitch hiding behind dont hurt help sometimes cant everything alone fucking clown help something better nothing thats asked even cant dont hurt fuck twitter weak nigga',TIN
'stupid perhaps reason chosen trade talks trudeau destroy everything reason canada allow terrorist destroy canada trudeau',TIN
'horrible thats career',TIN
'lies dont admit date maybe married true story police story excuse full shit please post photo',TIN
'youre jerk attacking standing husband youre liberals want ruin peoples lives bash people found guilty wants money',TIN
'dont saying type dumb shit',TIN
'stop nonsense block stupid',TIN
'sick comment',TIN
'liberal male straight',TIN
'woman anti right playing youre disgrac',TIN
'#liberals platform none people late decades last shows desperate heard theyre around high schools looking',TIN
'well sure support lying making false accusations rest liberals acting',TIN
'already many fucking',UNT
'sure proving daily #maga',TIN
'although think decent without doubt worst president voting history worst quest',TIN
'sociopath',TIN
'seriously words fucked every time think found word something even despicable &amp disgusting best hope stupid lies told serial killer soul',TIN
'supporting monster biggest traitor modern days politics',TIN
'think evil nazi tried presidential election kavanaugh another evil nazi democrats politicians destroy democracy america #walkaway make america great',TIN
'alex many nation leaders well',TIN
'control means great control',TIN
'liberals sick false li',TIN
'look moving word truth coming chance question agree belong dead dead water couldnt answer without tru',TIN
'responsible actions maxine waters &amp others inciting violence consider said able anything peace without able',UNT
'blacks fine raping women liberals including bill clinton',TIN
'really charged #liberals liar',TIN
'thought help party kavanaugh remain anonymous likely promised party charged continue playing victim lying',TIN
'chicago wont laws books murders planned control liberals pass strict even guns black matter liberals trying pass agenda',TIN
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing deep throat',UNT
'jesus fucken',TIN
'lying much paying hows',TIN
'lmao good listen wife bought paid evil propaganda child russian stick tweets long prison sent',TIN
'fucking sucks',TIN
'many many fans amazing remembered dont bitch',TIN
'bullshit isnt london murder capital control working right serious crime problems maybe care business home start tweet',TIN
'deplorable despicable disgust',TIN
'democrats thug',TIN
'never watch panthers suck',TIN
'nonsense want theyd forward part leadership',TIN
'another getting pretty full tell sur',TIN
'someones asking wasnt supposed well business business send school shit',TIN
'antifa quite israel supporters youll find right protest well',TIN
'right position become politics result control year',TIN
'whats hour liberals every minute refuses commit people lose credibility love face_with_tears_of_joy face_with_tears_of_joy #tcot',TIN
'clear majority conservatives trump dont stupid',TIN
'help woman cant even mouth',TIN
'using policies weak #conservatives corrupt',TIN
'sick hope teach',TIN
'killer house #maga',TIN
'hollywood full democrat',TIN
'dead even office likely news long tim',TIN
'antifa',TIN
'idiot feels chance insulting conservatives supporting great dont think crazi',TIN
'liar supporters talking last president went world apology even serv',TIN
'everyone saying fuck dont know damn thing watched interview',UNT
'much left antifa threat doubt attack',TIN
'took long beast',TIN
'think democrats civil liberals',TIN
'first round shitty',TIN
'weapons make walk night calling drug',TIN
'powerful woman earth fuck',UNT
'fuck',TIN
'course young dumb really brain wouldnt believe',TIN
'loudly_crying_face good game niggas working',TIN
'california creepy fake tries follow woman home #maga #kag',TIN
'head taking criticism weak incompetent authoritarian',TIN
'know good well tried explain control military base proof laws wont shit look hood',TIN
'street long time knows things deep things agree gonna burn folk mueller already knows wants gonna',TIN
'think maybe little research',TIN
'couldnt catch letting bitch bitch dirt',TIN
'shitty 100% second carry 100% control except violent',TIN
'dont mess niggas george gonna',UNT
'started hitting wall shit aint nothing wall getting door',TIN
'fuck babi',TIN
'seen former democratic fight president much know youve corrupt guilty abuse power times presidential',TIN
'read title already know whats coming support common sense violence violence different violence common sense control chicago london',TIN
'somebody something show sucks anymore good though',TIN
'dont want either know leave going used better useless',TIN
'maybe antifa race &amp others butt',TIN
'yeah &amp criticism crying instead cool folks',TIN
'makes think liberals nothing liberal people spent insulting liberals black activists openly attacking deal liberal part passed',TIN
'fuck theyre trying looks somehow deserved shot',TIN
'come liberals lmao',TIN
'sucks living life full bullshit rules gotta suck',UNT
'crap twitter forces conserv',TIN
'aint shit done today',TIN
'well remember cops watched antifa thugs armed &amp attacked trump following orders thats &amp cops follow orders &amp cops protect',TIN
'nothing lefty media people made sure hill taken even conservatives remove leader almost even extremely',TIN
'hope well thats fucked seriously fuck wrong control issue though right thank live canada feel attacks seriously wont away',TIN
'thats good getting hard find know people belong control abortion thats politics christ',TIN
'good',UNT
'wonder burn levis come favor control control group stand',TIN
'good shit though',UNT
'thats know dropped reports seen says doesnt mean shit storm look thing realize fucking beast',UNT
'turns humans humans form maybe care maga',TIN
'thousands thousands videos alone antifa attacking people trump republican events happening democrats people',TIN
'shit',TIN
'maybe stop attacking conservatives might find dont',TIN
'awful never much anyway grown acting bully best mark maga united_st',TIN
'head nazi antifa violence mov',UNT
'speak truth farrakhan &amp racist',TIN
'aint fucking today',UNT
'murders done illegal gang members affects black problem control problem judges violent offenders back street shooting',TIN
'asking question phony still playing trying save face obvious stupid peopl',TIN
'brat much happy without',TIN
'look porn star',TIN
'corrupt charge problem',TIN
'dont think stuff happens shit happens everyone deal possible issues cant spend whole life something likely wont happen life thing haha',UNT
'except administration allowed crime city bloody leftist',TIN
'obama devil &amp trump jesus christ com',TIN
'dear paul lost president burn hel',TIN
'liberals numbers money conservatives alone gets beat hour',TIN
'tweet fraud half americans important issue control question towards control propaganda',TIN
'isnt',TIN
'works absolutely ones fucking',TIN
'corruption much going times dont want dont want american people know really theyve #maga',TIN
'thats fucked theres open every period theres fine lmaooo',UNT
'believe control consist firearms kid',UNT
'miss bitch',TIN
'liberals sell liberals probably line looking private money dont care look health education next',TIN
'blow blow lmao',TIN
'quit',UNT
'dear fascism #walkaway democrats antifa democrats fascists america hate different hoods party hate',TIN
'isis apparently obama world getting destroying cities antifa',TIN
'lier ford soros pays well lawyer wont work know sham',TIN
'damn looked better winking_face rolling_on_the_floor_laughing smiling_face_with_sunglass',UNT
'never never know truth maybe first really stupid grab either doubt know complete truth',TIN
'fuck',UNT
'glad career ruined deserves ruined done doesnt mean doesnt mean',TIN
'silly unhinged liber',TIN
'ammo upon right arms women week must easy test control laws apply rights theyd support',TIN
'group wearing maga nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face hate school',TIN
'come lies done thing control open eyes obama hero years office sucking around last minute vot',TIN
'niggas still gonna complain',TIN
'christ',TIN
'well stop democrats stop using victims school shootings control agenda',TIN
'name lost supported womans',TIN
'attention lefties control left wing dont shoot create violent demand normal people disarm',TIN
'enemy peopl',TIN
'death internet bill rights leftist people based political beliefs western state controlling nearly life',TIN
'morons trudeau lying liberals values test ford trying save taxpayers money maybe thats',TIN
'bill happen people speak potus control',TIN
'surprising nigga',TIN
'fucking',UNT
'ridiculous comment liberals make government work conservatives along ideas less government always better unless socialist time government lose money',TIN
'comparing date rape disgusting hope family never deal rape disgust',TIN
'liberals fake news chris',TIN
'fast furious criminal behind',TIN
'sure pope first name satan disgrace',TIN
'hear something saying school limits girl accusing everything think rape li',UNT
'shit',TIN
'twitter clear leftist agenda seen comments conservatives asking leftist shit feed didnt dont want stop trying push',TIN
'creepi',UNT
'hurt trump',TIN
'love woman telling truth every conservatives point people really stupid',TIN
'pushing control unamused_fac',TIN
'asshole though',UNT
'democratic always race divide americans conservatives done color democrats color discuss',TIN
'wart societi',TIN
'head #liberals supporters stupid think racist open borders crime minute look great country #maga',TIN
'liberals never handle truth make heads',TIN
'bill deserve theyre love person week love next understand bill theyve ruin',UNT
'maybe drop angry something funny everyone political jokes dont think',TIN
'bitches brain',TIN
'glad think know kick always back knows best thats awful live child experience things shitty people allowed near',TIN
'agreed probably white people screaming offensive wish brother wasnt forced twitter army remove said offensive things',TIN
'dregs society make sure never president',TIN
'activist liar wants oath wont kavanaugh gets',TIN
'good morning followed back lets give crazy liberals hel',TIN
'pornhub',UNT
'perhaps house runs leader used think friend true',TIN
'thats talking shit defending many intelligent bright minds held propaganda read documents deep know funds',TIN
'thats',TIN
'crook',TIN
'kind need control really stupid',TIN
'screwed hearing dream liberals think happens trump gets remov',TIN
'fuck',UNT
'stubby littl',TIN
'comedian',TIN
'boobs forget red_heart',UNT
'selfish come',TIN
'state kids protesting amendment youth took place young demand govt away name control',TIN
'metoo innocent continue lets kavanaugh fraud fight fire fire time male watch stop',TIN
'organization babies scream need control violence children somehow thousands innocent babies every lines pocket',TIN
'empty',TIN
'great wife reason animals crazy liberals something complain',TIN
'conservatives killed hundreds people result conservative policies figures gordon brown thats shes stealing national health service attack',TIN
'notice angry #maga losing vote #maga',TIN
'shes drunk shes tired took sleeping silli',TIN
'proven control lower deaths youve chosen ignore accuse without proof proof used states mentioned going continue ignore asking',TIN
'another plan',UNT
'michael moore',TIN
'years pathet',TIN
'holder prison',TIN
'even make tell control nothing stop r',TIN
'totally disgraceful name',TIN
'maybe fine people president talking antifa isnt left theyre left anti fascist movement lump left antifa lump right nazis vote',TIN
'great',TIN
'maga white peopl',TIN
'dont even know subject side class disagree fool',TIN
'hell talking still dont know conservatives',TIN
'past control board show super cheap',TIN
'evil',UNT
'damn',TIN
'thats biggest question away amendment left believe control worried expected keep giving',TIN
'shes idiot think moment',TIN
'trump sounds great another much rest world hates #maga #wwg1wga #draintheswamp',TIN
'close &amp funding peoples lives &amp sensible control attempting defend planned time back intelligent education &amp fucking stupid',TIN
'liberals guilty youre conserv',TIN
'liberals means never wrong liberals trump',TIN
'group name case lazy instead',UNT
'niggaey',UNT
'liar',TIN
'help doesnt help doesnt work poverty time high help doesnt thanks noth',TIN
'always everyone credit every posts fucking funny cares',TIN
'&amp maga scared white making women',TIN
'pope satan',TIN
'face_with_rolling_eyes really serious comparing positions nation slave keep proving ignorance &amp inability thought #maga',TIN
'stands says vote lying deserves played choice elected another',TIN
'shit kill animal',TIN
'bull crap',UNT
'agree think hated anyone life feel fact supposed leader makes stomach turn lost respect completely back allow',TIN
'look reaction second mark clown',TIN
'helping republican party unhinged r',TIN
'gotta love point though result socialism socialism control chicago watching round shitty jeopardy knows damn thing anyway trump',UNT
'paying taxes crime human rights laws opinion issue anti sensible control prevent mentally people w',TIN
'video government evidence going jail #maga #qanon',TIN
'fuck drug test',TIN
'someone never played want tried year back kinda people busted fuck kinda trash',TIN
'show saying alleged rape fault pretending conservatives blaming victim rape disgusting',TIN
'antiamerican crap somewhere senate #maga',TIN
'another lying liberal many lying exposed documents liberals steal bring country stop antiamerican idiotic socialist movement vote republican november trump 2020',TIN
'destroyed america womens bathroom right child child killers illegals rights americans think wrong bill something besides liberals',TIN
'corrupt demented lunatic',TIN
'bitch',TIN
'liar',TIN
'girl adult conversation thin',TIN
'agreed control want people control without guns know knew',TIN
'hope fuck',TIN
'fuckbucket',TIN
'move block liberals said early vote made story slap face really sexually shows liberals really dont care true victims power first',TIN
'didnt stop taking shit glad changed still around absolutely sucks passed amazing',TIN
'',TIN
'right mind wouldnt conserv',TIN
'damn felt shit loud',TIN
'hard hearing ar15 ar15 evil control doesnt violence armed citizens less likely become victims mass shootings banning',TIN
'another terrorist brought',TIN
'thats hilarious forget problems rolling_on_the_floor_laughing #thursdaythoughts #resist #maga #tcot',TIN
'open borders bring america dems vote life #kag #maga',TIN
'another illeg',TIN
'become party “the going bunch',TIN
'real though silly liberals tricks kid',TIN
'youre blind r',TIN
'remember daughter married coward disgrace thank world hurt',TIN
'yeah start somehow turned murder',UNT
'love women believe women woman years adult reaction means',TIN
'know many cops trying murder',TIN
'charges good charge foreign com',TIN
'right issue democrats lying american people long seems going crazy head',TIN
'liberals think guns problem',TIN
'full shit violent crime &amp decades crime problem state &amp local problem &amp called common sense control passed federal level clueless problem',UNT
'miss williams great actor thinks miss williams order said rules apply even miss williams turning women dont bone miss williams order thats wal',TIN
'racist less population together trump great cause white skin dont need h',UNT
'actually liberals waters antifa promote viol',TIN
'reading dear alive still talking control peopl',TIN
'majority world countries criminal kill replace',UNT
'crazy things liberals blame trump #tcot #maga #rednationris',TIN
'antifa know seriously stupid th',TIN
'jobs dont want might even office might',TIN
'posting illegal border soon started racist racist instead standing believes conservatives shouldnt pick',TIN
'dont forget terrorist obama around listen',TIN
'said wasnt attack',TIN
'imagine married crazy good',TIN
'liberals 2019 heads poor leader even',TIN
'term added list fuck terms term',TIN
'politician country speaks',UNT
'right create thin legislation even created fight',TIN
'teaching public schools communists terrorists &amp',TIN
'cancel dont fucking dare better issue plan',UNT
'looking hard heads look republican congress',TIN
'really issue liberals',TIN
'call cause bone nigga face_blowing_a_kiss',TIN
'kavanaugh needs stop lying believe womans account credible going able',TIN
'nothing attention start talking real issues racial sensible control prison reform issues',TIN
'russia',TIN
'chosen leader fuck christian claims lies defend chosen',TIN
'clinton cant stand woman anything stands believe even dangerous liber',TIN
'bitch',TIN
'yeah bitch back beat sorry asses suck blew lead lmaoooo',TIN
'whats state (and republicans refuse govern conservatives campaign kind need sick losers keeps',TIN
'fuck',TIN
'trump interest safety country doesnt care control shooting country doesnt care selfish person everyth',TIN
'liberals think world',TIN
'dont think mean trouble dont wish anyone isnt',UNT
'believe women even cant even offer specific women liars know liberals hypocrites stay least',TIN
'thats look charge bullshit almost',TIN
'watching kept looking face_with_tears_of_joy good allowed shit play time face_with_tears_of_joy face_with_tears_of_joy',TIN
'liberals stupid shit trump order isis think people murder killed',TIN
'voted together crazi',TIN
'false constitutional rights honest americans nothing violent crime control violence citizen',TIN
'lost needs jesus christ latin_cross',TIN
'nigga going next week',TIN
'supreme court judge conservatives',TIN
'bastard',TIN
'comes pain united_states united_states united_states united_states #wwg1wga',TIN
'aw',TIN
'unless good accused rapist sitting highest land sure female love hear explain away',TIN
'democrats liberals shit',TIN
'#liberals sort show still car',TIN
'least brains fall first place unlike conservatives believe everything',TIN
'arent conservatives left california perhaps threats calls antifa lucky',TIN
'conservatives vote stupid',TIN
'security paid protect trash crazy peopl',TIN
'going jail',TIN
'replace chris collins anyone #tcot #maga #rednationris',TIN
'really cares skul',UNT
'#maga dollars work',UNT
'fact called told damn near proves',TIN
'state chicago many strict control law',TIN
'shes thinks important female society real women',TIN
'first practice give serena looking silli',TIN
'message going antifa members killed open carry nuts feel someone trying kill taking defend probably face jail someone st',TIN
'making conservatives sick cant make plac',TIN
'find offensive know black people feel black born america want build stuff conservatives dont rules build',TIN
'left doesnt care women political gain story different democrat #walkaway #maga',TIN
'conservatives keep getting exposed child thats theyre abortion victim',TIN
'liberals full hate',TIN
'explain said wasnt true know process means know anyone goes court crime affects lives process ridicul',UNT
'women didnt know anything accusation sounds cover planned disgrace office hold',TIN
'wearing woman says police records tired liberals thinking ruin someones life dont trump',TIN
'good luck dont follow along fascists #resist movement apple google know happened dont need hate #antifa wrong',TIN
'support fight justice hold responsible accountable hypocrisy beyond moral standard outrage hide behind control leftists propaganda sham',TIN
'pile_of_poo',TIN
'sorry ignorant tweet something without research ones arrested people care enough happening heard',TIN
'bias made #maga racists watch',TIN
'gutierrez people died puerto rico gutierrez racist',TIN
'bitch stfu',TIN
'amendment half sorry away',TIN
'sleazy greasi',TIN
'please john away incapable report',TIN
'bitch lmao',TIN
'crazy freaking liber',TIN
'fucking serious talk father born ridiculous youre idiot think left antifa stands right w',TIN
'thing dems think monster turn first #maga #wwg1wga antifa terrorists backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down',TIN
'liar always liar people puerto rico lives govt officials sent miss reported death hurricane stop li',TIN
'meant indeed fuck',TIN
'said call girl',UNT
'shit phone bono never',TIN
'grinning_face grinning_face grinning_face united_states united_states united_states #maga pervert supreme',TIN
'happen played sister serena beat head tennis tell sister',TIN
'look liberals destroy mans lif',TIN
'shocking consider country wants smart control wild wild',TIN
'shes fucking bitch queen crown crown crown crown',TIN
'awful',TIN
'actually seems specific appears saying opposing control covering child catholic church',TIN
'consider supreme',TIN
'everyone washington including john corrupt running light',TIN
'high school cheerleader well someone said must true resign #thursdaythoughts #maga #resist',TIN
'following orders little',TIN
'creep believes gods polit',TIN
'democrats control mass shootings democrats liar',TIN
'think going burn next',TIN
'fuck',TIN
'going #maga #walkaway make',TIN
'shit',TIN
'yeah need better mental health (not thats stronger',TIN
'cancel school stupid ideas left idea free college idea wonder conservatives call going schools book smart crazi',TIN
'rather',UNT
'real american watch crap',TIN
'open case john kerry obama &amp bless trump #maga #kag link',TIN
'#qanon liberals throwing shit everyth',TIN
'forgot bullshit drinking',TIN
'people guns control',TIN
'right conservatives authoritarian fascism right wing politics taxpayers deal',TIN
'think going probably back pocket good luck getting anything done control seriously need country need background checks least',TIN
'thats black referring group different white people calling conservative term thinking stuff antifa word quite search',TIN
'phony opportunist look millions making people lets millions help well peoples money money',TIN
'conservatives keep terrible peopl',TIN
'thing easily well ugli',TIN
'ford part antifa gang',TIN
'trash',TIN
'antifa',TIN
'clown',TIN
'killer red_heart',TIN
'bitch together',TIN
'least coward whats platform list time conservatives right th',TIN
'antifa anti fascism damn wouldnt want america maybe nazi',TIN
'disgrace danger dont remov',TIN
'sucks',TIN
'gitmo issues along obamas clown',TIN
'know youre racist sure know piece trash never hear shit speak truth racist lies bitch racist cops killing black brown people thats fact clown',TIN
'start think stupid rather question looking',TIN
'cant fucking believ',UNT
'perfect example americans lying liberals disgust',TIN
'come literally public figure control cal',TIN
'fucking dumbass theres anyone face_with_tears_of_joy',UNT
'quick blame democrats blame obama blame control blame blacks blame democrat',TIN
'correct liberals easy figure make america great liberal woman',TIN
'move north find authoritarian control want countries ownership work good luck',TIN
'fuck antifa fuck go',TIN
'bill clinton raping killing cool',TIN
'years thats correct sociopath stuck united_states',TIN
'start talk getting deep america liberal nuts throw',TIN
'thought worse thought shooting liberals street',TIN
'minus well keep bruh',TIN
'difference many mean',UNT
'fuck bitch needs class cant someone liked tweet dont matter place decide life throw cardi wasnt issue done issu',TIN
'forgot people ignorant enough think',TIN
'special together vote crimes remain secret child abuse documents remain secret national security nothing national',TIN
'couldnt hear shit literally spoke hand sign',TIN
'beautiful seeing antifa scum getting beat arrest',UNT
'company company sucks dont know beat sucking',TIN
'well thats going send fake main stream media left liberals behind powerful world changing moment history #qanon everything weve told expect #wwg1wga #maga #mbga',TIN
'fucking umpire player',TIN
'seen people beautiful (not mention last eyes followers bullshit theyre someone popular',UNT
'link liberals last thing need good thing military traitor govern',TIN
'lower dumbest people country anyone voted idiot',TIN
'continue concerned control laws good enough protect children vote party willing address issu',UNT
'secret service irresponsible trying kill presid',TIN
'eric holder guilty killing border offic',TIN
'busy hair realize tweets stupid kind',TIN
'liar probably soros',TIN
'done looking nazi bigot stay true people change minds left know arent bigot followed reason post stuff time feel left',TIN
'establishment pile_of_poo conservatives much better memory liberals dont eyes full hypocrisy blind',TIN
'blatant threat antifa base violence #wakeupamerica',TIN
'another crazy liber',TIN
'longer remain silent issue looks',TIN
'liberals want',TIN
'absolutely correct question better liberals congress ones make business money &amp',TIN
'finally holy shit finally reading',TIN
'people guess every person president trump likely liberals speak',TIN
'favorite part left leaning people believe accusations face value comes sexual comes keith ellison whos thanks conservatives christian',TIN
'liberals using sexual assault claim political tool sink',TIN
'conservatives lose court ruling bitch activist judges agenda judges anyone court ruling accept lost court ruling conservatives babi',TIN
'according maga kavanaugh couldnt attempted rape ford lawyer made idiot',TIN
'know trash worried blaming shitting death shes responsible instead',TIN
'fake',TIN
'maga spend &amp stop',TIN
'research racist history control',TIN
'exactly theyre',UNT
'thats antifa style attack abusive meant bully silence control',UNT
'figures wrong idiots thank',TIN
'another judge first blames tool wants make dangerous guess know control',TIN
'proof ford shut credible',TIN
'#liberals destroyed attempting rest country dont belong area grown belong',TIN
'fucking liar happy play',TIN
'saving good',UNT
'liberals full love give become devils minions vote socialist agenda',TIN
'disgust',TIN
'hahaha losing money still dumb know',TIN
'liberals still',TIN
'started even worse conserv',TIN
'another liberal used democrats attempt kavanaughs confirmation dont believe word liberal friends enemy state leave america better without people liber',TIN
'telling yeah leading look always likes tweets',UNT
'fake queen',TIN
'religious conservatives need stop trying shame women disgrac',TIN
'heard street gave extra shit',TIN
'arent speaking still records theresa destroyed home prime',TIN
'dont knew emails released knew release standing called senator call fake news cal',TIN
'surely didnt anything reputation another',TIN
'nail',TIN
'trump wins 2020 growth crazy liberals still obama years argument lost left fact',TIN
'another insane next real famous black president former first black lady freedom speech',TIN
'helped social',TIN
'ones attacking anyone liber',TIN
'time twitter people making amount seems someone propaganda likes screwed trump',TIN
'spoiled goes shes',TIN
'repuls',TIN
'desperately trying &amp wanting trump doesnt care trump',TIN
'first time daddy called took room',TIN
'sucks honestly least full',TIN
'control laws waste time &amp energy better spent holding worthless politicians accountable current laws create laws never',TIN
'never asshole cant sure never actually someone whos people yeah seem',TIN
'youre piece shit saying successful helping puerto rico hurricane people died think thats successful really soul youre fucking horrible human dont even think youre human fuck',TIN
'pathet',TIN
'control seems missed brains',TIN
'youre irresponsible &amp believe smart enough understand evil press investigated thing know youre wrong thats evil',TIN
'liberals kinda worst',TIN
'liberals preach control stupid gun',TIN
'violent liberal antifa party heart woman theres around hoods beating strangers &amp violent corrupt parti',TIN
'youre proper country girl',TIN
'moore elected liberals never learn trump',TIN
'cowards aint ready #maga united_st',TIN
'didnt dont support response easy race bring emotions trying willing black people mak',TIN
