@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'dems done except back accused black raping white women play playbook everyone liberals crying outrage fake arent ellison resign',TIN
'democratic party wont anything muslim &amp dont care muslim needs terrorist ellison supports antifa people foul scary',TIN
'added last',TIN
'doubt losing much sleep busted years',UNT
'liberals fake media &amp walking thin forget real americans ones trump white house never allow white house #kavanaugh vote sick',TIN
'fuck haha',UNT
'dont want want fucking control seriously trying tragedy',TIN
'made guys dumb shit',TIN
'horrible',TIN
'dildo',TIN
'',TIN
'treason hang business even trying think trump needs lock fast',TIN
'people thinking really bitch face_with_tears_of_joy',TIN
'pointing culture part problem liberals culture culture change black doesnt poverty resistance',TIN
'please understand army support certain things saying dont understand point title',TIN
'trying justify death fact small amount dope fuck stop fucking killing people damn control cops dont feel every scared people things',UNT
'real suck pussy mother fucker',TIN
'youre part resistance certain control question want government called dictator control dont think thats argument',TIN
'control guns sold arent smart enough figure',UNT
'apart antifa agree',UNT
'failure every possible',TIN
'antifa arent fascist theyre terrorist',TIN
'quite possible right start somewhere',TIN
'turn juan speaks real',TIN
'talk calling black ashamed cash iran &amp helping iran become power better gave wave clean mess',TIN
'people vote color referring white white color next racial statement obama',TIN
'away',TIN
'starting pants worried dirty coming concerned getting view #maga #drainthedeepstate',TIN
'target keep theres shit thats target place year',TIN
'wont stupidity liberals face stupidity proves might little body',TIN
'member years arent surely means abused mean know dont understand next level ignorance',TIN
'absolutely fucking done',TIN
'exactly shut',TIN
'shit',UNT
'watch obama long stomach even narcissist every full full shit',TIN
'holder real quality wouldnt know truth face',TIN
'probably know please tell still jail better dead strong woman sorry happened',TIN
'fuck pizza',TIN
'reading thread sure seems followers arent control face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'give fucking',UNT
'obvious going liberals continue figures',TIN
'come texans replace',TIN
'busy spreading hate sure feel fine children conservatives represent everything wrong education system',TIN
'great today gone wanted wanted wont back still looks great fuck bigger dick shes',TIN
'understand wanting title whining pissing stop talking start getting done enough already youre coward beat somebody theyre looking',TIN
'sorry dana hear sick mental liberals pathetic support',TIN
'using feminist card excuse behavior getting wanted played woman simply better today every woman room nonsense feel',TIN
'people died local government corrupt',TIN
'criminal mess last night always made another great point starting investigation crime truth coming mueller',TIN
'ready crazy tomorrow',UNT
'expect likes eric piece crap',TIN
'liar clear liar',TIN
'protection support league shame',TIN
'shows tell interview long know sounds unhinged line tried fight back',TIN
'really post angry except hardcore liberals',TIN
'liberals devils hold hands stand together know arent alone fight decency call names want doesnt matter',TIN
'exactly sorry till found people bullshit idiots',TIN
'voice head asking around explains situation &amp earth hand &amp hand says welcome earth black',TIN
'forget michael coward',TIN
'gets confirmed conservatives dont care rapist',TIN
'people losing jobs &amp &amp economy &amp obama saving country hypocrite',TIN
'seriously believe evil',TIN
'makes good point career death days',TIN
'self traitor buddy stupid',TIN
'liberals without proper debate liberals killing canadian jobs #cdnpoli',TIN
'crazy',TIN
'country wasnt america liberals believe anything',TIN
'bitch',TIN
'liberals responsible american society ashamed know theyre',TIN
'even liberal paper effect liberals dont believe accusations credible',TIN
'&amp student plan give every single student break &amp hundreds thousands lower rates taxpayers years nothing liar',TIN
'*replaces chickens control*',TIN
'shitty world famous nobody tell voted nobody lives outside actually',TIN
'shit hype years',UNT
'shit sucks thats stopped watching mostly',TIN
'sucks major',TIN
'hell',UNT
'starting tweet nonsense',TIN
'haha liberals desperate hilarious trying ends last minute tactic alleged emails sent people wonder trump theyre tired democrats crap',TIN
'people understand assault rifle makes regarding control stupid',UNT
'narcissist',TIN
'thats problem talking politician',TIN
'good killed chance jail free card #maga',TIN
'elect represent victim leave subject rules dont even control lets stop',TIN
'fuck someone every opens',TIN
'mark amazing real life show',TIN
'hearing every turn thats least remember kavanaugh definitely scotus maga',TIN
'total bullshit',UNT
'always active play butt people',TIN
'plenty democrat citizens leftist politicians &amp antifa thanks',TIN
'push control narrative actual number much lower look using number high always playing politics',TIN
'straight hell',UNT
'',UNT
'maybe protests shut slush fund probably going antifa people weapons',TIN
'republican hypocrite',TIN
'better truth politicians never good america better flake',TIN
'goodell suck',UNT
'class asshole wear talk call deplorable behind antifa hate filled lying bitch party call honorable least proud standing true',TIN
'bitch',UNT
'disgrace',TIN
'robbed',TIN
'suck',TIN
'feel dude fucking sucks',TIN
'feinstein wanted delay midterms hopefully wave #maga',TIN
'maybe wrong didnt oath constitution people control crazy says dont know name perhaps google realize stupid',TIN
'shit video coffin',TIN
'never respond among nothing good administration sucks',TIN
'nobody room even florence still thing mass shooting wrong time talk control',TIN
'racist fake fake fake block accounts reason block emails service fake people hour date fake create',TIN
'hope girl fucks anything',UNT
'love thats future liberals want',TIN
'aint stick make size',TIN
'control',TIN
'nobody thought years fight mind',TIN
'literally give fucks face_with_tears_of_joy ummm okay thanks face_with_tears_of_joy',UNT
'fuck yeah',UNT
'woman left leaning bitch place platform',TIN
'antifa america',TIN
'protect increase presidential kill wade voting rights control deal religious congress body lost went whole',TIN
'#republicans love early talk common sense control events really want people forget kick ignore jobs protect public control works',TIN
'sounds shitty',TIN
'well start promoting gave time sure tomorrow lets many conservatives &amp shut',TIN
'shit went rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',TIN
'disgusting',UNT
'cant snake live feed',TIN
'face face wont speaking much longer person somebody teach find hard ugly inside',TIN
'bono away sick',TIN
'really another holy crap brought liberals',TIN
'morons people',TIN
'president really hates enforcement #maga',TIN
'putting',TIN
'queen pulled feel sorry card break',TIN
'chicago strict control laws highest violence rate bankrupt second highest rate capital world',TIN
'screwed tight stop',TIN
'time canadians liberals trade deal months vote liberal make line makes sense trump able trade deals around world canada obvious anyone brain failure trudeau failed',TIN
'aint missing shit',UNT
'glad make saying stupid shit aint trying dumb lmao',UNT
'hurt',TIN
'guys known pure',TIN
'woman talks stupid becomes #liberals',TIN
'fine young dead stupid reason come control solution yall many innocent people killed pouting_face pouting_face stop',TIN
'wrong many wish points received liberals full hate unfortunately idiots',TIN
'hollywood pedophiles',TIN
'used make real statement people teach kids',TIN
'conservatives believe color guilty crimes rights killings conservative questions killing',TIN
'dont talk shit laws',TIN
'holder perverted view surprising democrat',TIN
'shit',UNT
'learn people dont care think politics read lines keep stupid fake home #maga',TIN
'somebody please back coffin',TIN
'theyre still number fake news network',TIN
'fuck',TIN
'leader brain dead sheep time turn back',TIN
'called conservatives call supposed sexual every sexual political memory republicans really #kavanaugh',TIN
'fucking reason posting shows cant believe everyone community',TIN
'shut fuck bigger dont shit',TIN
'votes #democrats &amp lets many murders #conservatives',TIN
'never gets want know gives right wasnt money people paid',TIN
'sounds youre fascist',UNT
'hows feel want first time feeling kept years dont know',UNT
'slave',TIN
'tell meme biased human thats #qanon #maga',TIN
'still spewing good presidents deaths liar',TIN
'obama trade trump telling truth stupid leaders trump bless trump #maga #kag answer',TIN
'control unconstitutional leftist fake news traitors keep lying people thats enemies people',TIN
'must liberals crazy',TIN
'democrats bastards',TIN
'flake search filled hatred potus behavior',TIN
'demented',TIN
'read whole thread guys thinks media social media sure mess head rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',TIN
'never want deal become',TIN
'court',TIN
'know youre people make small trump supporters liberals support terrorist antifa',TIN
'never forget racist liberals went thomas liberals worst people',TIN
'fuck happened',TIN
'ideas speech laws control killing babies thinking entitled free healthcare rich money',UNT
'dont know said arent liberals mean conservatives sounds upset matters doesnt matter deny theyre theres straight',TIN
'jail kind church getting away pedo crimes hell holding',TIN
'pope pope false prophet',TIN
'clueless disgusting looks every thing know',TIN
'fake',UNT
'haha yeah funny communists liberals destroying want china north perhaps perfect country instead desperately trying died freedom blood communists',TIN
'thats enemy people #fakenews political hide crimes #liberals',TIN
'girl long hair realize years great today people wonder love legs show grew',TIN
'someone please call control cant stop shooting foot',TIN
'lost disgusting behavior',TIN
'terrorists antifa hateful racist thugs criminals black panthers groups place either',TIN
'singing liberal bullshit song facts usual',TIN
'tried shit worked first time',TIN
'conservatives think looks lmao',TIN
'butt thinks know',TIN
'ignorant fool become forgot ignorant obama current white house learn ignorant idiot president united states think president leave country hell',TIN
'isnt boss wasnt responsible shouldnt arguing stupid',TIN
'please tell something help home broken cause shes hospital broken loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face',TIN
'part fraud pulled together',TIN
'vote butt right office part problem america part solution ideas tricks work time #kag #confirmkavanaugh #maga',TIN
'personal responsibility drunk boys boys drunk #republicans #conservatives #kavanaugh',TIN
'damn right think different part problem country thank president instead putting ahead americans',TIN
'bitch life eyes',TIN
'along even',TIN
'people fascist tactics fascists thats antifa want start posting videos antifa',TIN
'democrats disgusting behavior disrespect country constitution united states oath citizens constitution',TIN
'fuck forgot pants know know',TIN
'hypocrite private around world',TIN
'absolute worse period',TIN
'family arent maga dont care theyre apart culture completely zero idea going world tell &amp even dont care',TIN
'losing even arent face okay',TIN
'said paying wanted said come',TIN
'california tries violence bullet control',UNT
'stupid average americans makes decisions',TIN
'bitch shut back getting facts straight',TIN
'liberal',TIN
'trudeau liberals incompetent handle',TIN
'real goal make everyone dumb',TIN
'thing right even look thread asshole posted thing defense fuck shit',TIN
'face almost pissing pants standing mind business',UNT
'shit face_with_tears_of_joy face_with_tears_of_joy',TIN
'crossed mind israel stand democrats tragedy public promote control shame things even came mind seen much left surprised anything',TIN
'heard cock',TIN
'keep saying different shit people said',TIN
'fascist left everywhere must crush work folks',UNT
'illinois strictest control gang drug killing field',UNT
'words words',TIN
'shows absolutely ideas problems isnt answer right dead',TIN
'probably fuck',TIN
'ruin shit',TIN
'looking #maga #walkaway',TIN
'held contempt',TIN
'told matter much life keeps',TIN
'delusional think reason either game lost past lmao',UNT
'meant shit',UNT
'liar',TIN
'totally',TIN
'democrat cant even #maga',TIN
'monster',TIN
'saying guilty happened innocent guilty innocent least tweet apology shut answer tweet',TIN
'daughters',TIN
'information fully investigated considered gets life time high court conservatives refused even give obamas person hearing please stop acting play board everyone goes',UNT
'boring individual seems good',TIN
'actually long anyone even native americans first facts straight wanna throw make sure know throwing first',TIN
'pile_of_poo help besides hoping high body count blame trump',TIN
'stupid tweet rolling_on_the_floor_laughing rolling_on_the_floor_laughing pile_of_poo',TIN
'conservatives police funding person crime person votes conservative crime',UNT
'probably sister cares',TIN
'eric holder arms jail',TIN
'shit',TIN
'another #republicans trump swamp lier #maga',TIN
'victim another desperate',TIN
'back',TIN
'fucking nigga',TIN
'threatening american citizens kill women arrest',TIN
'needs shut ugly hole face think fact shes giving kavanaugh family benefit rights citizens head theyre guilty theyre conservatives needs around decent people',TIN
'mueller crooked long',TIN
'people racist comments posts blocked follow accounts posting crap think trying make #maga look racist feel free block think youre ignorant',TIN
'antifa upset antifa group &amp people',TIN
'argument #kavanaugh constitutional democrats started civil clinton propaganda obama scared animals antifa &amp ms13',TIN
'antifa',TIN
'dont even know liberals feel think liberal personally abortion personally personal feelings abortion anyone favor stfu',UNT
'love aint never gonna stop',TIN
'broke better runs sleep shes lying runs feet going kicked',TIN
'usual doesnt clue kids must make shit takes crap',TIN
'opportunist evil lier',UNT
'asshole',TIN
'right puerto rico fraud',TIN
'watched play gets first attempt worth holding',TIN
'nope going miss sorry',TIN
'thats crazy story wrong theres numbers wouldnt notice soon walk aint shit',TIN
'silly know going white house mental stage',TIN
'gonna make fucking time blame',TIN
'well said must true hurricane piece something',TIN
'sucks',TIN
'shit already',UNT
'mean sense private public service people public opinion democracy',TIN
'credible believe worse either gordon 2018',TIN
'sorry',TIN
'dregs society isis antifa planned liberals democrats support accusing others biden guilty',TIN
'listening juan williams crazy ignorant facts thank waters ladies',TIN
'thats calling black liberals nothing bullies trump',TIN
'fascist antifa',TIN
'round control whining hands still tells judge real world idea real world',TIN
'shit',UNT
'troll glad went away trump supporters told thank real going actually fight everyone matter choose vote isnt awesome please need help',TIN
'need control',TIN
'prove claim exposed lying piece shit',TIN
'much type attention boss wanna people worth live prime time covered life lord followers dont care',TIN
'dont disrespect definitely shit back loudly_crying_face',TIN
'dumbest thing',UNT
'never heard shit canada police history conservatives',TIN
'imagine ford member antifa judges',TIN
'dillusional',UNT
'',TIN
'goodell worst things sports useless',TIN
'none fucking good',TIN
'little',UNT
'stop_sign news stop_sign deals another blow democrats kavanaughs',TIN
'awesome love hearing destroy liberals trudeau',TIN
'coming back movie worth cause shit shows intelligence',TIN
'deranged demented perfect match democratic party',TIN
'favorite actor',TIN
'liberals full hate talk anyone thinks funny words actions never match preach human decency politically bankrupt',TIN
'self name demon freedom #antifa',TIN
'found name forgot',TIN
'happen fall society religious conservatives right ones running government',TIN
'bernie congress long getting closer death dirt many write decided potus tell',TIN
'face_with_tears_of_joy nigga well',TIN
'crowd',TIN
'thank saving people assholes',TIN
'crazy funny used funny crazy become',TIN
'keep good work liberals waste time crying pointing country closer maga',TIN
'comment shows refused facts fascist antifa personal attack bully research stop look stupid',TIN
'voters better wake hell voters arent worried midterms thats #maga',TIN
'cant accuse someone something &amp expect come forward &amp suppose believe &amp sure liberals think',TIN
'okay shit gotta face_with_tears_of_joy',TIN
'fool democrats doesnt make look makes look ignorant level fool',TIN
'mouth goes side shit dont',TIN
'liberals progressives really dumb',TIN
'bitch*',TIN
'aint loudly_crying_face grinning_squinting_face',TIN
'bitch',TIN
'ignorant shameful people deep thinking lack vote',TIN
'holy shit thats awesome',TIN
'response former fans quit support little #maga',TIN
'problem cant intelligent debate issue want prove point question comments points counter comments instead left shows lack',TIN
'know right busy giving credit scared death dont trust',TIN
'evil dare',TIN
'think idiot liberals',TIN
'fact disrespectful rude nothing',TIN
'',UNT
'sure hell',TIN
'exactly tweet well making liberals folded_hands United_States red_heart latin_cross red_heart United_States folded_hands help folded_hands red_heart latin_cross latin_cross red_heart folded_hands',TIN
'guess',TIN
'make useful head',TIN
'people died officials robbed didnt jobs',TIN
'coward answer question posted conservative israel post positive facts counter canadian media helping liberal trudeau assault conservatives israel either ignorant liar',TIN
'heard lying jealous cronies',TIN
'lmao people talking much shit yesterday comment twitter jokes',UNT
'instead maga thinking_face thinking_face',TIN
'dont destroy crime family well face many obama',TIN
'hell',TIN
'lucky bitch face_with_tears_of_joy skull',TIN
'maybe wouldnt things little sensible control fucking country',TIN
'think',UNT
'start must numbers means socalled refugees terrorist sexual criminals must stop cowards return native fight #maga',TIN
'aint part face_with_tears_of_joy check pussies hood still dont word cause little educated ways brother friends feel though many people going left',TIN
'speaking best best utter disrespect enforcement first middle high class disagree train biden dirty hand',TIN
'awesome truly believe americans sick death left trying destroy america change country never vote america maga thank president trump country promises',TIN
'calling conservatives thats original funny many tweet times higher sucks',TIN
'sick work',TIN
'gonna need whole thread done really feel haha',TIN
'look europe changing europe muslim please watch video title muslim scared death unless muslim love mind america',TIN
'moment thought deaths fucked sick first',TIN
'thought california control',TIN
'considering fact russia might using antifa spread black propaganda remember wall',TIN
'environment society keeps much voted shit hang head shame',TIN
'poor violence antifa must nice live',TIN
'shit',UNT
'probably wrote together pissing',TIN
'shes fuck cause yall quick call',TIN
'hate much fucked whole',TIN
'going destroy america done many care middle america americans cares hopefully light soon countries sell',TIN
'dont offense tweets calling bitch truly shocked train year',TIN
'missing number',TIN
'hasnt flake left dare people hang without evidence word memory fast',TIN
'outrage conservatives liberals want know moral kavanaugh stand',TIN
'damn sucks',UNT
'proving cancer american republic',TIN
'communist state controlled much #antifa love country people support enough said twitter stream',TIN
'fully support antifa give money white cancer society illegal issue white lost done discussion',TIN
'cant sheep follow along fake news everyone think antifa',TIN
'hypocrite support control &amp protecting kids showing kids really support abortion whats difference kill',TIN
'liberals never become lazy entitled victims keep trying feel sorry someone',TIN
'first movie globalist give enough make believe theyre unless educated',TIN
'times credit phone without second maybe next time even though hate screw',TIN
'thats career media people think youre piece shit wont make',TIN
'disgrace',TIN
'jealous',TIN
'damn mind band took test lawyer last accusing judge crime years proof ruining mans life accusation proof stfu',TIN
'guess chicago kids shit every strictest control around',TIN
'police first right saying things public others even says things says public extremely public figure using platform',TIN
'socialism implemented stop civil behind control becomes clear clear process reading',TIN
'really think mentally family address issues maybe oped',TIN
'still fucked',TIN
'holy shit brainwashed',TIN
'jeff antifa terrorist organization',TIN
'yeah back world handle shit',TIN
'honestly surprised coming school noticed accuse stupid stuff dont',TIN
'neither antifa black lives matter soros funded groups',TIN
'support trump',TIN
'fucking hate',TIN
'name right make people think right wing antifa fascist really black lives dont matter',TIN
'mass liberal white liberal control control',TIN
'thats majority friends second year point blow moving whole country hasnt studies hate apparently',TIN
'disgrace home president anymore breaking former president longer obamas country country belongs people sheeple #maga',TIN
'please dont elect fake conservative bought &amp paid soros money many unethical things personal history',TIN
'socialist democratic liberals stupid',TIN
'know another liberals corruption',TIN
'dont considered porn star',TIN
'bank happened gordon brown changes (not including bank history',UNT
'hoping probably biggest crowd racist bigots country back antifa',UNT
'used black people none anything economy world everything saying nonsense leave',TIN
'good evil thing happening america globalist world leaders money believe evil good good evil read good book time',TIN
'antifa youre',TIN
'crazy cause believe happen oncoming_fist',TIN
'shit finally found',TIN
'conservatives follow fascist',TIN
'goodell worst sport time history',TIN
'dont give shit fans think theyre money',TIN
'made last night kavanaugh child attention embarrassment country',TIN
'good fire fuck still listen',UNT
'nasty work',TIN
'straight want hold confirmation hearing hear said said ford paper trump case illegal every woman stating honorable vote',TIN
'hillary supporters racist liberals',TIN
'nothing liberals didnt wanted theyve throwing years',UNT
'shit bigots',UNT
'lock sorry',TIN
'needs canada spread place society control behind support liberals name safety kids guns',TIN
'bunch liberals except sounds dems trying kavanaugh',TIN
'keep coming expected accept allegations face value left swamp need offenders #confirmkavanaugh #maga',TIN
'look fuck',UNT
'trump voters getting really crazy maga',TIN
'trump maga',TIN
'tomorrow night dropped make sure robbed fraud',TIN
'whole joke original tweet fuckin',UNT
'yeah second call coach history know anything history know kind story goes',TIN
'well theres idiot keep thinking show mirror every walk night search fill heart &amp soul used mention lots conservatives come mind',TIN
'doubt greatest female sore loser',TIN
'little post shes bitch',TIN
'bull shit know',TIN
'love penis want keep rather smoke',UNT
'flea',TIN
'coward really right days party',TIN
'deals mexico trade trade deals dont need want control deal climate deal',UNT
'telling',UNT
'tough crap false accusations well hurt democrat lies false accusations biased government biased media antifa bullies',TIN
'saying labour party hatred hateful party conservatives less hateful claim tories',TIN
'United_States think collins stupid coward conservatives lives please vote kavanaugh care rest',TIN
'makes skin looking woman theresa nation must removed',TIN
'took words mouth horrible',TIN
'suck',TIN
'offer shitty thats stop thinking still good living past',TIN
'good days conservatives around democrats never gave good days conservatives outrage promise next time yeah thats need thats healthy libs love',TIN
'clown_face idiot rolling_on_the_floor_laughing face_with_tears_of_joy grinning_face_with_sweat apple doesnt fall comes lying american people actually embarrassment well daddy',TIN
'control means using hands case means correct target cant stupid',UNT
'except whole emails prove wrong paid million year blame immigrants idiots pull gonna away healthcare gotta stupidity #maga',TIN
'holder removed years',TIN
'control racist',TIN
'useful idiot longer need busy control busy trying figure election favor happen face_with_tears_of_joy United_States',TIN
'families mass shootings nation normal country cant allow said truth mass shootings becoming normal control certainly help',TIN
'using authoritarian tactics media spread lies false reality followers smart people conservatives know theyre planned democracy',TIN
'wouldnt know damn well probably call cute people time couple wrong youre fucking concert dont attention',TIN
'buying couple looking think becoming monster',TIN
'spent huge nuts stupidity kind bunch scared antifa pussies anyone bully even pathetic',TIN
'liberals never follow promises weve heard coward',TIN
'saying hell going something tweet crap',TIN
'troll open facts',TIN
'thats antifa lefties nothing violent spent time planning attack honorable zero evidence reason hold kavanaugh another crazy liberal',TIN
'million losers',TIN
'years complaining finally getting bitch stop fucking crying',UNT
'living last days',UNT
'saying info another long list need please keep expose hypocrites #maga #qanon #winning #wwg1wga',TIN
'yesterday happen much control cant prevent bringing school',UNT
'official numbers joke millions americans lost jobs career unemployment years give jobs back',TIN
'fuck dope voter never vote left party dangerous',TIN
'trump anything hurricane pretty sure shitting pants right',TIN
'eric holder obamas corruption',TIN
'liberals ruin life doesnt matter long must stop',TIN
'girl send maga hats',TIN
'says bitch hiding behind dont hurt help sometimes cant everything alone fucking clown help something better nothing thats asked even cant dont hurt fuck twitter weak nigga',TIN
'stupid perhaps reason chosen trade talks trudeau destroy everything reason canada allow terrorist destroy canada trudeau',TIN
'horrible thats career dying',TIN
'lies dont admit date maybe married true story police officer story excuse full shit please post photo',TIN
'youre attacking standing husband youre liberals want ruin peoples lives bash people found guilty wants money',TIN
'dont saying type dumb shit',TIN
'stop nonsense block stupid',TIN
'sick disturbed comment proves',TIN
'liberal male straight female',TIN
'woman anti right playing youre disgrace',TIN
'#liberals platform none people late decades last shows desperate heard theyre around high schools looking',TIN
'well sure support lying making false accusations intelligence rest liberals acting',TIN
'already many fucking',UNT
'sure proving daily #maga',TIN
'although think decent without doubt worst president voting history worst question',TIN
'sociopath',TIN
'seriously words fucked every time think found word something even despicable &amp disgusting best hope stupid lies told serial killer soul',TIN
'supporting monster biggest traitor modern days politics',TIN
'think evil nazi tried presidential election kavanaugh another evil nazi democrats politicians destroy democracy america #walkaway make america great',TIN
'alex many nation leaders well',TIN
'control means great control',TIN
'liberals sick false lies',TIN
'look moving word truth coming chance question agree belong dead dead water couldnt answer without true',TIN
'responsible actions maxine waters &amp others inciting violence consider said able anything peace without able trade',UNT
'blacks fine raping women liberals including bill clinton',TIN
'really charged #liberals liars',TIN
'thought help party kavanaugh remain anonymous likely promised party charged continue playing victim lying',TIN
'chicago wont enforce laws books murders planned control liberals pass strict even guns black matter liberals trying pass agenda',TIN
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing deep throat',UNT
'jesus fucken',TIN
'lying much paying hows chinese',TIN
'lmao good listen wife bought paid evil propaganda child russian stick tweets long prison',TIN
'fucking sucks',TIN
'many many fans amazing remembered dont bitch',TIN
'bullshit isnt london murder capital europe control working right serious crime problems maybe care business home start tweeting',TIN
'deplorable despicable disgusting',TIN
'democrats thugs',TIN
'never watch panthers suck',TIN
'nonsense want theyd forward part leadership',TIN
'another getting pretty full tell sure',TIN
'someones asking wasnt supposed well business business send school shit',TIN
'antifa quite israel supporters youll find right protest well',TIN
'right position become politics result control years',TIN
'whats hour liberals every minute refuses people lose credibility love face_with_tears_of_joy face_with_tears_of_joy #tcot',TIN
'clear majority conservatives trump dont stupid',TIN
'help woman cant even mouth',TIN
'using policies weak #conservatives corrupt',TIN
'sick hope teaching',TIN
'killer house #maga',TIN
'hollywood full democrats',TIN
'dead even office likely news long time',TIN
'antifa',TIN
'idiot feels chance insulting conservatives supporting great dont think crazy',TIN
'liar supporters talking last president went world apology even',TIN
'everyone saying fuck dont know damn thing watched interview man_shrugging man_shrugging man_shrugging',UNT
'much left antifa threat doubt attack',TIN
'took long beast',TIN
'think democrats civil liberals',TIN
'first round shitty decision',TIN
'weapons make walk night calling drug',TIN
'powerful woman earth fucking',UNT
'fuck',TIN
'course young dumb really brain wouldnt believe socialism',TIN
'loudly_crying_face good game niggas working',TIN
'california creepy fake tries follow woman home #maga #kag',TIN
'head taking criticism weak incompetent authoritarian',TIN
'know good well tried explain control military base proof laws wont shit look hood',TIN
'street long time knows things deep things agree gonna burn mueller already knows wants gonna give',TIN
'think maybe little research buddy',TIN
'couldnt letting bitch bitch dirt',TIN
'shitty 100% second carry 100% control except violent',TIN
'dont mess niggas george gonna',UNT
'started hitting wall shit aint nothing wall getting door',TIN
'fuck baby',TIN
'seen former democratic fight president much know youve corrupt guilty abuse power times presidential',TIN
'read title already know whats coming support common sense solutions violence violence different violence common sense control chicago london',TIN
'somebody something show sucks anymore good though',TIN
'dont want either know leave going used better useless',TIN
'maybe antifa race &amp others',TIN
'yeah &amp criticism crying instead cool folks mostly',TIN
'makes think liberals nothing liberal people spent insulting liberals black activists openly attacking deal liberal part passed policies',TIN
'fuck theyre trying looks somehow deserved shot',TIN
'come liberals lmao',TIN
'sucks living life full bullshit rules gotta suck',UNT
'crap twitter forces conservatives',TIN
'aint shit done today',TIN
'well remember cops watched antifa thugs armed &amp attacked trump rally following orders thats &amp cops follow orders &amp cops protect',TIN
'nothing lefty media people made sure hill taken even conservatives remove leader almost even extremely commie',TIN
'hope well thats fucked seriously fuck wrong control issue though right thank live canada feel attacks seriously wont away',TIN
'thats good getting hard find know people belong control abortion thats politics christ',TIN
'good',UNT
'wonder burn levis come favor control control group stand',TIN
'good shit though',UNT
'thats know dropped reports seen says doesnt mean shit storm look thing realize fucking beast',UNT
'turns humans humans form maybe care maga',TIN
'thousands thousands videos alone antifa attacking people trump republican events happening anywhere democrats people cover',TIN
'shit created',TIN
'maybe stop attacking conservatives might find dont',TIN
'awful never much anyway grown acting bully best mark maga United_States',TIN
'head nazi antifa violence movement',UNT
'speak truth farrakhan &amp racist',TIN
'aint fucking today',UNT
'murders done illegal gang members affects black families problem control problem judges violent offenders back street shooting someone',TIN
'asking question phony still playing trying save face obvious stupid people',TIN
'brat much happy without seeing',TIN
'look porn star',TIN
'corrupt charge problem',TIN
'dont think stuff happens shit happens everyone deal possible issues cant spend whole life something likely wont happen life thing haha',UNT
'except administration allowed crime city bloody leftist snake',TIN
'obama devil &amp trump jesus christ coming',TIN
'dear paul lost president burn hell',TIN
'liberals numbers money conservatives alone gets beat inside',TIN
'tweet fraud half americans important issue control question towards control propaganda',TIN
'isnt',TIN
'works absolutely ones fucking',TIN
'corruption much going times dont want dont want american people know really theyve #maga',TIN
'thats fucked theres open every period theres fine lmaooo',UNT
'believe control firearms kids',UNT
'miss bitch',TIN
'liberals sell liberals probably line looking private money dont care look health education next',TIN
'blow blow lmao',TIN
'quit',UNT
'dear fascism #walkaway democrats antifa democrats fascists america hate different hoods party hate',TIN
'isis apparently obama world getting destroying cities antifa',TIN
'lier ford soros pays well lawyer wont work know shame',TIN
'damn looked better winking_face rolling_on_the_floor_laughing smiling_face_with_sunglasses',UNT
'never never know truth maybe first really stupid grab either doubt know complete truth',TIN
'fuck',UNT
'glad career ruined deserves ruined done doesnt mean doesnt mean',TIN
'silly unhinged liberals',TIN
'ammo upon right arms women week must easy test control laws apply rights theyd supported',TIN
'group wearing maga hats nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face nauseated_face hate school',TIN
'come lies done thing control open eyes obama hero years office sucking around last minute vote',TIN
'niggas still gonna complain',TIN
'christ',TIN
'well stop democrats stop using victims school shootings control agenda',TIN
'community name lost supported womans',TIN
'attention lefties control left wing dont shoot create violent demand normal people disarm',TIN
'enemy people',TIN
'death internet bill rights leftist people based political beliefs western state controlling nearly life',TIN
'morons trudeau lying liberals values test ford trying save taxpayers money maybe thats',TIN
'bill happen people speak potus control',TIN
'surprising nigga',TIN
'fucking boys',UNT
'ridiculous comment liberals make government work conservatives along ideas less government always better unless socialist time government lose money',TIN
'comparing date rape disgusting hope family never deal rape disgusting',TIN
'liberals fake news chris dope',TIN
'fast furious criminal behind',TIN
'sure pope first name satan disgrace',TIN
'hear something saying school limits girl accusing everything think rape lies',UNT
'shitting',TIN
'twitter clear leftist agenda seen comments conservatives asking leftist shit feed didnt dont want stop trying push',TIN
'creepy',UNT
'hurt trump',TIN
'love woman telling truth every conservatives point people really stupid',TIN
'pushing control unamused_face',TIN
'asshole though',UNT
'democratic always race divide americans conservatives done color democrats color',TIN
'society',TIN
'head #liberals supporters stupid think racist open borders crime minute look great country #maga',TIN
'liberals never handle truth make heads collision collision collision collision',TIN
'bill deserve theyre love person week love next understand bill theyve ruined',UNT
